Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"9","1396680","Pack of Imps","0","102","42846","47"
"10","1396698","Swarm of Wild Imps","1","102","40902","48"
"11","1396691","Black Harvest Acolytes","0","103","41214","49"
"16","1452660","Black Harvest Invokers","1","103","41213","50"
"17","1396696","Tirisguarde Apprentices","0","72","41574","20"
"18","1396699","Kirin Tor Invokers","1","72","41575","21"
"19","1396675","Water Elementals","0","73","42839","18"
"20","1401852","Arcane Golems","1","73","41573","19"
"21","1396688","Ox Initiates","0","67","42840","22"
"22","1396705","Ox Adepts","1","67","40092","23"
"23","1396706","Tiger Initiates","0","66","40012","25"
"24","1396707","Tiger Adepts","1","66","40138","26"
"25","1396645","Lesser Elementals","0","97","42847","40"
"26","1396658","Greater Elementals","1","97","41422","41"
"27","1396708","Circle of Earthcallers","0","98","40260","42"
"28","1401884","Earthen Ring Geomancers","1","98","41421","43"
"29","1396660","Ascendants","0","139","41525","44"
"30","1401885","Squad of Archers","0","86","42842","14"
"31","1401886","Unseen Marksmen","1","86","41557","15"
"32","1401887","Band of Trackers","0","85","41559","16"
"33","1401888","Pathfinders","1","85","41560","17"
"34","1396694","Dreamgrove Treants","0","81","42843","10"
"35","1396686","Daughters of Cenarius","1","81","41580","11"
"36","1396668","Druids of the Claw","0","82","41581","12"
"37","1396684","Keepers of the Grove","1","82","41582","13"
"38","1396701","Squad of Squires","0","87","42841","28"
"39","1396702","Shieldbearer Phalanx","1","87","41588","29"
"40","1396703","Silver Hand Knights","0","88","41589","30"
"41","1396704","Silver Hand Templar","1","88","41590","31"
"42","1401869","Valarjar Aspirants","0","99","42845","51"
"43","1401871","Stormforged Valarjar","1","99","41592","52"
"44","1401854","Shieldmaiden Warband","0","100","41593","53"
"45","1401874","Valkyra Shieldmaidens","1","100","41594","54"
"46","1401873","Ashtongue Warriors","0","79","42844","6"
"47","1401889","Naga Myrmidon","1","79","41635","7"
"48","1401865","Illidari Adepts","0","80","41636","8"
"49","1401883","Transformed Illidari Adepts","1","80","41637","9"
"50","1401858","Pack of Ghouls","0","75","42837","2"
"51","1401859","Geist Swarm","1","75","42838","3"
"52","1401866","Ebon Knights","0","76","41676","4"
"53","1401855","Ebon Ravagers","1","76","41677","5"
"54","1401891","Gang of Bandits","0","93","42848","36"
"55","1401892","Defias Thieves","1","93","41707","37"
"56","1401893","Uncrowned Duelists","0","94","41705","38"
"57","1401894","Crew of Pirates","1","94","41704","39"
"58","1401861","Celestial","0","105","40060","59"
"59","1086381","Group of Acolytes","0","91","42849","32"
"60","1066217","Netherlight Paragons","1","91","41906","33"
"61","1066169","Band of Zealots","0","92","41907","34"
"62","1066121","Dark Zealots","1","92","41908","35"
"63","1452563","Ancient of War","0","96","42818","58"
"64","1401851","Abomination","0","77","43780","0"
