Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"1","80693","Frostfire Gronnling","0.75","0.55","1067373","0"
"2","87430","Thunderlord Scout","1.4","0.5","1067284","0"
"4","78009","Orc Encounter 1","1.5","0.5","1067281","0"
"5","79359","Orc Encounter 2","1.5","0.5","1067297","0"
"7","79378","Ogre Encounter 1","1.5","0.55","1067321","0"
"29","0","Chris' Mission Set Test Encounter","1","0.4","0","0"
"30","80704","Frostfire Gronnling","0.75","0.55","1067391","0"
"31","80693","Frostfire Gronnling","0.75","0.55","1067373","0"
"32","80705","Icemaw Rylak","0.55","0.45","1067265","0"
"33","80192","Thunderlord Scout","0.6","0.9","1067335","0"
"34","80172","Thunderlord Scout","1.2","0.5","1067334","0"
"35","79380","Ogre Encounter 2","0.9","0.55","1067230","0"
"36","79380","Undead Encounter 1","1","0.5","1067230","0"
"37","79383","Aberration Encounter 1","0.8","0.5","1067191","0"
"38","79387","Arakkoa Encounter 1","0.5","0.5","1067348","0"
"39","81338","Arakkoa Encounter 2","0.9","0.5","1067462","0"
"40","79384","Beast Encounter 1","1.1","0.5","1067296","0"
"41","79386","Beast Encounter 2","1.4","0.5","1067246","0"
"42","79381","Demon Encounter 1","1.1","0.6","1067240","0"
"43","81339","Demon Encounter 2","0.6","0.6","1067193","0"
"44","79382","Breaker Encounter 1","1","0.5","1067290","0"
"45","79385","Breaker Encounter 2","1.5","0.6","1067311","0"
"46","81340","Fury Encounter 1","1.2","0.5","1067223","0"
"47","81341","Fury Encounter 2","1","0.5","1067207","0"
"48","81342","Primal Encounter 1","1","0.5","1067224","0"
"49","81343","Primal Encounter 2","1","0.5","1067208","0"
"50","19787","Wretched Slugs","1","0.4","0","0"
"51","81538","Skulking Ravager","0.9","0.45","1067344","0"
"52","81562","Thunderlord Crag-Leaper","1.55","0.5","1067236","0"
"53","81565","Thunderlord Windreader","1.55","0.5","1067286","0"
"54","81568","Cursed Wolf","1.5","0.5","1067253","0"
"55","81580","Grimfrost Drudge","1.2","0.55","1067268","0"
"56","81583","Frostbeak Scavenger","1.3","0.9","1067178","0"
"57","81587","Bladespire Raider","1.2","0.5","1067336","0"
"58","82405","Pale Devourer","1","0.45","1067305","0"
"59","82410","Corrupted Toad","1","0.45","1067273","0"
"60","82409","Lunarfall Raven","0.8","0.5","1067466","0"
"61","82413","Shadowmoon Necrolyte","1.55","0.5","1067287","0"
"62","82414","Shadowmoon Darkcaster","1.55","0.5","1067282","0"
"63","83059","Thundering Plainswalker","0.75","0.55","1067312","0"
"64","83067","Gorian Arcanist","1.2","0.5","1067413","0"
"65","83071","Gorian Cohort","1.2","0.5","1067409","0"
"66","83128","Iron Flameseer","1.4","0.5","1067339","0"
"67","83126","Iron Flameseer","1.4","0.5","1067270","0"
"68","83236","Beremus the Overseer","0.9","0.53","1067399","0"
"69","83236","Tarlna the Ancient","0.9","0.53","1067399","0"
"70","83357","Skyreach Stormcaller","0.9","0.55","1067403","0"
"71","83363","Adherent Harrier","0.9","0.55","1067405","0"
"72","83379","Felwrought Annihilator","0.75","0.55","1067240","0"
"73","83074","Bloodmane Matriarch","0.8","0.55","1067433","0"
"74","83347","Shade Prowler","1.2","0.5","1067465","0"
"75","83170","Felflame Infernal","0.75","0.55","1067195","0"
"76","83382","Flaming Pillager","0.9","0.55","1067237","0"
"77","83256","Essence of Darkness","1.4","0.55","1067191","0"
"78","83251","Essence of the Void","1.4","0.55","1416404","0"
"79","83098","Gor","0.75","0.55","1067407","0"
"80","83193","Ravenous Ironchewer","0.75","0.55","1067290","0"
"81","83043","Bladespire Brute","1.2","0.5","1067419","0"
"82","83042","Bladespire Mauler","1.2","0.5","1067420","0"
"83","83045","Bladespire Geomancer","1.2","0.5","1067422","0"
"84","83120","Thunderlord Windreader","1.5","0.5","1067286","0"
"85","83225","Yggdrel","0.55","0.55","1067302","0"
"86","83118","Thunderlord Talon","1.5","0.5","1067285","0"
"87","83122","Thunderlord Beast-Rider","1.5","0.5","1067284","0"
"88","83226","Moonbark Ancient","0.55","0.55","1067303","0"
"89","83135","Nagrand Raider","1.5","0.5","1067388","0"
"90","83140","Warsong Earthcaller","1.5","0.5","1067358","0"
"91","83084","Sabermaw Mystic","0.8","0.55","1067432","0"
"92","83074","Sabermaw Scarfang","0.8","0.55","1067433","0"
"93","83081","Sabermaw Mauler","0.8","0.55","1067431","0"
"94","83353","Adherent Flightcaller","0.9","0.55","1067381","0"
"95","83354","Adherent Bladewing","0.9","0.55","1067401","0"
"96","83356","Adherent Sun-Priest","0.9","0.55","1067404","0"
"97","83241","Sargerei Vigilant","1.3","0.5","1067367","0"
"98","83242","Sargerei Channeler","1.3","0.5","1067368","0"
"99","83243","Sargerei Soul-Twister","1.3","0.5","1067366","0"
"100","83045","Stonemaul Slaver","1.2","0.5","1067422","0"
"101","83062","Slavemaster Ok'mok","1.2","0.5","1067418","0"
"102","83070","Arcanist Earthsmasher","1.2","0.5","1067414","0"
"103","83072","Gorian Warmaster","1.2","0.5","1067410","0"
"104","83072","Gorian Warmaster","1.2","0.5","1067410","0"
"105","83233","Blademoon Genesaur","0.9","0.53","1067400","0"
"106","83217","Botani Grower","0.9","0.55","1067380","0"
"107","83217","Botani Warder","0.9","0.55","1067380","0"
"108","83103","Shadeback Ravager","0.9","0.45","1067345","0"
"109","83106","Shadeback Ravager","0.9","0.45","1067346","0"
"110","83107","Shadeback Ravager","0.9","0.45","1067343","0"
"111","83170","Blazing Infernal","0.75","0.55","1067195","0"
"112","83214","Stonescale","1.45","0.4","1067187","0"
"113","83213","Bloodhide Watcher","1.45","0.4","1067186","0"
"114","84858","Snow Lurker","1.45","0.4","1087727","0"
"115","83147","Magma Elemental","1.2","0.4","1067228","0"
"116","83152","Ice Fury","1.2","0.4","1067233","0"
"118","83301","Hyacinth Mandragora","1","0.4","1067341","0"
"119","83129","Shadowmoon Voidclaw","1.5","0.5","1067347","0"
"120","83292","Podling Squirt","1.9","0.45","1067330","0"
"121","83151","Frost Fury","1.2","0.4","1067221","0"
"122","83192","Ravenous Ironchewer","1.4","0.45","1067288","0"
"123","83041","Sootstained Enforcer","1.2","0.5","1067421","0"
"124","83225","Moonbark Ancient","0.55","0.55","1067302","0"
