Id,Unknown0,Unknown1,Unknown2
"66","29","12","0"
"69","30","34","0"
"70","31","34","0"
"72","2","2","0"
"73","33","33","0"
"74","34","11","0"
"75","1","10","0"
"76","4","2","0"
"77","5","2","0"
"78","4","16","0"
"79","4","36","0"
"80","4","17","0"
"83","5","12","0"
"84","5","18","0"
"85","5","35","0"
"88","7","11","0"
"89","35","11","0"
"90","36","15","0"
"91","37","40","0"
"92","38","39","0"
"93","39","39","0"
"94","40","33","0"
"95","41","33","0"
"96","42","41","0"
"97","43","41","0"
"98","44","34","0"
"99","45","34","0"
"100","46","42","0"
"101","47","42","0"
"102","48","43","0"
"103","49","43","0"
"104","7","16","0"
"105","7","36","0"
"106","7","17","0"
"108","7","9","0"
"109","35","12","0"
"110","35","18","0"
"111","35","35","0"
"112","35","38","0"
"113","35","10","0"
"114","36","16","0"
"115","36","36","0"
"116","36","17","0"
"118","36","9","0"
"119","37","12","0"
"120","37","18","0"
"121","37","35","0"
"122","37","38","0"
"123","37","10","0"
"124","38","16","0"
"125","38","36","0"
"126","38","17","0"
"128","38","9","0"
"129","39","12","0"
"130","39","18","0"
"131","39","35","0"
"132","39","38","0"
"133","39","10","0"
"134","40","16","0"
"135","40","36","0"
"136","40","17","0"
"138","40","9","0"
"139","41","12","0"
"140","41","18","0"
"141","41","35","0"
"142","41","38","0"
"143","41","10","0"
"144","42","16","0"
"145","42","36","0"
"146","42","17","0"
"148","42","9","0"
"149","43","12","0"
"150","43","18","0"
"151","43","35","0"
"152","43","38","0"
"153","43","10","0"
"154","44","16","0"
"155","44","36","0"
"156","44","17","0"
"158","44","9","0"
"159","45","12","0"
"160","45","18","0"
"161","45","35","0"
"162","45","38","0"
"163","45","10","0"
"164","46","16","0"
"165","46","36","0"
"166","46","17","0"
"168","46","9","0"
"169","47","12","0"
"170","47","18","0"
"171","47","35","0"
"172","47","38","0"
"173","47","10","0"
"174","48","16","0"
"175","48","36","0"
"176","48","17","0"
"178","48","9","0"
"179","49","12","0"
"180","49","18","0"
"181","49","35","0"
"182","49","38","0"
"183","49","10","0"
"184","50","9","0"
"186","51","12","0"
"187","52","18","0"
"188","53","35","0"
"189","54","10","0"
"190","55","12","0"
"191","56","18","0"
"192","57","36","0"
"193","58","18","0"
"195","60","12","0"
"196","59","9","0"
"197","61","18","0"
"199","63","36","0"
"200","63","38","0"
"201","63","10","0"
"202","64","16","0"
"203","65","10","0"
"205","66","35","0"
"206","67","36","0"
"207","67","35","0"
"208","68","36","0"
"209","68","12","0"
"210","69","36","0"
"211","69","12","0"
"213","70","35","0"
"214","71","10","0"
"215","72","12","0"
"216","72","35","0"
"217","72","38","0"
"218","73","12","0"
"219","73","38","0"
"220","74","36","0"
"221","75","17","0"
"222","75","18","0"
"223","76","17","0"
"224","77","18","0"
"226","78","36","0"
"228","79","12","0"
"229","80","35","0"
"233","82","10","0"
"234","83","9","0"
"235","84","9","0"
"236","85","10","0"
"237","85","38","0"
"238","86","16","0"
"240","88","38","0"
"241","89","18","0"
"242","90","9","0"
"243","90","35","0"
"244","91","9","0"
"245","92","17","0"
"246","93","36","0"
"247","32","10","0"
"249","95","17","0"
"250","96","17","0"
"251","97","10","0"
"252","98","9","0"
"254","100","16","0"
"255","101","16","0"
"256","101","18","0"
"257","102","35","0"
"260","105","17","0"
"261","106","9","0"
"262","107","18","0"
"263","108","10","0"
"264","109","17","0"
"265","110","18","0"
"266","111","10","0"
"267","111","12","0"
"268","111","36","0"
"269","112","9","0"
"270","112","16","0"
"271","113","36","0"
"272","114","36","0"
"273","115","17","0"
"274","116","35","0"
"281","118","12","0"
"282","119","35","0"
"283","120","18","0"
"284","121","9","0"
"285","122","10","0"
"287","124","16","0"
"288","125","36","0"
"289","126","35","0"
"290","127","16","0"
"291","128","10","0"
"292","129","12","0"
"293","130","38","0"
"294","131","36","0"
"295","132","12","0"
"296","133","18","0"
"297","134","10","0"
"299","136","9","0"
"300","137","18","0"
"302","139","35","0"
"303","140","36","0"
"304","141","12","0"
"305","142","10","0"
"306","143","18","0"
"307","144","36","0"
"308","145","17","0"
"309","146","9","0"
"310","147","36","0"
"311","148","9","0"
"312","149","35","0"
"314","151","12","0"
"315","152","10","0"
"316","153","16","0"
"317","154","9","0"
"318","155","36","0"
"319","156","18","0"
"320","157","10","0"
"322","159","16","0"
"323","160","35","0"
"324","161","17","0"
"325","162","36","0"
"326","163","10","0"
"327","164","36","0"
"328","165","38","0"
"331","168","9","0"
"332","169","17","0"
"334","171","16","0"
"335","172","9","0"
"336","173","18","0"
"337","174","12","0"
"338","175","17","0"
"339","176","12","0"
"340","177","17","0"
"341","178","12","0"
"342","178","38","0"
"343","179","12","0"
"344","180","36","0"
"345","181","38","0"
"346","182","9","0"
"347","182","16","0"
"348","183","18","0"
"349","184","10","0"
"350","184","12","0"
"351","185","35","0"
"352","62","16","0"
"353","186","12","0"
"354","186","16","0"
"355","187","10","0"
"356","188","10","0"
"358","190","17","0"
"359","191","38","0"
"360","192","10","0"
"363","194","17","0"
"365","196","18","0"
"366","197","35","0"
"367","198","12","0"
"368","199","38","0"
"369","200","17","0"
"371","87","36","0"
"372","158","12","0"
"373","69","17","0"
"374","202","9","0"
"375","203","10","0"
"376","204","36","0"
"377","205","9","0"
"378","206","9","0"
"379","207","35","0"
"381","208","35","0"
"382","208","38","0"
"383","209","10","0"
"384","210","9","0"
"385","211","16","0"
"386","212","16","0"
"387","213","10","0"
"388","214","36","0"
"389","213","16","0"
"390","214","9","0"
"391","215","36","0"
"392","216","12","0"
"393","217","9","0"
"394","218","12","0"
"395","218","9","0"
"396","219","35","0"
"399","222","10","0"
"401","223","9","0"
"402","224","35","0"
"404","226","16","0"
"405","227","18","0"
"406","228","18","0"
"407","229","9","0"
"408","230","35","0"
"409","231","9","0"
"410","232","36","0"
"411","233","35","0"
"412","234","18","0"
"413","235","10","0"
"414","236","16","0"
"415","237","16","0"
"416","238","17","0"
"417","239","16","0"
"418","240","17","0"
"419","241","18","0"
"420","242","17","0"
"421","243","16","0"
"423","245","12","0"
"425","247","16","0"
"426","248","35","0"
"428","250","10","0"
"429","251","35","0"
"430","252","10","0"
"431","253","12","0"
"432","254","17","0"
"433","255","38","0"
"434","256","10","0"
"435","257","35","0"
"436","258","12","0"
"437","259","18","0"
"438","260","18","0"
"439","261","16","0"
"440","262","16","0"
"441","263","17","0"
"443","265","17","0"
"444","266","36","0"
"445","267","35","0"
"446","268","36","0"
"447","269","38","0"
"448","270","16","0"
"449","271","17","0"
"451","273","16","0"
"452","274","10","0"
"453","275","35","0"
"454","276","9","0"
"455","277","18","0"
"456","278","17","0"
"457","279","12","0"
"458","280","38","0"
"459","281","35","0"
"460","282","17","0"
"462","284","36","0"
"463","285","38","0"
"464","286","16","0"
"465","287","16","0"
"466","288","35","0"
"467","289","12","0"
"468","290","10","0"
"470","291","12","0"
"471","292","18","0"
"472","292","16","0"
"473","293","10","0"
"474","294","36","0"
"475","295","35","0"
"476","296","9","0"
"477","297","10","0"
"478","297","12","0"
"479","297","17","0"
"480","298","12","0"
"481","299","17","0"
"482","299","16","0"
"483","300","38","0"
"484","301","36","0"
"485","302","18","0"
"486","303","18","0"
"487","304","35","0"
"488","305","35","0"
"489","306","10","0"
"490","307","16","0"
"491","308","9","0"
"492","309","10","0"
"493","310","18","0"
"494","311","12","0"
"495","311","16","0"
"496","312","18","0"
"497","313","10","0"
"500","314","9","0"
"501","314","35","0"
"502","315","18","0"
"503","315","35","0"
"504","316","10","0"
"505","317","12","0"
"506","317","36","0"
"507","318","18","0"
"508","319","12","0"
"509","320","12","0"
"510","321","12","0"
"511","321","16","0"
"512","322","10","0"
"513","323","16","0"
"514","324","12","0"
"515","325","16","0"
"516","325","12","0"
"517","326","35","0"
"518","326","36","0"
"519","327","9","0"
"520","327","18","0"
"522","328","35","0"
"523","329","16","0"
"524","329","18","0"
"525","330","9","0"
"526","330","35","0"
"527","331","35","0"
"528","331","36","0"
"529","332","10","0"
"530","332","18","0"
"531","333","17","0"
"532","333","16","0"
"533","334","17","0"
"534","334","16","0"
"535","335","17","0"
