Id,Unknown0,Unknown1,Unknown2,Unknown3
"2","1602","1","600","0"
"3","71355","1","650","0"
"4","3652","1","0","1"
"5","5443","1","600","1"
"6","1168","1","650","1"
"7","3752","1","0","2"
"8","2314","1","600","2"
"9","71058","1","650","2"
"19","116362","1","0","0"
"91","41239","23","0","0"
"92","59788","23","0","1"
"93","29156","23","615","0"
"94","55425","23","615","1"
"95","47810","23","630","0"
"96","94778","23","630","1"
"100","25119","25","0","0"
"106","11932","26","0","0"
"107","34182","26","615","0"
"112","8199","6","0","0"
"113","55463","6","615","0"
"114","51392","6","630","0"
"115","33688","6","645","0"
"116","2018","7","0","0"
"117","36526","7","0","1"
"118","44250","7","615","0"
"119","15218","7","615","1"
"120","87510","7","630","0"
"121","51858","7","630","1"
"122","94318","7","645","0"
"123","100193","7","645","1"
"124","1455","8","0","0"
"125","13017","8","615","0"
"126","45165","8","630","0"
"127","86386","8","645","0"
"128","25302","9","0","0"
"129","16887","9","0","1"
"130","55068","9","615","0"
"131","62236","9","615","1"
"132","28345","9","630","0"
"133","72829","9","630","1"
"134","71427","9","645","0"
"135","78433","9","645","1"
"136","24155","10","0","0"
"137","47114","10","615","0"
"138","69897","10","630","0"
"139","71360","10","645","0"
"140","30021","11","0","0"
"141","50805","11","615","0"
"142","72846","11","630","0"
"143","73462","11","645","0"
"144","20220","12","0","0"
"145","80788","12","615","0"
"146","72808","12","630","0"
"147","45695","12","645","0"
"148","27402","13","0","0"
"149","39818","13","615","0"
"150","21459","13","630","0"
"151","51802","13","645","0"
"152","25250","14","0","0"
"153","67224","14","615","0"
"154","37050","14","630","0"
"155","86801","14","645","0"
"156","73000","15","0","0"
"157","23746","15","615","0"
"158","55353","15","630","0"
"159","47568","15","645","0"
"160","32662","16","0","0"
"161","28604","16","615","0"
"162","49992","16","630","0"
"163","78451","16","645","0"
"164","15275","17","0","0"
"165","34987","17","615","0"
"166","71409","17","630","0"
"167","77190","17","645","0"
"168","55044","18","0","0"
"169","15975","18","0","1"
"170","30071","18","615","0"
"171","29272","18","615","1"
"172","35570","18","630","0"
"173","40192","18","630","1"
"174","49968","18","645","0"
"175","73465","18","645","1"
"176","89580","19","0","0"
"177","81671","19","615","0"
"178","45128","19","630","0"
"179","96019","19","645","0"
"180","80789","20","0","0"
"181","79339","20","615","0"
"182","70227","20","630","0"
"183","105136","20","645","0"
"184","25764","21","0","0"
"185","25764","21","0","1"
"186","52492","21","615","0"
"187","52492","21","615","1"
"188","51523","21","630","0"
"189","51530","21","630","1"
"190","96786","21","645","0"
"192","50047","23","645","0"
"193","73458","23","645","1"
"194","868","22","0","0"
"195","62977","22","0","1"
"196","18048","22","615","0"
"197","10364","22","615","1"
"198","37169","22","630","0"
"199","47085","22","630","1"
"200","50734","22","645","0"
"201","103847","22","645","1"
"202","647","24","0","0"
"203","55462","24","615","0"
"204","50048","24","630","0"
"205","95505","24","645","0"
"206","15981","25","0","1"
"207","65475","25","615","0"
"208","60928","25","615","1"
"209","40488","25","630","0"
"210","28187","25","630","1"
"211","51944","25","645","0"
"212","86960","25","645","1"
"213","70226","26","630","0"
"214","51799","26","645","0"
"215","29399","27","0","0"
"216","24069","27","615","0"
"217","47960","27","630","0"
"218","71559","27","645","0"
"219","20070","28","0","0"
"220","4091","28","0","1"
"221","55064","28","615","0"
"222","56302","28","615","1"
"223","70216","28","630","0"
"224","100966","28","630","1"
"225","78475","28","645","0"
"226","51846","28","645","1"
"227","59101","29","0","0"
"228","4826","29","0","1"
"229","31821","29","615","0"
"230","65490","29","615","1"
"231","59655","29","630","0"
"232","28433","29","630","1"
"233","73472","29","645","0"
"234","96430","29","645","1"
"235","11922","30","0","0"
"236","44217","30","0","1"
"237","65958","30","615","0"
"238","39714","30","615","1"
"239","70203","30","630","0"
"240","73455","30","630","1"
"241","96982","30","645","0"
"242","78422","30","645","1"
"243","5267","31","0","0"
"244","15494","31","0","1"
"245","25104","31","615","0"
"246","19348","31","615","1"
"247","70155","31","630","0"
"249","77220","31","645","0"
"250","78448","31","645","1"
"251","12773","32","0","0"
"252","1207","32","0","1"
"253","27424","32","615","0"
"254","36693","32","615","1"
"255","67602","32","630","0"
"256","65171","32","630","1"
"257","100190","32","645","0"
"258","73448","32","645","1"
"259","25297","33","0","0"
"260","36451","33","0","1"
"261","40408","33","615","0"
"262","83759","33","615","1"
"263","50793","33","630","0"
"264","55070","33","630","1"
"265","73455","33","645","0"
"266","91419","33","645","1"
"267","25302","34","0","0"
"268","16887","34","0","1"
"269","55064","34","615","0"
"270","21597","34","615","1"
"271","51868","34","630","0"
"272","47276","34","630","1"
"273","51803","34","645","0"
"274","105521","34","645","1"
"275","27641","35","0","0"
"276","28633","35","615","0"
"277","65139","35","630","0"
"278","78477","35","645","0"
"279","5201","36","0","0"
"280","39256","36","615","0"
"281","50181","36","630","0"
"282","71409","36","645","0"
"283","64604","37","0","0"
"285","51392","37","630","0"
"286","78478","37","645","0"
"287","1265","38","0","0"
"288","871","38","0","1"
"289","55452","38","615","0"
"290","23497","38","615","1"
"291","50412","38","630","0"
"292","71312","38","630","1"
"293","59463","38","645","0"
"294","96802","38","645","1"
"295","6622","39","0","0"
"296","65341","39","0","1"
"297","15218","39","615","0"
"298","59788","39","615","1"
"299","51010","39","630","0"
"300","50065","39","630","1"
"301","100488","39","645","0"
"302","103208","39","645","1"
"304","106390","37","0","2"
"305","114807","40","0","2"
"306","114616","40","0","0"
"307","114746","40","645","2"
"308","114622","40","645","0"
"309","114806","40","630","2"
"310","114081","40","630","0"
"311","45528","41","0","0"
"312","109234","42","0","0"
"315","113134","44","0","0"
"316","12776","45","0","0"
"317","106268","46","0","0"
"318","111464","46","0","1"
"319","110046","47","0","0"
"321","28678","49","0","0"
"322","61526","50","0","0"
"323","34816","51","0","0"
"324","34816","51","0","1"
"325","3184","52","0","0"
"326","54825","53","0","0"
"327","29632","54","0","0"
"328","109630","54","0","1"
"332","28456","57","0","0"
"333","14824","59","0","0"
"334","107420","60","0","0"
"335","107412","61","0","0"
"336","111935","62","0","0"
"338","31824","66","0","0"
"339","106248","67","0","0"
"340","31669","68","0","0"
"341","12750","68","0","1"
"342","3351","71","0","0"
"343","94665","72","0","0"
"344","106280","73","0","0"
"345","12583","74","0","0"
"346","57020","76","0","0"
"349","111428","81","0","0"
"350","111425","81","0","1"
"351","111422","82","0","0"
"352","111419","82","0","1"
"353","1958","83","0","0"
"354","1958","83","0","1"
"355","108717","84","0","0"
"358","73434","86","0","0"
"359","73434","86","0","1"
"360","76364","87","0","0"
"361","76363","88","0","0"
"364","52523","91","0","0"
"365","10612","92","0","0"
"366","10612","92","0","1"
"367","14879","93","0","0"
"368","67224","94","0","0"
"371","5258","96","0","0"
"373","107839","99","0","0"
"374","97219","100","0","0"
"375","29716","101","0","0"
"376","42477","64","0","0"
"377","18842","102","0","0"
"378","2520","106","0","0"
"379","49933","106","0","1"
"380","106268","90","0","0"
"381","107248","90","0","1"
"382","110235","89","0","0"
"383","110235","89","0","1"
"384","31824","66","0","1"
"385","108717","84","0","1"
"386","119745","107","0","0"
"387","119751","107","0","1"
"388","12290","108","0","0"
"391","116627","48","0","0"
"392","116627","48","0","1"
"393","34269","85","0","0"
"394","50150","79","0","0"
"396","49158","98","0","0"
"397","62285","80","0","0"
"398","11021","95","0","0"
"399","52052","56","0","0"
"400","3417","65","0","0"
"401","14084","97","0","0"
"402","107287","43","0","0"
"403","42331","37","615","0"
"404","67124","31","630","1"
"405","96786","21","645","1"
"406","120406","55","0","0"
"407","120406","55","0","1"
"408","89364","109","0","0"
"409","61297","110","0","0"
"410","61297","110","0","1"
"411","85127","110","645","0"
"412","85127","110","645","1"
"413","115064","110","660","0"
"414","115064","110","660","1"
"415","49767","112","0","0"
"416","42322","113","0","0"
"417","105940","114","0","0"
"418","126759","114","0","0"
"422","122430","117","0","0"
"429","17382","118","0","0"
"431","128203","118","715","0"
"432","128204","118","715","1"
"433","32837","118","745","0"
"434","32838","118","745","0"
"435","17382","118","0","1"
"439","32837","119","745","0"
"440","32838","119","745","0"
"442","5597","119","0","0"
"444","12482","119","715","0"
"445","128205","119","715","0"
"446","119680","120","0","0"
"447","50039","121","0","0"
"448","35939","122","0","0"
"449","35561","123","0","0"
"450","35561","123","0","1"
"451","108923","115","0","0"
"452","89545","124","0","0"
"453","110248","125","0","0"
"454","18816","126","0","0"
"455","18816","126","0","1"
"456","49340","127","0","0"
