Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"1","2000","0","1","1","1","1","0"
"2","60000","1800","2","1","1","1","0"
"3","120000","1800","3","1","2","1","0"
"4","0","0","4","2","3","1","0"
"5","0","0","5","2","3","1","0"
"29","5000","0","2","0","2","2","0"
"30","40000","0","3","1","2","2","0"
"31","0","0","4","2","2","2","0"
"32","20000","200","2","3","0","4","0"
"33","100000","200","3","3","1","4","0"
"34","0","0","4","3","2","4","0"
"35","8000","200","1","2","0","4","0"
