Id,Unknown0,Unknown1,Unknown2
"119","32","104","0"
"173","15","114","0"
"174","15","116","0"
"175","15","118","0"
"179","15","117","0"
"180","15","115","0"
"191","16","114","0"
"192","16","116","0"
"193","16","118","0"
"194","16","117","0"
"195","16","115","0"
"196","18","114","0"
"197","18","116","0"
"198","18","118","0"
"199","18","117","0"
"200","18","119","0"
"201","19","133","0"
"202","19","139","0"
"203","19","134","0"
"204","19","137","0"
"205","19","182","0"
"206","20","138","0"
"207","20","133","0"
"208","20","132","0"
"209","20","108","0"
"210","20","182","0"
"211","21","133","0"
"212","21","132","0"
"213","21","108","0"
"214","21","182","0"
"215","21","134","0"
"216","6","133","0"
"217","6","134","0"
"218","6","136","0"
"219","6","135","0"
"220","6","137","0"
"293","7","165","0"
"294","7","167","0"
"295","7","101","0"
"296","7","103","0"
"297","7","163","0"
"298","8","165","0"
"299","8","167","0"
"300","8","101","0"
"301","8","103","0"
"302","8","166","0"
"303","122","165","0"
"304","122","167","0"
"305","122","101","0"
"306","122","103","0"
"307","122","164","0"
"308","123","171","0"
"309","123","172","0"
"310","123","173","0"
"311","123","169","0"
"312","123","170","0"
"313","124","171","0"
"314","124","172","0"
"315","124","173","0"
"316","124","170","0"
"317","124","5","0"
"318","125","171","0"
"319","125","172","0"
"320","125","173","0"
"321","125","168","0"
"322","125","5","0"
"323","126","143","0"
"324","126","141","0"
"325","126","142","0"
"326","126","144","0"
"327","126","140","0"
"328","127","143","0"
"329","127","142","0"
"330","127","145","0"
"331","127","146","0"
"332","127","147","0"
"333","128","143","0"
"334","128","144","0"
"335","128","140","0"
"336","128","147","0"
"337","128","183","0"
"338","129","126","0"
"339","129","127","0"
"340","129","129","0"
"341","129","128","0"
"342","129","125","0"
"343","130","126","0"
"344","130","127","0"
"345","130","123","0"
"346","130","125","0"
"347","130","124","0"
"348","131","126","0"
"349","131","127","0"
"350","131","124","0"
"351","131","131","0"
"352","131","130","0"
"353","132","148","0"
"354","132","10","0"
"355","132","11","0"
"356","132","149","0"
"357","132","151","0"
"358","133","148","0"
"359","133","10","0"
"360","133","11","0"
"361","133","149","0"
"362","133","150","0"
"363","134","148","0"
"364","134","10","0"
"365","134","151","0"
"366","134","150","0"
"367","134","152","0"
"368","135","105","0"
"369","135","104","0"
"370","135","160","0"
"371","135","162","0"
"372","135","159","0"
"373","136","105","0"
"374","136","104","0"
"375","136","160","0"
"376","136","162","0"
"377","136","161","0"
"378","137","105","0"
"379","137","104","0"
"380","137","160","0"
"381","137","159","0"
"382","137","161","0"
"383","138","106","0"
"384","138","158","0"
"385","138","157","0"
"386","138","154","0"
"387","138","155","0"
"388","139","106","0"
"389","139","158","0"
"390","139","157","0"
"391","139","156","0"
"392","139","154","0"
"393","140","106","0"
