Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","86","300","47","2","28"
"13","66","10","48","2","27"
"15","120","432000","317","2","29"
"16","120","432000","318","2","30"
"17","120","432000","318","2","33"
"18","120","432000","317","2","34"
"19","120","432000","319","2","31"
"20","120","432000","319","2","38"
"21","120","432000","321","2","40"
"22","120","432000","321","2","39"
"23","120","432000","322","2","36"
"24","120","432000","322","2","37"
"25","120","432000","322","2","35"
"26","120","432000","322","2","32"
"27","120","432000","320","2","42"
"28","120","432000","320","2","41"
"29","120","28800","393","4","45"
"30","120","28800","393","4","43"
"31","120","28800","393","4","48"
"32","120","28800","393","4","44"
"33","120","28800","393","4","47"
"34","120","28800","393","4","46"
"35","120","28800","393","4","46"
