Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"5","0.3584606","0.6308265","1158","10","200","0","1","2","192","1"
"6","0.2967181","0.2204033","1159","12","0","0","3","2","194","3"
"258","0.4903073","0.6412199","1152","53","200","0","1","71","189","1"
"259","0.2825415","0.4311562","1153","55","0","0","3","71","191","3"
"444","0.3079746","0.2439098","1331","11","2000","5000","2","2","193","2"
"445","0.2825415","0.4824382","1330","54","2000","5000","2","71","190","2"
"560","0","0","1220","0","0","0","1","161","0","1"
"579","0.5","0.5","1461","0","0","0","2","161","0","2"
"580","0.5","0.5","1462","0","0","0","3","161","0","3"
"584","0","0","1463","0","0","0","1","163","0","1"
"585","0.5","0.5","1464","0","0","0","2","163","0","2"
"586","0.5","0.5","1466","0","0","0","3","163","0","3"
