Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"2","132224","100","0","Show Posts","Enables you to stable five more mounts at the stable for public display.","0","0","0"
"3","413588","5","0","Mount Trader","A rare mount trader has taken up shop at your garrison stables building.","0","1","0"
"7","511651","0","0","Recall Portal","Allows you to abort a current mission and immediately bring followers back.","0","5","0"
"8","134149","0","0","Headhunter","Recruit a random follower with a specific Trait, Ability or Role for 10 Material.","0","6","0"
"9","236571","0","0","Blackrock Chef","Enables access to garrison cooking dailies.","0","6","0"
"11","961629","0","0","Mining Carts","Additional miners will fill carts for you that are full of ore and other strange things.","0","7","3"
"12","133977","0","0","Orchard","Plant an orchard in your garrison that will produce rare fruit.","9","7","0"
"13","924154","0","0","Exquisite Skinning Knife","Increases the hourly skin gathering rate by 10%.","0","7","0"
"22","135236","0","0","Rock Crusher","Creates bonus material by crushing the waste rocks from mining for use in roads, concrete, etc.","0","7","3"
"23","413583","0","0","Mass Teleport","Removes travel time for the first misison every day that requres 5 followers.","0","5","0"
"24","135744","0","0","City Travel","Provides access to portals that grant transport to cities other than Orgrimmar and Stormwind.","0","5","0"
"25","132996","0","0","Mechanical Picker","Automates harvesting of herbs from the garden.","0","7","0"
"26","0","0","0","PattyMack Test Spec","","0","4","0"
"27","0","0","0","Blackrock","Generates more Blackrock Ore reagents in your shipments.","0","3","0"
"28","0","0","0","True Iron","Generates more True Iron Ore reagents in your shipments.","0","3","0"
"31","970842","0","0","Fish Shipment","A delivery a fresh fish every day, direct to your Fishing Shack!","0","6","3"
"32","970852","0","0","Fishing for Bait","Greatly increases the chance that you will find bait while fishing in Garrison waters.","0","6","3"
"33","970814","0","0","Cavedweller","Grants you a chance to catch Frostdeep Minnow's in Garrison waters.  These can be used to summon a Frostdeep Cavedweller.","0","6","3"
"34","413574","0","0","Student Lab","Your Alchemy Lab takes on students, and the class has a couple of potions for you each day.","0","6","3"
"35","967514","0","0","Transmutation","The lab specializes in the mutable nature of physical objects, increasing the amount of Metamorphic Crystals that can be produced each day.","0","6","3"
"36","967512","0","0","Elixir","The lab specializes in catalyzing alchemical reactions, increasing the amount of Alchemical Catalysts that can be produced each day.","0","6","3"
"37","975738","0","0","Greater Call to Arms","Strengthens the troops in your Call to Arms ability, generating more damage.","0","6","3"
"38","135966","0","0","First Aid","Summons a First Aid nurse NPC that grants healing potions and bandages each day.","0","6","3"
"39","136058","0","0","Prison","Occasionally catches thieves who can pay fines or provide useful information to serve their sentence.","0","6","3"
"40","132110","0","0","Mine Guards","Garrison guards patrol your mine, keeping it clear of hostile Goren.","0","6","3"
"41","132761","0.5","0","Buying in Bulk","Reduces cost of purchasing buildings and changing specializations.","0","6","3"
