Id,Unknown0,Unknown1,Unknown2,Unknown3
"2","0.6","40341","2","4"
"3","0.4","40066","5","2"
"4","0.4","40345","10","2"
"5","0.3","40350","14","2"
"17","0.6","40062","8","1"
"21","0.4","39965","38","3"
"22","0.25","39966","35","3"
"23","0.4","39968","37","3"
"24","0.6","40064","7","1"
"25","0.4","40067","9","2"
"26","0.6","40343","3","3"
"27","0.65","40344","4","3"
"28","0.3","40346","12","2"
"29","0.3","40349","13","2"
"30","0.45","40359","15","2"
"31","0.45","40360","16","2"
"32","0.3","40372","17","0"
"33","0.4","40374","18","2"
"34","0.5","40375","19","3"
"35","0.2","37223","20","2"
"36","0.3","40498","21","1"
"37","0.4","40501","22","3"
"38","0.3","40502","23","1"
"39","0.25","40508","24","2"
"40","0.4","40509","25","2"
"41","0.3","40521","26","3"
"42","0.5","40522","27","3"
"43","0.5","40523","28","1"
"44","0.3","40524","29","2"
"45","0.35","45159","30","3"
"46","0.4","45164","31","2"
"47","0.35","45165","32","2"
"48","0.3","45167","33","2"
"49","0.3","45166","34","2"
"50","0.4","47716","54","0"
"51","0.4","47716","53","0"
"52","0.4","47716","55","0"
"53","0.4","47716","56","0"
"54","0.4","47716","57","0"
"55","0.4","47716","59","0"
"56","0.4","47716","58","0"
"57","0.4","47716","60","0"
"58","0.4","47716","61","0"
"59","0.4","47716","62","0"
"60","0.5","48694","63","3"
"61","0.5","48695","64","3"
"62","0.6","40341","108","4"
"63","0.4","40066","111","2"
"64","0.4","61710","115","2"
"65","0.3","40350","118","2"
"66","0.6","40062","113","1"
"67","0.4","39965","138","3"
"68","0.25","39966","136","3"
"69","0.4","39968","137","3"
"70","0.6","40064","112","1"
"71","0.4","40067","114","2"
"72","0.6","40343","109","3"
"73","0.65","40344","110","3"
"74","0.3","61711","116","2"
"75","0.3","61709","117","3"
"76","0.45","40359","119","2"
"77","0.45","40360","120","2"
"78","0.3","40372","68","0"
"79","0.4","40374","69","2"
"80","0.5","40375","70","3"
"81","0.2","37223","121","2"
"82","0.3","40498","122","1"
"83","0.4","40501","123","3"
"84","0.3","40502","124","1"
"85","0.25","40508","125","2"
"86","0.4","40509","126","2"
"87","0.3","40521","127","3"
"88","0.5","40522","128","3"
"89","0.5","40523","129","1"
"90","0.3","40524","130","2"
"91","0.35","45159","131","3"
"92","0.4","45164","132","2"
"93","0.35","45165","133","2"
"94","0.3","45167","134","2"
"95","0.3","45166","135","2"
"96","0.5","48695","140","4"
