Id,Unknown0,Unknown1
"1","189","66"
"15","591","63"
"16","1110","252"
"17","1112","251"
"18","1112","252"
"19","1117","102"
"20","1118","102"
"21","1119","105"
"22","1120","102"
"23","1120","103"
"24","1120","105"
"25","1121","103"
"26","1122","102"
"27","1123","102"
"28","1124","103"
"29","1125","102"
"30","1125","105"
"31","1133","63"
"32","1135","268"
"33","1136","269"
"34","1137","269"
"35","1138","268"
"36","1139","270"
"37","1142","270"
"38","1143","270"
"39","1144","66"
"40","1145","66"
"41","1146","65"
"42","1150","258"
"43","1151","258"
"44","1152","257"
"45","1154","258"
"46","1155","256"
"47","1155","257"
"48","1156","258"
"49","1157","257"
"50","1158","256"
"51","1158","257"
"52","1162","259"
"53","1162","260"
"54","1163","263"
"55","1166","263"
"56","1168","262"
"57","1168","263"
"58","1174","267"
"59","1176","266"
"60","1177","266"
"61","1178","265"
"62","1182","71"
"63","1182","72"
"64","1185","72"
"65","1186","71"
"66","1186","72"
"67","1187","71"
"68","1187","72"
"69","1188","71"
"70","1188","72"
"74","1052","258"
"75","961","258"
"76","708","258"
"77","712","258"
"79","268","258"
"80","260","258"
"81","1003","258"
"82","1006","258"
"83","1005","258"
"87","703","70"
"88","187","70"
"89","1009","70"
"91","704","66"
"92","560","66"
"94","502","73"
"95","194","66"
"96","185","66"
"97","191","66"
"98","677","254"
"99","1046","257"
"100","701","65"
"101","706","65"
"102","251","257"
"103","264","257"
"104","258","257"
"106","559","65"
"107","196","65"
"108","199","65"
"109","494","72"
"110","509","72"
"112","261","256"
"113","261","257"
"114","270","256"
"115","270","257"
"116","710","256"
"117","356","253"
"122","499","71"
"123","499","72"
"124","489","71"
"125","505","71"
"126","768","250"
"127","531","251"
"128","532","250"
"130","514","252"
"131","1074","252"
"132","434","105"
"134","173","105"
"135","163","102"
"136","171","105"
"137","172","105"
"138","180","103"
"139","178","103"
"140","178","104"
"141","672","105"
"142","1076","105"
"144","936","103"
"146","933","104"
"147","831","103"
"148","175","102"
"149","177","102"
"150","162","104"
"151","1126","102"
"152","313","62"
"153","651","62"
"154","316","63"
"155","700","64"
"157","323","62"
"158","323","64"
"159","330","64"
"160","928","63"
"161","697","62"
"162","322","64"
"163","188","70"
"164","184","65"
"168","1082","70"
"169","987","70"
"170","986","66"
"172","1037","269"
"173","1015","268"
"174","1035","269"
"175","998","268"
"176","1021","268"
"177","1026","270"
"178","1019","270"
"179","1013","270"
"180","1036","269"
"181","1001","270"
"182","1038","269"
"183","1055","269"
"184","1017","269"
"185","1028","269"
"186","1018","269"
"188","713","257"
"189","252","256"
"190","252","257"
"191","266","257"
"193","460","256"
"194","463","258"
"195","458","258"
"196","1049","257"
"197","394","260"
"200","714","259"
"201","404","261"
"202","715","260"
"203","1070","264"
"204","736","263"
"205","218","263"
"206","474","263"
"207","223","264"
"208","1069","263"
"209","737","264"
"210","752","262"
"211","752","263"
"212","214","263"
"213","226","264"
"214","735","262"
"215","212","262"
"216","211","264"
"217","229","263"
"218","1090","263"
"219","612","262"
"220","273","267"
"221","480","265"
"222","757","267"
"223","1071","267"
"224","284","266"
"225","291","265"
"226","292","266"
"227","278","266"
"228","272","266"
"229","286","266"
"230","282","265"
"231","275","265"
"232","275","267"
"233","767","73"
"234","696","64"
"258","1202","258"
"259","1203","65"
"261","492","73"
"263","1181","73"
"266","1087","257"
"267","1115","250"
"268","676","102"
"269","676","104"
"270","676","105"
"271","934","103"
"272","934","104"
"273","673","104"
"274","167","103"
"275","671","103"
"276","671","104"
"277","999","268"
"278","999","269"
"280","561","70"
"281","188","65"
"282","456","66"
"283","456","70"
"284","987","65"
"286","407","261"
"287","230","264"
"288","950","262"
"289","950","263"
"290","1167","262"
"291","1167","263"
"292","1171","262"
"293","1171","264"
"294","1170","262"
"295","1170","264"
"296","228","262"
"297","228","264"
"298","751","264"
"299","280","265"
"300","280","266"
"301","932","71"
"302","932","72"
"303","507","71"
"304","507","73"
"305","490","73"
"306","991","72"
"309","851","73"
"310","486","73"
"311","1205","103"
"312","1206","102"
"313","1207","264"
"314","1208","65"
"315","1209","270"
"316","1210","105"
"317","1211","256"
"318","1211","257"
"319","1212","269"
"320","1213","102"
"323","1081","64"
"324","1080","64"
"325","1079","64"
"326","755","265"
"327","755","266"
"328","760","265"
"329","760","266"
"330","1175","265"
"331","1175","266"
"332","1028","270"
"333","927","71"
"334","771","252"
"335","771","250"
"336","197","65"
"337","1184","73"
"342","1039","269"
"343","1048","256"
"344","1048","257"
"345","1084","257"
"346","483","71"
"347","483","72"
"350","1020","71"
"351","1020","72"
"352","990","71"
"353","990","72"
"354","522","251"
"355","529","252"
"356","1221","105"
"357","1085","256"
"358","1085","258"
"359","1223","73"
"360","1051","254"
"361","1226","254"
"362","1227","254"
"363","1228","254"
"364","1229","254"
"365","1230","255"
"366","1231","255"
"367","1232","255"
"368","1233","255"
"369","1234","253"
"370","1235","253"
"371","1236","254"
"372","1237","254"
"375","1243","262"
"376","1244","262"
"377","1245","66"
"378","1253","253"
"379","1254","262"
"380","1261","266"
"381","1262","71"
"382","1265","268"
"383","1267","63"
"384","1268","62"
"385","1271","259"
"386","1271","261"
"387","1272","259"
"388","1272","261"
"389","1275","581"
"391","1270","256"
"392","1270","257"
"393","1083","65"
"394","440","253"
"395","440","254"
"396","440","255"
"400","454","65"
"401","454","66"
"402","454","70"
"404","1288","105"
"156","1133","63"
"198","1162","259"
"199","1162","260"
"192","1005","258"
"165","703","70"
"167","187","70"
