Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","ElwFlo01.mdl","1","1","0"
"2","ElwFlo02.mdl","1","1","0"
"3","ElwFlo03.mdl","1","1","0"
"4","ElwGra01.mdl","1","1","0"
"5","ElwGra02.mdl","1","1","0"
"6","ElwGra03.mdl","1","1","0"
"7","ElwGra04.mdl","1","1","0"
"8","ElwGra05.mdl","1","1","0"
"9","ElwGra06.mdl","1","1","0"
"10","ElwGra07.mdl","1","1","0"
"11","ElwGra08.mdl","1","1","0"
"12","ElwRoc01.mdl","0","0","0"
"13","ElwRoc02.mdl","0","0","0"
"15","WesWea04.mdl","1","1","0"
"16","WesWea03.mdl","1","1","0"
"17","WesWea02.mdl","1","1","0"
"18","WesWea01.mdl","1","1","0"
"19","WesShe03.mdl","1","1","1"
"20","WesShe02.mdl","1","1","1"
"21","WesShe01.mdl","1","1","1"
"22","WesRoc02.mdl","0","0","0"
"23","WesRoc01.mdl","0","0","0"
"24","WesGra04.mdl","1","1","0"
"25","WesGra03.mdl","1","1","0"
"26","WesGra02.mdl","1","1","0"
"27","WesGra01.mdl","1","1","0"
"28","WesFlo01.mdl","1","1","0"
"29","WesBus03.mdl","1","1","0"
"30","WesBus02.mdl","1","1","0"
"31","WesBus01.mdl","1","1","0"
"32","DskFlo02.mdl","1","1","0"
"33","DskGra01.mdl","1","1","0"
"34","DskFlo01.mdl","1","1","0"
"35","DskGra02.mdl","1","1","0"
"36","DskGra03.mdl","1","1","0"
"37","DskGra04.mdl","1","1","0"
"38","DskGra05.mdl","1","1","0"
"39","DskGra06.mdl","1","1","0"
"40","RedBus01.mdl","1","1","0"
"41","RedRoc02.mdl","0","0","0"
"42","RedRoc01.mdl","0","0","0"
"43","RedGra02.mdl","1","1","0"
"44","RedGra01.mdl","1","1","0"
"45","RedFlo04.mdl","1","1","0"
"46","RedFlo03.mdl","1","1","0"
"47","RedFlo02.mdl","1","1","0"
"48","RedFlo01.mdl","1","1","0"
"49","RedBus02.mdl","1","1","0"
"50","StlGra03.mdl","1","1","0"
"51","StlGra02.mdl","1","1","0"
"52","StlGra01.mdl","1","1","0"
"53","StlFlo01.mdl","1","1","0"
"54","StlFlo03.mdl","1","1","0"
"55","StlFlo02.mdl","1","1","0"
"56","StlFlo05.mdl","1","1","0"
"57","StlFlo04.mdl","1","1","0"
"58","StlBus03.mdl","1","1","0"
"59","StlBus02.mdl","1","1","0"
"60","StlBus01.mdl","1","1","0"
"61","StlRoc01.mdl","0","0","0"
"62","StlRoc02.mdl","0","0","0"
"63","BlaRoc01.mdl","0","0","0"
"64","BlaRoc02.mdl","0","0","0"
"65","BlaRoc03.mdl","0","0","0"
"66","BlaRoc04.mdl","0","0","0"
"67","BlaRoc11.mdl","0","0","0"
"68","BlaRoc12.mdl","0","0","0"
"69","BlaRoc13.mdl","0","0","0"
"70","BlaRoc05.mdl","0","0","0"
"71","BlaRoc06.mdl","0","0","0"
"72","BlaRoc07.mdl","0","0","0"
"73","BlaRoc08.mdl","0","0","0"
"74","SosBus02.mdl","1","1","0"
"75","SosBus05.mdl","1","1","0"
"76","SosBus03.mdl","1","1","0"
"77","SosFlo03.mdl","1","1","0"
"78","SosFlo02.mdl","1","1","0"
"79","SosFlo01.mdl","1","1","0"
"80","SosGra07.mdl","1","1","0"
"81","SosGra05.mdl","1","1","0"
"82","SosGra04.mdl","1","1","0"
"83","SosGra02.mdl","1","1","0"
"84","SosBus01.mdl","1","1","0"
"85","SosGra01.mdl","1","1","0"
"86","BadBus01.mdl","1","1","0"
"87","BadBus02.mdl","1","1","0"
"88","BadBus03.mdl","1","1","0"
"89","BadBus04.mdl","1","1","0"
"90","BadBus05.mdl","1","1","0"
"91","BadBus06.mdl","1","1","0"
"92","BadBus07.mdl","1","1","0"
"93","BadBus08.mdl","1","1","0"
"94","BadGra01.mdl","1","1","0"
"95","BadGra02.mdl","1","1","0"
"96","BadRoc01.mdl","0","0","0"
"97","BadRoc02.mdl","0","0","0"
"98","BadRoc03.mdl","0","0","0"
"99","BstBra01.mdl","1","1","0"
"100","BstBra02.mdl","1","1","0"
"101","BstBra03.mdl","1","1","0"
"102","BstBra04.mdl","1","1","0"
"103","BstBra05.mdl","1","1","0"
"104","BstBra06.mdl","1","1","0"
"105","BstBra07.mdl","1","1","0"
"106","BstBra08.mdl","1","1","0"
"107","BstRoc01.mdl","0","0","0"
"108","BstRoc02.mdl","0","0","0"
"109","BstRoc03.mdl","0","0","0"
"110","BstRoc04.mdl","0","0","0"
"111","BstRoc05.mdl","0","0","0"
"112","DunGra04.mdl","1","1","0"
"113","DunGra03.mdl","1","1","0"
"114","DunGra02.mdl","1","1","0"
"115","DunGra01.mdl","1","1","0"
"116","DunBus01.mdl","1","1","0"
"117","DunBus02.mdl","1","1","0"
"118","DunBus03.mdl","1","1","0"
"119","DunBra04.mdl","1","1","0"
"120","DwpWea04.mdl","1","1","0"
"121","DwpWea03.mdl","1","1","0"
"122","DwpWea02.mdl","1","1","0"
"123","DwpWea01.mdl","1","1","0"
"124","DwpRoc03.mdl","0","0","0"
"125","DwpRoc02.mdl","0","0","0"
"126","DwpRoc01.mdl","0","0","0"
"127","DwpGra03.mdl","1","1","0"
"128","DwpGra02.mdl","1","1","0"
"129","DwpGra01.mdl","1","1","0"
"130","DwpBra03.mdl","1","1","0"
"131","DwpBra02.mdl","1","1","0"
"132","DwpBra01.mdl","1","1","0"
"133","WetGra03.mdl","1","1","0"
"134","WetGra02.mdl","1","1","0"
"135","WetGra01.mdl","1","1","0"
"136","WetFlo04.mdl","1","1","0"
"137","WetFlo03.mdl","1","1","0"
"138","WetFlo02.mdl","1","1","0"
"139","WetBus03.mdl","1","1","0"
"140","WetBus02.mdl","1","1","0"
"141","WetBus01.mdl","1","1","0"
"142","WetFlo05.mdl","1","1","0"
"143","LchFlo01.mdl","1","1","0"
"144","LchFlo02.mdl","1","1","0"
"145","LchFlo03.mdl","1","1","0"
"146","LchFlo04.mdl","1","1","0"
"147","LchFlo05.mdl","1","1","0"
