Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown2,Unknown3
"327","0","0","0","0","1","1","1","1","2","8"
"328","0","0","0","0","1","1","1","1","5","8"
"329","0","0","0","0","1","1","1","1","7","8"
"339","217","220","222","220","1","1","1","1","5","8"
"346","0","0","0","0","1","1","1","1","6","8"
"364","23","22","23","22","1","1","1","1","7","4"
"365","235","237","231","238","1","1","1","1","5","5"
"366","236","233","238","231","1","1","1","1","5","4"
"370","219","218","225","224","1","1","1","1","5","8"
"374","235","238","161","230","1","1","1","1","0","2"
"382","357","356","362","364","1","1","1","1","5","9"
"389","366","363","364","366","1","1","1","1","2","5"
"391","358","356","357","364","1","1","1","1","5","9"
"399","142","142","142","142","1","1","1","1","5","6"
"402","21","20","19","23","1","1","1","1","7","0"
"403","139","141","134","142","1","1","1","1","0","8"
"408","142","142","142","142","1","1","1","1","8","0"
"409","0","0","0","0","1","1","1","1","3","8"
"430","144","146","147","145","1","1","1","1","5","8"
"433","143","144","146","147","1","1","1","1","5","8"
"435","141","133","138","137","1","1","1","1","8","8"
"440","103","106","108","107","1","1","1","1","7","5"
"447","97","98","96","93","1","1","1","1","0","5"
"458","94","95","89","95","1","1","1","1","5","6"
"459","92","89","91","90","1","1","1","1","7","4"
"465","6","6","6","36","1","1","1","1","0","6"
"472","21","20","19","24","1","1","1","1","7","3"
"473","0","0","0","0","1","1","1","1","2","0"
"474","23","22","23","22","1","1","1","1","2","3"
"475","15","16","28","15","1","1","1","1","7","8"
"476","29","24","25","31","1","1","1","1","0","8"
"477","25","27","17","28","1","1","1","1","9","8"
"478","26","27","18","25","1","1","1","1","5","8"
"479","31","25","30","17","1","1","1","1","6","6"
"480","29","31","24","25","1","1","1","1","0","8"
"481","25","27","17","28","1","1","1","1","5","8"
"485","26","27","25","18","1","1","1","1","5","8"
"486","30","31","25","17","1","1","1","1","6","8"
"488","0","0","0","0","1","1","1","1","5","0"
"490","0","0","0","0","1","1","1","1","6","0"
"494","23","23","23","23","1","1","1","1","2","1"
"495","16","15","24","30","1","1","1","1","7","10"
"496","19","20","21","25","1","1","1","1","7","2"
"497","27","27","27","27","1","1","1","1","6","8"
"499","28","17","28","18","1","1","1","1","5","8"
"500","6","6","6","6","1","1","1","1","0","6"
"505","4","5","7","9","1","1","1","1","5","8"
"506","13","12","6","0","1","1","1","1","2","6"
"507","1","2","3","9","1","1","1","1","5","8"
"512","10","11","7","10","1","1","1","1","6","8"
"514","12","13","6","0","1","1","1","1","2","8"
"515","6","6","6","6","1","1","1","1","5","0"
"525","33","36","37","39","1","1","1","1","5","8"
"532","41","42","41","42","1","1","1","1","0","3"
"534","44","43","47","45","1","1","1","1","5","8"
"541","130","122","128","123","1","1","1","1","2","2"
"552","77","79","76","78","1","1","1","1","8","8"
"559","0","0","0","0","1","1","1","1","8","8"
"560","85","83","81","80","1","1","1","1","8","8"
"561","85","83","81","80","1","1","1","1","0","0"
"569","61","62","62","61","1","1","1","1","7","1"
"577","58","60","53","59","1","1","1","1","5","8"
"580","36","35","37","39","1","1","1","1","5","8"
"582","35","36","37","38","1","1","1","1","0","8"
"584","35","36","37","39","1","1","1","1","5","8"
"587","62","61","61","62","1","1","1","1","0","2"
"593","61","62","61","62","1","1","1","1","2","1"
"598","126","124","125","126","1","1","1","1","2","2"
"599","127","128","129","153","1","1","1","1","5","8"
"605","132","121","127","129","1","1","1","1","0","4"
"647","266","267","276","275","1","1","1","1","0","8"
"648","271","272","271","272","1","1","1","1","6","8"
"668","0","2","14","14","1","1","1","1","5","8"
"669","2","0","2","14","1","1","1","1","5","8"
"670","4","2","14","14","1","1","1","1","0","8"
"671","58","59","57","56","1","1","1","1","5","10"
"672","61","61","62","62","1","1","1","1","2","2"
"683","13","6","11","0","1","1","1","1","0","6"
"684","13","10","0","0","1","1","1","1","6","6"
"686","33","33","33","33","1","1","1","1","0","8"
"690","4","5","8","8","1","1","1","1","0","8"
"691","4","4","4","4","1","1","1","1","5","8"
"700","76","74","80","82","1","1","1","1","8","8"
"703","0","0","0","0","1","1","1","1","9","0"
"707","86","87","88","97","1","1","1","1","7","2"
"708","0","0","0","0","1","1","1","1","1","0"
"713","10","11","7","10","1","1","1","1","5","8"
"719","13","12","6","4","1","1","1","1","2","6"
"722","13","0","0","0","1","1","1","1","2","6"
"726","6","13","0","0","1","1","1","1","5","8"
"735","6","6","6","0","1","1","1","1","0","6"
"740","13","12","6","12","1","1","1","1","2","6"
"744","6","13","6","13","1","1","1","1","5","8"
"756","13","12","6","5","1","1","1","1","2","6"
"770","13","12","13","12","1","1","1","1","2","1"
"810","31","29","29","31","1","1","1","1","6","1"
"812","0","0","0","0","1","1","1","1","7","0"
