Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
"2","Teldrassil","Teldrassil","0","1","141","1","3","0","0","10","0","2","4","0"
"3","Westfall","Westfall","0","0","40","1","2","0","10","15","0","2","4","0"
"4","Siege of Orgrimmar (Normal)","Normal","520","1136","0","3","1","0","0","90","14","35","0","30"
"6","Arena (2v2)","2v2","0","0","0","4","0","0","100","0","0","36","2","2"
"7","Arena (3v3)","3v3","0","0","0","4","0","1","100","0","0","36","2","3"
"9","Molten Core","Molten Core","0","409","0","3","0","-1","60","60","9","34","0","40"
"14","Arena Skirmish (2v2)","2v2","0","0","0","7","0","0","90","0","0","36","2","2"
"15","Battlegrounds","Battlegrounds","0","0","0","8","0","0","10","19","0","36","1","5"
"16","Custom PvE","Custom","0","0","0","6","0","0","0","0","0","34","0","0"
"17","Custom PvP","Custom","0","0","0","6","0","0","0","0","0","36","0","0"
"18","Deadmines (Normal)","Normal","0","36","0","2","5","0","15","21","1","98","1","5"
"19","Rated Battlegrounds","Rated Battlegrounds","0","0","0","9","0","0","100","0","0","36","0","0"
"20","Random Pandaria Scenario (Normal)","Normal","0","870","0","5","107","0","90","90","12","34","1","3"
"21","Bloodmaul Slag Mines (Normal)","Normal","500","1175","0","2","6","1","90","93","1","99","1","5"
"22","Iron Docks (Normal)","Normal","520","1195","0","2","7","1","92","95","1","99","1","5"
"23","Auchindoun (Normal)","Normal","540","1182","0","2","8","1","94","97","1","99","1","5"
"24","Skyreach (Normal)","Normal","560","1209","0","2","9","1","97","100","1","99","1","5"
"25","Grimrail Depot (Normal)","Normal","600","1208","0","2","10","1","100","100","1","99","1","5"
"26","The Everbloom (Normal)","Normal","600","1279","0","2","11","1","100","100","1","99","1","5"
"27","Shadowmoon Burial Grounds (Normal)","Normal","600","1176","0","2","12","1","100","100","1","99","1","5"
"28","Upper Blackrock Spire (Normal)","Normal","600","1358","0","2","13","1","100","100","1","99","1","5"
"29","Bloodmaul Slag Mines (Heroic)","Heroic","610","1175","0","2","6","2","100","100","2","99","1","5"
"30","Iron Docks (Heroic)","Heroic","610","1195","0","2","7","2","100","100","2","99","1","5"
"31","Auchindoun (Heroic)","Heroic","610","1182","0","2","8","2","100","100","2","99","1","5"
"32","Skyreach (Heroic)","Heroic","610","1209","0","2","9","2","100","100","2","99","1","5"
"33","Grimrail Depot (Heroic)","Heroic","610","1208","0","2","10","2","100","100","2","99","1","5"
"34","The Everbloom (Heroic)","Heroic","610","1279","0","2","11","2","100","100","2","99","1","5"
"35","Shadowmoon Burial Grounds (Heroic)","Heroic","610","1176","0","2","12","2","100","100","2","99","1","5"
"36","Upper Blackrock Spire (Heroic)","Heroic","610","1358","0","2","13","2","100","100","2","99","1","5"
"37","Highmaul (Normal)","Normal","630","1228","0","3","14","0","100","100","14","35","0","30"
"38","Highmaul (Heroic)","Heroic","650","1228","0","3","14","0","100","100","15","35","0","30"
"39","Blackrock Foundry (Normal)","Normal","650","1205","0","3","15","0","100","100","14","35","0","30"
"40","Blackrock Foundry (Heroic)","Heroic","665","1205","0","3","15","0","100","100","15","35","0","30"
"41","Siege of Orgrimmar (Heroic)","Heroic","540","1136","0","3","1","0","0","90","15","35","0","30"
"42","Siege of Orgrimmar (Mythic)","Mythic","560","1136","0","3","1","0","0","90","16","35","0","20"
"43","Naxxramas (10 Player)","10 Player","0","533","0","3","16","0","80","80","3","35","0","10"
"44","Naxxramas (25 Player)","25 Player","0","533","0","3","16","0","80","80","4","35","0","25"
"45","Karazhan","Karazhan","0","532","0","3","0","0","70","70","3","35","0","10"
"46","Icecrown Citadel (10 Normal)","10 Normal","0","631","0","3","17","0","80","80","3","35","0","10"
"47","Icecrown Citadel (10 Heroic)","10 Heroic","0","631","0","3","17","0","80","80","5","35","0","10"
"48","Icecrown Citadel (25 Normal)","25 Normal","0","631","0","3","17","0","80","80","4","35","0","25"
"49","Icecrown Citadel (25 Heroic)","25 Heroic","0","631","0","3","17","0","80","80","6","35","0","25"
"50","Wailing Caverns (Normal)","Wailing Caverns","0","43","0","2","0","0","15","25","1","98","1","5"
"51","Scholomance (Normal)","Normal","0","1007","0","2","18","0","38","48","1","98","1","5"
"52","Ragefire Chasm (Normal)","Ragefire Chasm","0","389","0","2","0","0","15","21","1","98","1","5"
"53","Shadowfang Keep (Normal)","Normal","0","33","0","2","19","0","16","26","1","98","1","5"
"54","Blackfathom Deeps (Normal)","Blackfathom Deeps","0","48","0","2","0","0","20","30","1","98","1","5"
"55","Stormwind Stockade (Normal)","Stormwind Stockade","0","34","0","2","0","0","20","30","1","98","1","5"
"56","Gnomeregan (Normal)","Gnomeregan","0","90","0","2","0","0","24","34","1","98","1","5"
"57","Razorfen Kraul (Normal)","Razorfen Kraul","0","47","0","2","0","0","30","40","1","98","1","5"
"58","Razorfen Downs (Normal)","Razorfen Downs","0","129","0","2","0","0","40","50","1","98","1","5"
"59","Uldaman (Normal)","Uldaman","0","70","0","2","0","0","35","45","1","98","1","5"
"60","Zul'Farrak (Normal)","Zul'Farrak","0","209","0","2","0","0","44","54","1","98","1","5"
"61","Maraudon (Normal)","Maraudon","0","349","0","2","0","0","30","44","1","98","1","5"
"62","Sunken Temple (Normal)","Sunken Temple","0","109","0","2","0","0","50","60","1","98","1","5"
"63","Blackrock Depths (Normal)","Blackrock Depths","0","230","0","2","0","0","47","61","1","98","1","5"
"64","Lower Blackrock Spire (Normal)","Lower Blackrock Spire","0","229","0","2","0","0","55","65","1","98","1","5"
"65","Dire Maul (Normal)","Dire Maul","0","429","0","2","0","0","36","52","1","98","1","5"
"66","Stratholme (Normal)","Stratholme","0","329","0","2","0","0","42","56","1","98","1","5"
"67","Hellfire Ramparts (Normal)","Normal","0","543","0","2","20","0","58","67","1","98","1","5"
"68","Blood Furnace (Normal)","Normal","0","542","0","2","21","0","59","68","1","98","1","5"
"69","Shattered Halls (Normal)","Normal","0","540","0","2","22","0","67","75","1","98","1","5"
"70","Slave Pens (Normal)","Normal","0","547","0","2","23","0","60","69","1","98","1","5"
"71","Underbog (Normal)","Normal","0","546","0","2","24","0","61","70","1","98","1","5"
"72","The Steamvault (Normal)","Normal","0","545","0","2","25","0","67","75","1","98","1","5"
"73","Mana-Tombs (Normal)","Normal","0","557","0","2","26","0","62","71","1","98","1","5"
"74","Auchenai Crypts (Normal)","Normal","0","558","0","2","27","0","63","72","1","98","1","5"
"75","Sethekk Halls (Normal)","Normal","0","556","0","2","28","0","65","73","1","98","1","5"
"76","Shadow Labyrinth (Normal)","Normal","0","555","0","2","29","0","67","75","1","98","1","5"
"77","Scarlet Halls (Normal)","Normal","0","1001","0","2","30","0","26","36","1","98","1","5"
"78","Scarlet Monastery (Normal)","Normal","0","1004","0","2","31","0","28","38","1","98","1","5"
"79","The Escape from Durnholde (Normal)","Normal","0","560","0","2","32","0","64","73","1","98","1","5"
"80","Opening of the Dark Portal (Normal)","Normal","0","269","0","2","33","0","68","75","1","98","1","5"
"81","The Mechanar (Normal)","Normal","0","554","0","2","34","0","68","75","1","98","1","5"
"82","The Botanica (Normal)","Normal","0","553","0","2","35","0","67","75","1","98","1","5"
"83","The Arcatraz (Normal)","Normal","0","552","0","2","36","0","68","75","1","98","1","5"
"84","Auchenai Crypts (Heroic)","Heroic","0","558","0","2","27","0","70","75","2","98","1","5"
"85","Mana-Tombs (Heroic)","Heroic","0","557","0","2","26","0","70","75","2","98","1","5"
"86","Sethekk Halls (Heroic)","Heroic","0","556","0","2","28","0","70","75","2","98","1","5"
"87","Shadow Labyrinth (Heroic)","Heroic","0","555","0","2","29","0","70","75","2","98","1","5"
"88","Opening of the Dark Portal (Heroic)","Heroic","0","269","0","2","33","0","70","75","2","98","1","5"
"89","The Escape from Durnholde (Heroic)","Heroic","0","560","0","2","32","0","70","75","2","98","1","5"
"90","Slave Pens (Heroic)","Heroic","0","547","0","2","23","0","70","75","2","98","1","5"
"91","The Steamvault (Heroic)","Heroic","0","545","0","2","25","0","70","75","2","98","1","5"
"92","Underbog (Heroic)","Heroic","0","546","0","2","24","0","70","75","2","98","1","5"
"93","Blood Furnace (Heroic)","Heroic","0","542","0","2","21","0","70","75","2","98","1","5"
"94","Hellfire Ramparts (Heroic)","Heroic","0","543","0","2","20","0","70","75","2","98","1","5"
"95","Shattered Halls (Heroic)","Heroic","0","540","0","2","22","0","70","75","2","98","1","5"
"96","The Arcatraz (Heroic)","Heroic","0","552","0","2","36","0","70","75","2","98","1","5"
"97","The Botanica (Heroic)","Heroic","0","553","0","2","35","0","70","75","2","98","1","5"
"98","The Mechanar (Heroic)","Heroic","0","554","0","2","34","0","70","75","2","98","1","5"
"99","Magisters' Terrace (Normal)","Normal","0","585","0","2","37","0","68","75","1","98","1","5"
"100","Magisters' Terrace (Heroic)","Heroic","0","585","0","2","37","0","70","75","2","98","1","5"
"101","Utgarde Keep (Normal)","Normal","0","574","0","2","38","0","68","78","1","98","1","5"
"102","Utgarde Pinnacle (Normal)","Normal","0","575","0","2","39","0","77","80","1","98","1","5"
"103","Azjol-Nerub (Normal)","Normal","0","601","0","2","40","0","70","80","1","98","1","5"
"104","The Oculus (Normal)","Normal","0","578","0","2","41","0","77","80","1","98","1","5"
"105","Halls of Lightning (Normal)","Normal","0","602","0","2","42","0","77","80","1","98","1","5"
"106","Halls of Stone (Normal)","Normal","0","599","0","2","43","0","75","80","1","98","1","5"
"107","The Culling of Stratholme (Normal)","Normal","0","595","0","2","44","0","78","80","1","98","1","5"
"108","Drak'Tharon Keep (Normal)","Normal","0","600","0","2","45","0","72","80","1","98","1","5"
"109","Gundrak (Normal)","Normal","0","604","0","2","46","0","74","80","1","98","1","5"
"110","Ahn'kahet: The Old Kingdom (Normal)","Normal","0","619","0","2","47","0","71","80","1","98","1","5"
"111","Violet Hold (Normal)","Normal","0","608","0","2","48","0","73","80","1","98","1","5"
"112","The Nexus (Normal)","Normal","0","576","0","2","49","0","69","79","1","98","1","5"
"113","Trial of the Champion (Normal)","Normal","0","650","0","2","50","0","78","80","1","98","1","5"
"114","The Forge of Souls (Normal)","Normal","0","632","0","2","51","0","80","80","1","98","1","5"
"115","Pit of Saron (Normal)","Normal","0","658","0","2","52","0","80","80","1","98","1","5"
"116","Halls of Reflection (Normal)","Normal","0","668","0","2","53","0","80","80","1","98","1","5"
"117","Utgarde Pinnacle (Heroic)","Heroic","0","575","0","2","39","0","80","80","2","98","1","5"
"118","The Culling of Stratholme (Heroic)","Heroic","0","595","0","2","44","0","80","80","2","98","1","5"
"119","The Oculus (Heroic)","Heroic","0","578","0","2","41","0","80","80","2","98","1","5"
"120","Halls of Lightning (Heroic)","Heroic","0","602","0","2","42","0","80","80","2","98","1","5"
"121","Halls of Stone (Heroic)","Heroic","0","599","0","2","43","0","80","80","2","98","1","5"
"122","Drak'Tharon Keep (Heroic)","Heroic","0","600","0","2","45","0","80","80","2","98","1","5"
"123","Gundrak (Heroic)","Heroic","0","604","0","2","46","0","80","80","2","98","1","5"
"124","Ahn'kahet: The Old Kingdom (Heroic)","Heroic","0","619","0","2","47","0","80","80","2","98","1","5"
"125","Violet Hold (Heroic)","Heroic","0","608","0","2","48","0","80","80","2","98","1","5"
"126","The Nexus (Heroic)","Heroic","0","576","0","2","49","0","80","80","2","98","1","5"
"127","Azjol-Nerub (Heroic)","Heroic","0","601","0","2","40","0","80","80","2","98","1","5"
"128","Utgarde Keep (Heroic)","Heroic","0","574","0","2","38","0","80","80","2","98","1","5"
"129","Trial of the Champion (Heroic)","Heroic","0","650","0","2","50","0","80","80","2","98","1","5"
"130","The Forge of Souls (Heroic)","Heroic","0","632","0","2","51","0","80","80","2","98","1","5"
"131","Pit of Saron (Heroic)","Heroic","0","658","0","2","52","0","80","80","2","98","1","5"
"132","Halls of Reflection (Heroic)","Heroic","0","668","0","2","53","0","80","80","2","98","1","5"
"133","Throne of the Tides (Normal)","Normal","0","643","0","2","54","0","80","85","1","98","1","5"
"134","Blackrock Caverns (Normal)","Normal","0","645","0","2","55","0","80","85","1","98","1","5"
"135","Grim Batol (Normal)","Normal","0","670","0","2","56","0","84","85","1","98","1","5"
"136","Halls of Origination (Normal)","Normal","0","644","0","2","57","0","84","85","1","98","1","5"
"137","The Stonecore (Normal)","Normal","0","725","0","2","58","0","81","85","1","98","1","5"
"138","The Vortex Pinnacle (Normal)","Normal","0","657","0","2","59","0","81","85","1","98","1","5"
"139","Lost City of the Tol'vir (Normal)","Normal","0","755","0","2","60","0","84","85","1","98","1","5"
"140","The Vortex Pinnacle (Heroic)","Heroic","0","657","0","2","59","0","85","85","2","98","1","5"
"141","The Stonecore (Heroic)","Heroic","0","725","0","2","58","0","85","85","2","98","1","5"
"142","Halls of Origination (Heroic)","Heroic","0","644","0","2","57","0","85","85","2","98","1","5"
"143","Grim Batol (Heroic)","Heroic","0","670","0","2","56","0","85","85","2","98","1","5"
"144","Blackrock Caverns (Heroic)","Heroic","0","645","0","2","55","0","85","85","2","98","1","5"
"146","Throne of the Tides (Heroic)","Heroic","0","643","0","2","54","0","85","85","2","98","1","5"
"147","Lost City of the Tol'vir (Heroic)","Heroic","0","755","0","2","60","0","85","85","2","98","1","5"
"148","Deadmines (Heroic)","Heroic","0","36","0","2","5","0","85","85","2","98","1","5"
"149","Shadowfang Keep (Heroic)","Heroic","0","33","0","2","19","0","85","85","2","98","1","5"
"150","Zul'Gurub (Heroic)","Zul'Gurub","0","859","0","2","0","0","85","85","2","98","1","5"
"151","Zul'Aman (Heroic)","Zul'Aman","0","568","0","2","0","0","85","85","2","98","1","5"
"152","End Time (Heroic)","End Time","0","938","0","2","0","0","85","85","2","98","1","5"
"153","Well of Eternity (Heroic)","Well of Eternity","0","939","0","2","0","0","85","85","2","98","1","5"
"154","Hour of Twilight (Heroic)","Hour of Twilight","0","940","0","2","0","0","85","85","2","98","1","5"
"155","Temple of the Jade Serpent (Normal)","Normal","0","960","0","2","61","0","85","90","1","98","1","5"
"156","Stormstout Brewery (Normal)","Normal","0","961","0","2","62","0","85","90","1","98","1","5"
"157","Shado-Pan Monastery (Normal)","Normal","0","959","0","2","63","0","87","90","1","98","1","5"
"158","Mogu'shan Palace (Normal)","Normal","0","994","0","2","64","0","87","90","1","98","1","5"
"159","Siege of Niuzao Temple (Normal)","Normal","0","1011","0","2","65","0","88","90","1","98","1","5"
"160","Gate of the Setting Sun (Normal)","Normal","0","962","0","2","66","0","88","90","1","98","1","5"
"163","Temple of the Jade Serpent (Heroic)","Heroic","0","960","0","2","61","0","90","90","2","98","1","5"
"164","Stormstout Brewery (Heroic)","Heroic","0","961","0","2","62","0","90","90","2","98","1","5"
"165","Shado-Pan Monastery (Heroic)","Heroic","0","959","0","2","63","0","90","90","2","98","1","5"
"166","Mogu'shan Palace (Heroic)","Heroic","0","994","0","2","64","0","87","90","2","98","1","5"
"167","Gate of the Setting Sun (Heroic)","Heroic","0","962","0","2","66","0","90","90","2","98","1","5"
"168","Scholomance (Heroic)","Heroic","0","1007","0","2","18","0","90","90","1","98","1","5"
"169","Scarlet Monastery (Heroic)","Heroic","0","1004","0","2","31","0","90","90","2","98","1","5"
"170","Scarlet Halls (Heroic)","Heroic","0","1001","0","2","30","0","90","90","2","98","1","5"
"171","Siege of Niuzao Temple (Heroic)","Heroic","0","1011","0","2","65","0","90","90","2","98","1","5"
"172","Frostfire Ridge","Frostfire Ridge","0","0","6720","1","68","0","90","100","0","2","4","0"
"173","Shadowmoon Valley (Draenor)","Shadowmoon Valley","0","0","6719","1","68","0","90","100","0","2","4","0"
"174","Gorgrond","Gorgrond","0","0","6721","1","68","0","92","100","0","2","4","0"
"175","Talador","Talador","0","0","6662","1","68","0","94","100","0","2","4","0"
"176","Spires of Arak","Spires of Arak","0","0","6722","1","68","0","96","100","0","2","4","0"
"177","Nagrand (Draenor)","Nagrand","0","0","6755","1","68","0","98","100","0","2","4","0"
"179","Bloodmaul Slag Mines (Challenge)","Challenge","630","1175","0","2","6","4","100","100","8","99","1","5"
"180","Iron Docks (Challenge)","Challenge","630","1195","0","2","7","4","100","100","8","99","1","5"
"181","Auchindoun (Challenge)","Challenge","630","1182","0","2","8","4","100","100","8","99","1","5"
"182","Skyreach (Challenge)","Challenge","630","1209","0","2","9","4","100","100","8","99","1","5"
"183","Grimrail Depot (Challenge)","Challenge","630","1208","0","2","10","4","100","100","8","99","1","5"
"184","The Everbloom (Challenge)","Challenge","630","1279","0","2","11","4","100","100","8","99","1","5"
"185","Shadowmoon Burial Grounds (Challenge)","Challenge","630","1176","0","2","12","4","100","100","8","99","1","5"
"186","Upper Blackrock Spire (Challenge)","Challenge","630","1358","0","2","13","4","100","100","8","99","1","5"
"187","New Tinkertown","New Tinkertown","0","0","6457","1","2","0","1","5","0","2","4","0"
"188","Coldridge Valley","Coldridge Valley","0","0","6176","1","2","0","1","5","0","2","4","0"
"189","Northshire","Northshire","0","0","6170","1","2","0","1","5","0","2","4","0"
"190","Gilneas City","Gilneas City","0","0","5435","1","2","0","1","5","0","2","4","0"
"191","Sunstrider Isle","Sunstrider Isle","0","0","6455","1","2","0","1","5","0","2","4","0"
"192","Deathknell","Deathknell","0","0","6454","1","2","0","1","5","0","2","4","0"
"193","Dun Morogh","Dun Morogh","0","0","1","1","2","0","1","10","0","2","4","0"
"194","Tirisfal Glades","Tirisfal Glades","0","0","85","1","2","0","1","10","0","2","4","0"
"195","Eversong Woods","Eversong Woods","0","0","3430","1","2","0","1","10","0","2","4","0"
"196","Elwynn Forest","Elwynn Forest","0","0","12","1","2","0","1","10","0","2","4","0"
"197","Gilneas","Gilneas","0","0","4714","1","2","0","1","12","0","2","4","0"
"198","Loch Modan","Loch Modan","0","0","38","1","2","0","10","20","0","2","4","0"
"199","Ghostlands","Ghostlands","0","0","3433","1","2","0","10","20","0","2","4","0"
"200","Silverpine Forest","Silverpine Forest","0","0","130","1","2","0","10","20","0","2","4","0"
"201","Ruins of Gilneas","Ruins of Gilneas","0","0","4706","1","2","0","14","20","0","2","4","0"
"202","Redridge Mountains","Redridge Mountains","0","0","44","1","2","0","15","20","0","2","4","0"
"203","Wetlands","Wetlands","0","0","11","1","2","0","20","25","0","2","4","0"
"204","Duskwood","Duskwood","0","0","10","1","2","0","20","25","0","2","4","0"
"205","Hillsbrad Foothills","Hillsbrad Foothills","0","0","267","1","2","0","20","25","0","2","4","0"
"206","Arathi Highlands","Arathi Highlands","0","0","45","1","2","0","25","30","0","2","4","0"
"207","Northern Stranglethorn","Northern Stranglethorn","0","0","33","1","2","0","25","30","0","2","4","0"
"208","The Cape of Stranglethorn","The Cape of Stranglethorn","0","0","5287","1","2","0","30","35","0","2","4","0"
"209","The Hinterlands","The Hinterlands","0","0","47","1","2","0","30","35","0","2","4","0"
"210","Stranglethorn Vale","Stranglethorn Vale","0","0","5339","1","2","0","30","50","0","2","4","0"
"211","Western Plaguelands","Western Plaguelands","0","0","28","1","2","0","35","40","0","2","4","0"
"212","Burning Steppes","Burning Steppes","0","0","46","1","2","0","49","52","0","2","4","0"
"213","Searing Gorge","Searing Gorge","0","0","51","1","2","0","47","51","0","2","4","0"
"214","Badlands","Badlands","0","0","3","1","2","0","44","48","0","2","4","0"
"215","Eastern Plaguelands","Eastern Plaguelands","0","0","139","1","2","0","40","45","0","2","4","0"
"217","Twilight Highlands","Twilight Highlands","0","0","4922","1","2","0","84","85","0","2","4","0"
"219","Vashj'ir","Vashj'ir","0","0","5146","1","2","0","80","82","0","2","4","0"
"221","Isle of Quel'Danas","Isle of Quel'Danas","0","0","4080","1","2","0","70","70","0","2","4","0"
"222","Blasted Lands","Blasted Lands","0","0","4","1","2","0","55","60","0","2","4","0"
"223","Plaguelands: The Scarlet Enclave","Plaguelands: The Scarlet Enclave","0","0","4298","1","2","0","55","58","0","2","4","0"
"224","Swamp of Sorrows","Swamp of Sorrows","0","0","8","1","2","0","51","55","0","2","4","0"
"225","Deadwind Pass","Deadwind Pass","0","0","41","1","2","0","50","60","0","2","4","0"
"226","Blackrock Mountain","Blackrock Mountain","0","0","1445","1","2","0","50","60","0","2","4","0"
"227","Shadowglen","Shadowglen","0","0","6450","1","3","0","1","5","0","2","4","0"
"228","Ammen Vale","Ammen Vale","0","0","6456","1","3","0","1","5","0","2","4","0"
"229","Valley of Trials","Valley of Trials","0","0","6451","1","3","0","1","5","0","2","4","0"
"230","Echo Isles","Echo Isles","0","0","6453","1","3","0","1","5","0","2","4","0"
"231","Camp Narache","Camp Narache","0","0","6452","1","3","0","1","5","0","2","4","0"
"232","Azuremyst Isle","Azuremyst Isle","0","0","3524","1","3","0","1","10","0","2","4","0"
"234","Mulgore","Mulgore","0","0","215","1","3","0","1","10","0","2","4","0"
"235","Durotar","Durotar","0","0","14","1","3","0","1","10","0","2","4","0"
"236","Darkshore","Darkshore","0","0","148","1","3","0","10","20","0","2","4","0"
"237","Bloodmyst Isle","Bloodmyst Isle","0","0","3525","1","3","0","10","20","0","2","4","0"
"238","Northern Barrens","Northern Barrens","0","0","17","1","3","0","10","20","0","2","4","0"
"239","Tanaris","Tanaris","0","0","440","1","3","0","45","50","0","2","4","0"
"240","Thousand Needles","Thousand Needles","0","0","400","1","3","0","40","45","0","2","4","0"
