Id,Unknown0,Unknown1
"1","Siege of Orgrimmar","1"
"2","Eastern Kingdoms","0"
"3","Kalimdor","0"
"5","Deadmines","0"
"6","Bloodmaul Slag Mines","0"
"7","Iron Docks","0"
"8","Auchindoun","0"
"9","Skyreach","0"
"10","Grimrail Depot","0"
"11","The Everbloom","0"
"12","Shadowmoon Burial Grounds","0"
"13","Upper Blackrock Spire","0"
"14","Highmaul","0"
"15","Blackrock Foundry","0"
"16","Naxxramas","0"
"17","Icecrown Citadel","0"
"18","Scholomance","0"
"19","Shadowfang Keep","0"
"20","Hellfire Ramparts","0"
"21","Blood Furnace","0"
"22","Shattered Halls","0"
"23","Slave Pens","0"
"24","Underbog","0"
"25","The Steamvault","0"
"26","Mana-Tombs","0"
"27","Auchenai Crypts","0"
"28","Sethekk Halls","0"
"29","Shadow Labyrinth","0"
"30","Scarlet Halls","0"
"31","Scarlet Monastery","0"
"32","The Escape from Durnholde","0"
"33","Opening of the Dark Portal","0"
"34","The Mechanar","0"
"35","The Botanica","0"
"36","The Arcatraz","0"
"37","Magisters' Terrace","0"
"38","Utgarde Keep","0"
"39","Utgarde Pinnacle","0"
"40","Azjol-Nerub","0"
"41","The Oculus","0"
"42","Halls of Lightning","0"
"43","Halls of Stone","0"
"44","The Culling of Stratholme","0"
"45","Drak'Tharon Keep","0"
"46","Gundrak","0"
"47","Ahn'kahet: The Old Kingdom","0"
"48","Violet Hold","0"
"49","The Nexus","0"
"50","Trial of the Champion","0"
"51","The Forge of Souls","0"
"52","Pit of Saron","0"
"53","Halls of Reflection","0"
"54","Throne of the Tides","0"
"55","Blackrock Caverns","0"
"56","Grim Batol","0"
"57","Halls of Origination","0"
"58","The Stonecore","0"
"59","The Vortex Pinnacle","0"
"60","Lost City of the Tol'vir","0"
"61","Temple of the Jade Serpent","0"
"62","Stormstout Brewery","0"
"63","Shado-Pan Monastery","0"
"64","Mogu'shan Palace","0"
"65","Siege of Niuzao Temple","0"
"66","Gate of the Setting Sun","0"
"68","Draenor","0"
"69","Outland","0"
"70","Northrend","0"
"71","Pandaria","0"
"72","Ulduar","0"
"73","Trial of the Crusader","0"
"74","The Ruby Sanctum","0"
"75","Blackwing Descent","0"
"76","The Bastion of Twilight","0"
"77","Throne of the Four Winds","0"
"78","Firelands","0"
"79","Dragon Soul","0"
"80","Mogu'shan Vaults","5"
"81","Heart of Fear","4"
"82","Terrace of Endless Spring","3"
"83","Throne of Thunder","2"
"84","Random Pandaria Dungeon","0"
"86","Theramore's Fall","0"
"102","A Brewing Storm","0"
"103","Battle on the High Seas","0"
"104","Blood in the Snow","0"
"105","Crypt of Forgotten Kings","0"
"106","Dark Heart of Pandaria","0"
"107","Random Pandaria Scenario","0"
"108","The Secrets of Ragefire","0"
"109","Random Draenor Dungeon","0"
"110","Hellfire Citadel","0"
"111","Random Legion Dungeon","0"
"112","Eye of Azshara","0"
"113","Darkheart Thicket","0"
"114","Halls of Valor","0"
"115","Neltharion's Lair","0"
"116","Assault on Violet Hold","0"
"117","Vault of the Wardens","0"
"118","Black Rook Hold","0"
"119","Maw of Souls","0"
"120","Court of Stars","0"
"121","The Arcway","0"
"122","Emerald Nightmare","0"
"123","The Nighthold","3"
"124","Broken Isles","0"
"125","Return to Karazhan","0"
"126","Trial of Valor","2"
"67","The Everbloom","0"
