Id,Unknown0,Unknown1,Unknown2
"0","255","32","136"
"1","189","0","91"
"2","158","0","54"
"3","255","137","27"
"4","225","69","0"
"5","177","0","46"
"6","255","179","23"
"7","246","135","0"
"8","174","75","0"
"9","255","252","20"
"10","243","202","0"
"11","196","155","0"
"12","255","255","20"
"13","216","221","0"
"14","166","172","0"
"15","227","246","24"
"16","183","192","3"
"17","142","151","0"
"18","188","246","27"
"19","136","186","3"
"20","88","128","0"
"21","30","255","104"
"22","4","195","71"
"23","0","130","15"
"24","30","247","193"
"25","4","183","143"
"26","0","144","97"
"27","33","220","255"
"28","0","157","197"
"29","0","99","145"
"30","77","142","218"
"31","44","106","174"
"32","0","53","130"
"33","211","74","200"
"34","173","41","172"
"35","134","15","154"
"36","255","56","250"
"37","201","0","195"
"38","155","0","166"
"39","255","31","191"
"40","211","0","135"
"41","163","0","104"
"42","197","129","50"
"43","135","85","19"
"44","79","35","0"
"45","35","35","35"
"46","100","100","100"
"47","180","187","168"
"48","215","221","203"
"49","255","255","255"
"50","252","104","145"
