Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5_0,Unknown5_1,Unknown6_0,Unknown6_1,Unknown7,Unknown8
"1","122353","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42947","93854","0","122339","122341","582","583","0","2"
"2","122365","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44092","93851","0","122339","122341","582","583","0","2"
"3","122363","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","79131","93844","0","122339","122341","582","583","0","2"
"4","122352","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42946","93855","0","122339","122341","582","583","0","2"
"663","122356","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42950","93887","0","122338","122340","582","583","0","2"
"664","122349","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42943","93843","0","122339","122341","582","583","0","2"
"665","122351","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers|n","42945","93856","0","122339","122341","582","583","0","2"
"666","122376","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44103","93867","0","122338","122340","582","583","0","2"
"667","122355","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42949","93890","0","122338","122340","582","583","0","2"
"668","122358","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42952","93862","0","122338","122340","582","583","0","2"
"669","122350","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers|n","42944","93857","0","122339","122341","582","583","0","2"
