Id,Unknown0,Unknown1,Unknown2
"24","0.5","248","26"
"25","0.5","248","25"
"26","0.5","248","24"
"27","0.5","306","26"
"28","0.5","306","25"
"29","0.5","306","24"
"30","0.5","345","26"
"31","0.5","410","26"
"32","0.5","387","26"
"33","0.5","387","25"
"34","0.5","387","24"
"35","0.5","388","26"
"36","0.5","388","25"
"37","0.5","388","24"
"38","0","285","26"
"39","0","285","25"
"40","0","285","24"
"41","0.5","247","26"
"42","0.5","247","25"
"43","0.5","247","24"
"44","0.5","369","26"
"45","0.5","369","25"
"46","0.5","369","24"
"52","0.5","345","25"
"53","0.5","345","24"
"54","0.5","410","25"
"55","0.5","410","24"
"56","0.5","368","26"
"57","0.5","368","25"
"58","0.5","368","24"
"59","0.5","421","26"
"60","0.5","421","25"
"61","0.5","421","24"
"62","0.5","422","26"
"63","0.5","422","25"
"64","0.5","422","24"
"65","0.5","425","26"
"66","0.5","425","25"
"67","0.5","425","24"
"68","0.5","426","26"
"69","0.5","426","25"
"70","0.5","426","24"
"71","0.4","427","26"
"72","0.4","427","25"
"73","0.4","427","24"
"74","0.5","428","26"
"75","0.5","428","25"
"76","0.5","428","24"
"97","0.5","435","26"
"98","0.5","435","25"
"99","0.5","435","24"
"100","0.5","436","26"
"101","0.5","436","25"
"102","0.5","436","24"
"106","0.8","247","9"
"107","0.8","248","9"
"116","0.5","451","26"
"117","0.5","451","25"
"118","0.5","451","24"
"119","0.5","452","26"
"120","0.5","452","25"
"121","0.5","452","24"
"122","0.8","452","9"
"134","0.5","463","26"
"135","0.5","463","25"
"136","0.5","463","24"
"137","0.8","463","9"
"138","0.5","464","26"
"139","0.5","464","25"
"140","0.5","464","24"
