Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8
"245","0","0","0","0","0","0","0","0","0"
"246","4294967231","0","121634944","4","4294965999","0","0","0","1040"
"247","0","4294966783","4173331903","4294966495","0","0","0","0","0"
"248","4294967231","4294966751","4294966687","4294966495","4294965487","0","0","0","0"
"249","4290772927","0","117440640","0","117440576","0","0","0","0"
"265","4290772927","0","0","0","4169134081","0","0","0","0"
"285","130027518","130027518","130027518","130027518","130027518","256","0","0","1040"
"305","125833150","0","0","117442708","117440512","0","0","0","0"
"306","130027454","8390110","12584414","125830366","130025710","0","0","0","0"
"307","130027454","0","12583040","125830172","125831406","0","0","0","1040"
"325","125830078","0","0","125830142","64","0","0","0","0"
"345","125833150","64","125832350","132","125831374","0","0","0","1040"
"365","0","0","128","0","0","0","0","0","0"
"366","125833150","0","121634944","4","117440512","0","0","0","0"
"367","125833150","0","4194304","125830198","117440512","0","0","0","0"
"368","4294967295","4294966751","4294966751","4294966783","4294966783","0","0","0","1040"
"369","0","8450526","125890974","117505236","0","0","0","0","0"
"370","0","0","0","0","0","0","4294967295","0","4294967293"
"371","0","0","0","117440512","4294967295","4294967295","0","0","1040"
"372","0","0","0","117440512","4294967295","0","0","0","1040"
"376","134217662","0","4194944","4","134217726","1024","0","0","1040"
"387","4294967231","4294966751","4290772383","4294966495","4278190081","0","0","0","0"
"388","130027454","8390110","8390110","125830366","117440512","0","0","0","0"
"398","134217662","0","4194944","117441550","134217726","1024","0","0","1040"
"410","125833150","64","125832350","117440652","125831374","0","0","0","1040"
"411","0","0","117440512","0","0","0","0","0","0"
"417","4290772927","0","128","0","64","0","0","0","0"
"418","125833150","0","0","2196","64","0","0","0","0"
"419","4294967231","0","121634944","4","4177525487","0","0","0","1040"
"420","130027454","0","12583040","8389660","8390894","0","0","0","1040"
"421","4294967231","4294966751","4294966687","4294966495","4177524975","0","0","0","0"
"422","130027454","8390110","12584414","8389854","12585198","0","0","0","0"
"423","125833150","0","121634944","4","0","0","0","0","0"
"424","125833150","0","4194304","8389686","0","0","0","0","0"
"425","4294967231","4294966751","4290772383","4294966495","4160749569","0","0","0","0"
"426","130027454","8390110","8390110","8389854","0","0","0","0","0"
"435","4294967231","4294966751","4294967199","4294966495","4294966783","0","0","0","0"
"436","4294967231","4294966751","4294967231","4294966495","4294966783","0","0","0","0"
"439","0","4294967295","4294967295","4294967295","4294967295","0","0","0","1040"
"441","4294967293","4294967293","4294967293","4294967293","4294967293","4294967293","4294967293","0","4294967293"
"446","4294967231","0","121634944","4","4294965999","0","134217726","0","134217726"
"447","130027454","0","12583040","125830172","125831406","0","134217726","0","134217726"
"448","4294967231","0","121634944","4","4177525487","0","134217726","0","134217726"
"449","130027454","0","12583040","125830172","8390894","0","134217726","0","134217726"
"451","0","8450526","125890972","117505236","0","0","134217726","0","134217726"
"452","0","4294966783","4173331903","4294966495","0","0","134217726","0","134217724"
"460","4294967231","0","121634944","4","4294965999","0","0","0","0"
"461","130027454","0","12583040","125830172","125831406","0","0","0","0"
"463","4294967231","4294966751","4294966687","4294966495","4294965487","0","0","0","1040"
"464","130027454","8390110","12584414","125830366","130025710","0","0","0","1040"
"427","4294967231","0","121634944","4","4294965999","0","0","0","1040"
"428","130027454","0","12583040","125830172","125831406","0","0","0","1040"
