Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","4294901760","2147418112","16711680","1","0"
"2","4294934784","2147450880","16744448","2","0"
"3","4294967040","2147483392","16776960","3","0"
"4","4278255360","2130770432","65280","4","0"
"5","4278190335","2130706687","255","5","0"
"6","4284506367","2137022719","6316287","6","0"
"7","4289374975","2141891327","11184895","7","0"
"8","4289396650","2141913002","11206570","8","0"
"9","4283681279","2136197631","5491199","9","0"
"10","4286611584","2139127936","8421504","10","0"
"11","4294967295","4294965672","16776960","11","1"
"14","4294967295","2113927592","16775592","12","1"
"15","3002529922","1509357698","16185474","13","1"
"16","4290533631","3955453183","10696174","14","1"
"74","4294967295","2147482024","16776960","16","1"
"95","4294967295","4294967295","16777215","15","1"
"119","16777215","4294901760","16777215","17","1"
"121","16777215","4294929152","16777215","18","1"
"124","4290533631","3952355552","10696174","19","1"
"125","4294902015","4294902015","4294902015","20","0"
"127","4294902015","4294902015","4294902015","21","0"
"128","4294967179","3003121547","16777099","22","0"
"130","4294967295","4294965672","16776960","23","1"
"131","4294967295","4294965672","16776960","24","1"
"135","16777215","6812184","16777215","25","1"
"136","0","12452095","0","27","1"
"137","0","54783","0","28","1"
"138","0","15072512","0","26","1"
