Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","1.31","1.31","1.31","1.31"
"2","0.75","0.75","0.75","0.75"
"4","0","0","0","0"
"5","1.75","1.75","1.75","1.75"
"6","0.88","0.88","0.88","0.88"
"11","1.1","1.1","1.1","1.1"
"12","1.5","1.5","1.5","1.5"
"24","1.75","1.31","1.31","1.75"
"3","1.31","1.31","1.31","1.31"
"8","1.31","1.31","1.31","1.31"
"16","1.31","1.31","1.31","1.31"
"13","0","0","0","0"
"14","0","0","0","0"
"15","0","0","0","0"
"17","0","0","0","0"
"18","0","0","0","0"
"19","0","0","0","0"
"20","0","0","0","0"
"21","0","0","0","0"
"22","0","0","0","0"
"7","1.75","1.75","1.75","1.75"
"9","0.88","0.88","0.88","0.88"
"10","0.88","0.88","0.88","0.88"
"23","1.5","1.5","1.5","1.5"
"25","1.75","1.31","1.31","1.75"
"26","1.75","1.31","1.31","1.75"
"27","1.75","1.31","1.31","1.75"
