Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown1
"1","22","23","24","31","38","38","38","1"
"2","24","25","26","33","41","41","41","2"
"3","24","26","28","35","42","42","42","3"
"4","27","28","29","37","45","45","45","4"
"5","27","29","30","39","47","47","47","5"
"6","29","31","32","41","50","50","50","6"
"7","31","32","34","43","52","52","52","7"
"8","32","34","35","45","54","54","54","8"
"9","34","35","37","47","57","57","57","9"
"10","35","37","39","49","60","60","60","10"
"11","36","38","40","51","62","62","62","11"
"12","38","40","42","53","65","65","65","12"
"13","39","41","43","55","66","66","66","13"
"14","41","43","45","57","69","69","69","14"
"15","42","44","47","59","72","72","72","15"
"16","43","46","48","61","74","74","74","16"
"17","45","47","50","63","76","76","76","17"
"18","46","49","51","65","79","79","79","18"
"19","47","50","53","67","82","82","82","19"
"20","49","52","55","69","83","83","83","20"
"21","50","53","56","71","85","85","85","21"
"22","53","56","58","73","88","88","88","22"
"23","54","57","60","75","90","90","90","23"
"24","55","59","62","77","92","92","92","24"
"25","58","61","64","79","94","94","94","25"
"26","59","63","66","81","96","96","96","26"
"27","61","64","68","83","98","98","98","27"
"28","63","67","70","85","100","100","100","28"
"29","65","69","72","87","102","102","102","29"
"30","67","70","74","89","104","104","104","30"
"31","68","73","76","91","106","106","106","31"
"32","70","74","78","93","108","108","108","32"
"33","71","75","79","94","109","109","109","33"
"34","73","77","81","96","111","111","111","34"
"35","75","79","83","98","113","113","113","35"
"36","76","80","85","100","115","115","115","36"
"37","79","83","87","102","117","117","117","37"
"38","80","84","89","104","119","119","119","38"
"39","81","86","91","106","121","121","121","39"
"40","84","88","93","108","123","123","123","40"
"41","85","90","95","110","125","125","125","41"
"42","87","92","97","112","127","127","127","42"
"43","89","94","99","114","129","129","129","43"
"44","91","95","100","116","131","131","131","44"
"45","93","98","103","118","133","133","133","45"
"46","94","99","105","120","135","135","135","46"
"47","96","101","106","122","137","137","137","47"
"48","98","103","109","124","138","138","138","48"
"49","100","105","111","126","137","137","137","49"
"50","102","107","112","128","139","139","139","50"
"51","104","109","115","130","142","142","142","51"
"52","105","111","117","132","143","143","143","52"
"53","107","113","118","134","143","143","143","53"
"54","109","115","121","136","144","144","144","54"
"55","111","117","123","138","144","144","144","55"
"56","114","120","126","140","147","147","147","56"
"57","117","124","130","142","150","150","150","57"
"58","117","124","130","142","148","148","148","58"
"59","117","123","130","142","146","146","146","59"
"60","119","125","131","142","146","146","146","60"
"61","119","126","133","142","146","146","146","61"
"62","121","128","134","142","148","148","148","62"
"63","123","130","137","143","150","150","150","63"
"64","123","130","137","143","151","151","151","64"
