Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","19.625","31.4","44.85714","78.5","1"
"2","20.875","33.4","47.71429","83.5","2"
"3","22.125","35.4","50.57143","88.5","3"
"4","23.375","37.4","53.42857","93.5","4"
"5","24.625","39.4","56.28571","98.5","5"
"6","25.875","41.4","59.14286","103.5","6"
"7","27.125","43.4","62","108.5","7"
"8","28.375","45.4","64.85714","113.5","8"
"9","29.625","47.4","67.71429","118.5","9"
"10","30.875","49.4","70.57143","123.5","10"
"11","32.125","51.4","73.42857","128.5","11"
"12","33.375","53.4","76.28571","133.5","12"
"13","34.625","55.4","79.14286","138.5","13"
"14","35.875","57.4","82","143.5","14"
"15","37.125","59.4","84.85714","148.5","15"
"16","38.375","61.4","87.71429","153.5","16"
"17","39.625","63.4","90.57143","158.5","17"
"18","40.875","65.4","93.42857","163.5","18"
"19","42.125","67.4","96.28571","168.5","19"
"20","43.375","69.4","99.14286","173.5","20"
"21","44.625","71.4","102","178.5","21"
"22","45.875","73.4","104.8571","183.5","22"
"23","47.125","75.4","107.7143","188.5","23"
"24","48.375","77.4","110.5714","193.5","24"
"25","49.625","79.4","113.4286","198.5","25"
"26","50.875","81.4","116.2857","203.5","26"
"27","52.125","83.4","119.1429","208.5","27"
"28","53.375","85.4","122","213.5","28"
"29","54.625","87.4","124.8571","218.5","29"
"30","55.875","89.4","127.7143","223.5","30"
"31","57.125","91.4","130.5714","228.5","31"
"32","58.375","93.4","133.4286","233.5","32"
"33","59.625","95.4","136.2857","238.5","33"
"34","60.875","97.4","139.1429","243.5","34"
"35","62.125","99.4","142","248.5","35"
"36","63.375","101.4","144.8571","253.5","36"
"37","64.625","103.4","147.7143","258.5","37"
"38","65.875","105.4","150.5714","263.5","38"
"39","67.125","107.4","153.4286","268.5","39"
"40","68.375","109.4","156.2857","273.5","40"
"41","69.625","111.4","159.1429","278.5","41"
"42","70.875","113.4","162","283.5","42"
"43","72.125","115.4","164.8571","288.5","43"
"44","73.375","117.4","167.7143","293.5","44"
"45","74.625","119.4","170.5714","298.5","45"
"46","75.875","121.4","173.4286","303.5","46"
"47","77.125","123.4","176.2857","308.5","47"
"48","78.375","125.4","179.1429","313.5","48"
"49","79.625","127.4","182","318.5","49"
"50","80.875","129.4","184.8571","323.5","50"
"51","82.125","131.4","187.7143","328.5","51"
"52","83.375","133.4","190.5714","333.5","52"
"53","84.625","135.4","193.4286","338.5","53"
"54","85.875","137.4","196.2857","343.5","54"
"55","87.125","139.4","199.1429","348.5","55"
"56","88.375","141.4","202","353.5","56"
"57","89.625","143.4","204.8571","358.5","57"
"58","89.67934","143.487","204.9814","358.7174","58"
