Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown1
"1","0.3466456","0.5198648","0.6290592","1.050297","1.874124","1.874124","1.874124","1"
"2","0.5021738","0.7548","0.8858293","1.377288","2.240345","2.240345","2.240345","2"
"3","0.6577021","0.9897352","1.142599","1.704279","2.606566","2.606566","2.606566","3"
"4","0.8132304","1.22467","1.39937","2.031271","2.972787","2.972787","2.972787","4"
"5","0.9687586","1.459606","1.65614","2.358262","3.339008","3.339008","3.339008","5"
"6","1.124287","1.694541","1.91291","2.685253","3.705229","3.705229","3.705229","6"
"7","1.279815","1.929476","2.16968","3.012244","4.07145","4.07145","4.07145","7"
"8","1.435344","2.164411","2.42645","3.339235","4.437672","4.437672","4.437672","8"
"9","1.590872","2.399346","2.68322","3.666226","4.803893","4.803893","4.803893","9"
"10","1.7464","2.634282","2.93999","3.993218","5.170114","5.170114","5.170114","10"
"11","1.901928","2.869217","3.19676","4.320209","5.536335","5.536335","5.536335","11"
"12","2.057456","3.104152","3.453531","4.6472","5.902556","5.902556","5.902556","12"
"13","2.212985","3.339087","3.710301","4.974191","6.268777","6.268777","6.268777","13"
"14","2.368513","3.574022","3.967071","5.301182","6.634998","6.634998","6.634998","14"
"15","2.524041","3.808958","4.223841","5.628174","7.001219","7.001219","7.001219","15"
"16","2.679569","4.043893","4.480611","5.955165","7.36744","7.36744","7.36744","16"
"17","2.835098","4.278828","4.737381","6.282156","7.733661","7.733661","7.733661","17"
"18","2.990626","4.513763","4.994152","6.609147","8.099882","8.099882","8.099882","18"
"19","3.146154","4.748698","5.250922","6.936139","8.466104","8.466104","8.466104","19"
"20","3.301683","4.983634","5.507692","7.26313","8.832324","8.832324","8.832324","20"
"21","3.457211","5.218569","5.764462","7.590121","9.198545","9.198545","9.198545","21"
"22","3.612739","5.453504","6.021232","7.917112","9.564766","9.564766","9.564766","22"
"23","3.797147","5.729495","6.328717","8.208435","9.889656","9.889656","9.889656","23"
"24","3.9886","6.021232","6.647805","8.488155","10.24811","10.24811","10.24811","24"
"25","4.18171","6.328717","6.969794","8.757101","10.65091","10.65091","10.65091","25"
"26","4.376064","6.647805","7.293025","9.016101","11.09639","11.09639","11.09639","26"
"27","4.567102","6.969794","7.612113","9.276344","11.55099","11.55099","11.55099","27"
"28","4.750267","7.293025","7.917112","9.564766","12.0205","12.0205","12.0205","28"
"29","4.925144","7.612113","8.208435","9.889656","12.50411","12.50411","12.50411","29"
"30","5.092976","7.917112","8.488155","10.24811","12.99683","12.99683","12.99683","30"
"31","5.254178","8.208435","8.757101","10.65091","13.49701","13.49701","13.49701","31"
"32","5.409577","8.488155","9.016101","11.09639","13.96942","13.96942","13.96942","32"
"33","5.565806","8.757101","9.276344","11.55099","14.40206","14.40206","14.40206","33"
"34","5.738611","9.016101","9.564766","12.0205","14.79739","14.79739","14.79739","34"
"35","5.933794","9.276344","9.889656","12.50411","15.15378","15.15378","15.15378","35"
