Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown1
"1","0.1733228","0.2599324","0.3145296","0.5251484","0.937062","0.937062","0.937062","1"
"2","0.2510869","0.3774","0.4429147","0.688644","1.120173","1.120173","1.120173","2"
"3","0.3288511","0.4948676","0.5712997","0.8521396","1.303283","1.303283","1.303283","3"
"4","0.4066152","0.6123352","0.6996848","1.015635","1.486394","1.486394","1.486394","4"
"5","0.4843793","0.7298028","0.8280699","1.179131","1.669504","1.669504","1.669504","5"
"6","0.5621434","0.8472704","0.9564549","1.342626","1.852615","1.852615","1.852615","6"
"7","0.6399076","0.964738","1.08484","1.506122","2.035725","2.035725","2.035725","7"
"8","0.7176718","1.082206","1.213225","1.669618","2.218836","2.218836","2.218836","8"
"9","0.7954358","1.199673","1.34161","1.833113","2.401946","2.401946","2.401946","9"
"10","0.8732","1.317141","1.469995","1.996609","2.585057","2.585057","2.585057","10"
"11","0.9509642","1.434608","1.59838","2.160105","2.768167","2.768167","2.768167","11"
"12","1.028728","1.552076","1.726765","2.3236","2.951278","2.951278","2.951278","12"
"13","1.106492","1.669544","1.85515","2.487096","3.134388","3.134388","3.134388","13"
"14","1.184257","1.787011","1.983535","2.650591","3.317499","3.317499","3.317499","14"
"15","1.262021","1.904479","2.111921","2.814087","3.500609","3.500609","3.500609","15"
"16","1.339785","2.021946","2.240306","2.977582","3.68372","3.68372","3.68372","16"
"17","1.417549","2.139414","2.368691","3.141078","3.866831","3.866831","3.866831","17"
"18","1.495313","2.256882","2.497076","3.304574","4.049941","4.049941","4.049941","18"
"19","1.573077","2.374349","2.625461","3.468069","4.233052","4.233052","4.233052","19"
"20","1.650841","2.491817","2.753846","3.631565","4.416162","4.416162","4.416162","20"
"21","1.728606","2.609284","2.882231","3.79506","4.599273","4.599273","4.599273","21"
"22","1.80637","2.726752","3.010616","3.958556","4.782383","4.782383","4.782383","22"
"23","1.898574","2.864747","3.164358","4.104218","4.944828","4.944828","4.944828","23"
"24","1.9943","3.010616","3.323902","4.244078","5.124056","5.124056","5.124056","24"
"25","2.090855","3.164358","3.484897","4.378551","5.325454","5.325454","5.325454","25"
"26","2.188032","3.323902","3.646513","4.50805","5.548194","5.548194","5.548194","26"
"27","2.283551","3.484897","3.806057","4.638172","5.775493","5.775493","5.775493","27"
"28","2.375134","3.646513","3.958556","4.782383","6.010251","6.010251","6.010251","28"
"29","2.462572","3.806057","4.104218","4.944828","6.252053","6.252053","6.252053","29"
"30","2.546488","3.958556","4.244078","5.124056","6.498414","6.498414","6.498414","30"
"31","2.627089","4.104218","4.378551","5.325454","6.748504","6.748504","6.748504","31"
"32","2.704789","4.244078","4.50805","5.548194","6.984712","6.984712","6.984712","32"
"33","2.782903","4.378551","4.638172","5.775493","7.201029","7.201029","7.201029","33"
"34","2.869306","4.50805","4.782383","6.010251","7.398697","7.398697","7.398697","34"
"35","2.966897","4.638172","4.944828","6.252053","7.57689","7.57689","7.57689","35"
"36","3.074434","4.782383","5.124056","6.498414","7.736019","7.736019","7.736019","36"
"37","3.195231","4.944828","5.325454","6.748504","7.894734","7.894734","7.894734","37"
"38","3.328875","5.124056","5.548194","6.984712","8.054693","8.054693","8.054693","38"
"39","3.46542","5.325454","5.775493","7.201029","8.21693","8.21693","8.21693","39"
"40","3.606109","5.548194","6.010251","7.398697","8.377303","8.377303","8.377303","40"
"41","3.751149","5.775493","6.252053","7.57689","8.536018","8.536018","8.536018","41"
"42","3.89909","6.010251","6.498414","7.736019","8.696184","8.696184","8.696184","42"
"43","4.049102","6.252053","6.748504","7.894734","8.856142","8.856142","8.856142","43"
"44","4.190827","6.498414","6.984712","8.054693","9.015065","9.015065","9.015065","44"
"45","4.320534","6.748504","7.201029","8.21693","9.176267","9.176267","9.176267","45"
"46","4.43926","6.984712","7.398697","8.377303","9.33954","9.33954","9.33954","46"
"47","4.546175","7.201029","7.57689","8.536018","9.502606","9.502606","9.502606","47"
"48","4.641695","7.398697","7.736019","8.696184","9.666916","9.666916","9.666916","48"
"49","4.736799","7.57689","7.894734","8.856142","9.831432","9.831432","9.831432","49"
"50","4.832733","7.736019","8.054693","9.015065","9.994292","9.994292","9.994292","50"
"51","4.930117","7.894734","8.21693","9.176267","10.15736","10.15736","10.15736","51"
"52","5.026465","8.054693","8.377303","9.33954","10.32105","10.32105","10.32105","52"
"53","5.12157","8.21693","8.536018","9.502606","10.4866","10.4866","10.4866","53"
"54","5.21771","8.377303","8.696184","9.666916","10.65443","10.65443","10.65443","54"
"55","5.313644","8.536018","8.856142","9.831432","10.82661","10.82661","10.82661","55"
"56","5.409163","8.696184","9.015065","9.994292","11.00045","11.00045","11.00045","56"
"57","5.505718","8.856142","9.176267","10.15736","11.1774","11.1774","11.1774","57"
"58","5.614706","9.030397","9.357981","10.85521","12.35244","12.35244","12.35244","58"
"59","5.725972","9.209211","9.543218","11.01144","12.47966","12.47966","12.47966","59"
"60","5.835166","9.384709","9.72514","11.22133","12.71752","12.71752","12.71752","60"
"61","5.946226","9.563523","9.910376","11.3786","12.84681","12.84681","12.84681","61"
"62","6.05542","9.739021","10.0923","11.58745","13.08261","13.08261","13.08261","62"
"63","6.166479","9.917628","10.27733","11.74555","13.21377","13.21377","13.21377","63"
"64","6.275466","10.09313","10.45925","11.95337","13.44769","13.44769","13.44769","64"
"65","6.386733","10.27194","10.64449","12.11271","13.58092","13.58092","13.58092","65"
"66","6.395021","10.28541","10.65837","11.76088","13.59854","13.59854","13.59854","66"
"67","6.403309","10.29867","10.67225","11.77621","13.61635","13.61635","13.61635","67"
"68","6.411597","10.31214","10.68613","11.79154","13.63397","13.63397","13.63397","68"
"69","6.420092","10.32581","10.70022","11.80709","13.65199","13.65199","13.65199","69"
"70","6.42838","10.33907","10.7141","11.82242","13.66981","13.66981","13.66981","70"
"71","6.436875","10.35254","10.72799","11.83775","13.68742","13.68742","13.68742","71"
"72","6.445163","10.36601","10.74208","11.85329","13.70545","13.70545","13.70545","72"
"73","6.453659","10.37968","10.75617","11.86883","13.72348","13.72348","13.72348","73"
"74","6.461946","10.39315","10.77005","11.88416","13.74109","13.74109","13.74109","74"
"75","6.470442","10.40662","10.78414","11.8997","13.75912","13.75912","13.75912","75"
"76","6.478937","10.42029","10.79823","11.91524","13.77714","13.77714","13.77714","76"
"77","6.487432","10.43397","10.81232","11.93078","13.79496","13.79496","13.79496","77"
"78","6.495927","10.44744","10.82641","11.94632","13.81299","13.81299","13.81299","78"
"79","6.504215","10.46111","10.8405","11.96186","13.83101","13.83101","13.83101","79"
"80","6.512918","10.47479","10.85479","11.97761","13.84925","13.84925","13.84925","80"
"81","6.521413","10.48846","10.86888","11.99315","13.86727","13.86727","13.86727","81"
"82","6.529701","10.50214","10.88297","12.0089","13.88509","13.88509","13.88509","82"
"83","6.538403","10.51581","10.89727","12.02464","13.90333","13.90333","13.90333","83"
"84","6.546898","10.5297","10.91157","12.04039","13.92156","13.92156","13.92156","84"
"85","6.555394","10.54317","10.92566","12.43262","13.93959","13.93959","13.93959","85"
"86","6.563889","10.55705","10.93995","12.82609","13.95782","13.95782","13.95782","86"
"87","6.572591","10.57093","10.95425","12.84288","13.97605","13.97605","13.97605","87"
"88","6.581087","10.58461","10.96855","13.2378","13.99429","13.99429","13.99429","88"
"89","6.589789","10.59849","10.98284","13.63397","14.01252","14.01252","14.01252","89"
"90","6.598284","10.61216","10.99714","13.65158","14.03076","14.03076","14.03076","90"
"91","6.606779","10.62605","11.01144","13.58072","13.58072","13.58072","13.58072","91"
"92","6.716181","10.80175","11.19357","14.17849","13.80532","13.80532","13.80532","92"
"93","6.82724","10.98036","11.3786","13.94788","13.58092","13.58092","13.58092","93"
"94","7.047287","11.33446","11.74555","14.31483","13.94788","13.94788","13.94788","94"
