Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown1
"1","0.4461333","0.6690667","0.8096","1.351733","2.412","2.412","2.412","1"
"2","0.6462984","0.9714286","1.140064","1.772571","2.883327","2.883327","2.883327","2"
"3","0.8464635","1.27379","1.470527","2.193409","3.354654","3.354654","3.354654","3"
"4","1.046629","1.576152","1.80099","2.614248","3.825981","3.825981","3.825981","4"
"5","1.246794","1.878514","2.131454","3.035086","4.297308","4.297308","4.297308","5"
"6","1.446959","2.180876","2.461917","3.455924","4.768635","4.768635","4.768635","6"
"7","1.647124","2.483238","2.792381","3.876762","5.239962","5.239962","5.239962","7"
"8","1.847289","2.7856","3.122844","4.2976","5.711289","5.711289","5.711289","8"
"9","2.047454","3.087962","3.453308","4.718438","6.182616","6.182616","6.182616","9"
"10","2.247619","3.390324","3.783772","5.139276","6.653943","6.653943","6.653943","10"
"11","2.447784","3.692686","4.114235","5.560114","7.12527","7.12527","7.12527","11"
"12","2.647949","3.995048","4.444698","5.980952","7.596597","7.596597","7.596597","12"
"13","2.848114","4.29741","4.775162","6.401791","8.067924","8.067924","8.067924","13"
"14","3.048279","4.599771","5.105626","6.822628","8.53925","8.53925","8.53925","14"
"15","3.248445","4.902133","5.436089","7.243467","9.010578","9.010578","9.010578","15"
"16","3.44861","5.204495","5.766552","7.664305","9.481905","9.481905","9.481905","16"
"17","3.648775","5.506857","6.097016","8.085143","9.953232","9.953232","9.953232","17"
"18","3.84894","5.809219","6.427479","8.50598","10.42456","10.42456","10.42456","18"
"19","4.049105","6.111581","6.757943","8.926819","10.89589","10.89589","10.89589","19"
"20","4.24927","6.413943","7.088407","9.347657","11.36721","11.36721","11.36721","20"
"21","4.449435","6.716305","7.41887","9.768496","11.83854","11.83854","11.83854","21"
"22","4.6496","7.018667","7.749333","10.18933","12.30987","12.30987","12.30987","22"
"23","4.886933","7.373867","8.145066","10.56427","12.728","12.728","12.728","23"
"24","5.133333","7.749333","8.555734","10.92427","13.18933","13.18933","13.18933","24"
"25","5.381866","8.145066","8.970134","11.2704","13.70773","13.70773","13.70773","25"
"26","5.632","8.555734","9.386133","11.60373","14.28107","14.28107","14.28107","26"
"27","5.877867","8.970134","9.7968","11.93867","14.86613","14.86613","14.86613","27"
"28","6.1136","9.386133","10.18933","12.30987","15.4704","15.4704","15.4704","28"
"29","6.338666","9.7968","10.56427","12.728","16.0928","16.0928","16.0928","29"
"30","6.554667","10.18933","10.92427","13.18933","16.72693","16.72693","16.72693","30"
"31","6.762133","10.56427","11.2704","13.70773","17.37067","17.37067","17.37067","31"
"32","6.962133","10.92427","11.60373","14.28107","17.97867","17.97867","17.97867","32"
"33","7.1632","11.2704","11.93867","14.86613","18.53547","18.53547","18.53547","33"
"34","7.3856","11.60373","12.30987","15.4704","19.04427","19.04427","19.04427","34"
"35","7.6368","11.93867","12.728","16.0928","19.50293","19.50293","19.50293","35"
"36","7.9136","12.30987","13.18933","16.72693","19.91253","19.91253","19.91253","36"
