Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"3","1","15","1","2","-1","2"
"4","1","15","1","4","-1","2"
"5","16","20","1","4","-1","2"
"6","16","20","1","2","-1","2"
"7","21","25","25","2","-1","2"
"8","21","25","25","4","-1","2"
"9","1","25","25","4","-1","3"
"10","1","25","25","2","-1","3"
"11","26","30","50","4","-1","3"
"12","26","30","50","2","-1","3"
"13","26","30","50","4","-1","2"
"14","26","30","50","2","-1","2"
"15","31","35","75","4","-1","3"
"16","31","35","75","2","-1","3"
"17","31","35","75","4","-1","2"
"18","31","35","75","2","-1","2"
"19","36","40","100","4","-1","3"
"20","36","40","100","2","-1","3"
"21","36","40","100","4","-1","2"
"22","36","40","100","2","-1","2"
"23","41","45","125","4","-1","3"
"24","41","45","125","2","-1","3"
"25","41","45","125","4","-1","2"
"26","41","45","125","2","-1","2"
"27","46","50","150","4","-1","3"
"28","46","50","150","2","-1","3"
"29","46","50","150","4","-1","2"
"30","46","50","150","2","-1","2"
"31","51","55","175","2","-1","2"
"32","51","55","175","4","-1","2"
"34","51","55","175","4","-1","3"
"35","51","55","175","2","-1","3"
"38","41","45","125","4","-1","4"
"39","41","45","125","2","-1","4"
"40","46","50","150","4","-1","4"
"41","46","50","150","2","-1","4"
"42","51","55","175","2","-1","4"
"43","51","55","175","4","-1","4"
"44","56","60","200","4","-1","3"
"45","56","60","200","2","-1","3"
"46","56","60","200","4","-1","2"
"47","56","60","200","2","-1","2"
"48","56","60","200","4","-1","4"
"49","56","60","200","2","-1","4"
"50","61","65","225","4","-1","3"
"51","61","65","225","2","-1","3"
"52","61","65","225","4","-1","2"
"53","61","65","225","2","-1","2"
"54","61","65","225","4","-1","4"
"55","61","65","225","2","-1","4"
"56","66","79","225","4","-1","2"
"57","66","79","225","2","-1","2"
"58","66","79","225","4","-1","3"
"59","66","79","225","2","-1","3"
"60","66","99","225","2","-1","4"
"61","66","99","225","4","-1","4"
"62","100","120","275","2","-1","2"
"63","100","120","275","4","-1","2"
"64","100","115","275","2","-1","3"
"65","100","115","275","4","-1","3"
"66","90","199","300","2","-1","4"
"67","90","199","300","4","-1","4"
"68","80","99","225","4","-1","3"
"69","80","99","225","2","-1","3"
"70","80","99","225","4","-1","2"
"71","80","99","225","2","-1","2"
"72","1","25","25","4","-1","4"
"73","1","25","25","2","-1","4"
"74","26","30","50","4","-1","4"
"75","26","30","50","2","-1","4"
"76","31","35","75","4","-1","4"
"77","31","35","75","2","-1","4"
"78","36","40","100","4","-1","4"
"79","36","40","100","2","-1","4"
"80","200","299","375","2","-1","4"
"81","200","299","375","4","-1","4"
"82","121","153","325","4","-1","2"
"83","121","153","325","2","-1","2"
"84","116","166","325","4","-1","3"
"85","116","166","325","2","-1","3"
"86","167","200","325","4","-1","3"
"87","167","200","325","2","-1","3"
"88","154","200","350","4","-1","2"
"89","154","200","350","2","-1","2"
"94","201","272","425","4","-1","2"
"95","273","289","425","4","-1","2"
"96","290","305","425","4","-1","2"
"97","306","312","425","4","-1","2"
"98","313","363","425","4","-1","2"
"99","201","272","425","2","-1","2"
"100","273","289","425","2","-1","2"
"101","290","305","425","2","-1","2"
"102","306","312","425","2","-1","2"
"103","313","363","425","2","-1","2"
"104","201","316","450","4","-1","3"
"105","201","316","450","2","-1","3"
"106","317","377","450","4","-1","3"
"107","317","377","450","2","-1","3"
"108","300","419","475","2","-1","4"
"109","300","419","475","4","-1","4"
"129","378","424","525","4","-1","3"
"130","425","499","550","4","-1","3"
"131","378","424","525","2","-1","3"
"132","425","499","550","2","-1","3"
"134","364","377","475","4","-1","2"
"135","420","599","575","4","-1","4"
"136","420","599","575","2","-1","4"
"137","378","390","475","4","-1","2"
"138","391","403","475","4","-1","2"
"139","404","416","475","4","-1","2"
"140","417","449","475","4","-1","2"
"141","364","377","475","2","-1","2"
"142","378","390","475","2","-1","2"
"143","391","403","475","2","-1","2"
"144","404","416","475","2","-1","2"
"145","417","449","475","2","-1","2"
"156","500","700","0","4","-1","3"
"157","500","700","0","2","-1","3"
"158","450","599","0","2","-1","2"
"159","600","749","0","4","-1","4"
"160","600","749","0","2","-1","4"
"161","450","599","0","4","-1","2"
"164","680","900","0","4","-1","2"
"165","680","900","0","2","-1","2"
"166","711","900","0","4","-1","3"
"167","711","900","0","2","-1","3"
"168","750","1000","0","4","-1","4"
"169","750","1000","0","2","-1","4"
"170","600","1000","0","3","11","2"
"171","600","1000","0","3","11","3"
"172","600","1000","0","3","11","4"
