Id,Unknown0,Unknown1,Unknown2
"5","233","34187","6"
"6","233","27801","7"
"7","510","25093","1"
"8","510","31581","2"
"9","683","30293","5"
"10","683","28737","6"
"11","684","45857","3"
"12","684","35105","4"
"13","685","34333","5"
"14","685","34198","6"
"15","687","34322","5"
"16","687","34188","6"
"17","691","30489","5"
"18","691","28745","6"
"19","697","34820","5"
"20","697","34613","6"
"21","703","31541","6"
"22","703","25785","7"
"23","704","31236","5"
"24","704","31542","6"
"25","945","28736","6"
"26","945","26703","7"
"27","954","44291","3"
"28","954","33600","4"
"29","972","25431","1"
"30","972","34843","2"
"31","976","27997","1"
"32","976","31559","2"
"33","977","44286","3"
"34","977","33122","4"
"35","989","45861","3"
"36","989","35109","4"
"37","1017","25471","1"
"38","1017","31636","2"
"39","1019","27479","0"
"40","1019","44310","3"
"41","1019","33796","4"
"42","1020","34612","6"
"43","1020","28017","7"
"44","1028","25437","1"
"45","1080","28433","0"
"46","1080","45279","3"
"47","1080","33225","4"
"48","1107","32460","5"
"49","1184","27789","0"
"50","1184","29868","1"
"51","1184","44405","3"
"52","1184","45313","4"
"53","1184","34711","5"
"54","1184","32052","6"
"55","1330","27415","0"
"56","1330","45861","3"
"57","1330","35109","4"
"58","1407","28003","1"
"59","1407","31564","2"
"60","1511","26521","0"
"61","1511","44286","3"
"62","1511","33122","4"
"63","1512","32461","5"
"64","1512","29791","6"
"65","1657","30921","1"
"66","1657","31669","2"
"67","1727","26694","0"
"68","1727","44291","3"
"69","1727","33600","4"
"70","1728","29830","1"
"71","1728","31647","2"
"72","1787","27417","0"
"73","1787","25482","1"
"74","1787","45863","3"
"75","1787","35111","4"
"76","1795","30630","1"
"77","1795","31686","2"
"78","1796","25472","1"
"79","1796","31637","2"
"80","1797","28421","0"
"81","1797","45231","3"
"82","1797","33213","4"
"83","1817","27863","0"
"84","1817","43926","3"
"85","1817","33615","4"
"86","1818","34398","5"
"87","1818","31696","6"
"88","1819","45860","3"
"89","1819","35108","4"
"90","1861","32522","6"
"91","1861","25012","7"
"92","1863","32192","5"
"93","1863","32522","6"
"94","1882","34391","5"
"95","1882","31483","6"
"96","1883","34392","5"
"97","1883","31485","6"
"98","1911","28705","6"
"99","1911","25038","7"
"100","1963","30488","5"
"101","1963","28743","6"
"102","1965","25474","1"
"103","1966","28742","6"
"104","1966","26706","7"
"105","1967","45721","3"
"106","1967","34508","4"
"107","1975","45863","3"
"108","1975","35111","4"
"109","1978","30491","5"
"110","1978","28749","6"
"111","1980","25481","1"
"112","1981","28748","6"
"113","1981","26709","7"
"114","1995","45720","3"
"115","1995","34507","4"
"116","2015","25439","1"
"117","2015","34851","2"
"118","2018","30294","5"
"119","2018","28739","6"
"120","2019","27412","0"
"121","2019","45858","3"
"122","2019","35106","4"
"123","2024","27860","0"
"124","2024","43922","3"
"125","2024","33448","4"
"126","2057","25479","1"
"127","2057","31641","2"
"128","2083","25790","7"
"129","2094","31543","6"
"130","2094","25786","7"
"131","2100","45721","3"
"132","2100","34508","4"
"133","2101","25433","1"
"134","2101","34845","2"
"135","2104","45719","3"
"136","2104","34506","4"
"137","2105","31545","6"
"138","2105","25787","7"
"139","2106","45718","3"
"140","2106","34505","4"
"141","2111","31549","6"
"142","2111","25789","7"
"143","2118","25471","1"
"144","2163","43844","3"
"145","2163","32973","4"
"146","2164","34232","2"
"147","2166","32521","6"
"148","2166","25011","7"
"149","2176","31239","5"
"150","2176","31544","6"
"151","2178","25432","1"
"152","2183","43842","3"
"153","2183","32971","4"
"154","2185","34022","5"
"155","2185","31481","6"
"156","2186","34230","2"
"157","2191","27851","0"
"158","2191","43840","3"
"159","2191","32969","4"
"160","2193","34231","2"
"161","2201","34396","5"
"162","2201","31694","6"
"163","2202","34234","2"
"164","2204","29503","6"
"165","2204","25042","7"
"166","2213","34236","2"
"167","2219","27997","1"
"168","2222","44291","3"
"169","2222","33600","4"
"170","2230","28002","1"
"171","2250","45724","3"
"172","2250","34511","4"
"173","2257","44310","3"
"174","2257","33796","4"
"175","2265","26521","0"
"176","2265","44286","3"
"177","2265","33122","4"
"178","2299","34397","5"
"179","2299","31695","6"
"180","2300","34235","2"
"181","2304","24968","0"
"182","2304","44735","3"
"183","2304","34311","4"
"184","2307","26374","1"
"185","2307","33973","2"
"186","2308","32195","5"
"187","2308","32525","6"
"188","2311","29183","5"
"189","2311","29504","6"
"190","2317","30129","0"
"191","2317","27323","1"
"192","2317","45166","3"
"193","2317","34974","4"
"194","2318","29180","5"
"195","2318","29499","6"
"196","2342","28736","6"
"197","2342","26703","7"
"198","2355","28744","6"
"199","2355","26707","7"
"200","2358","25476","1"
"201","2358","31640","2"
"202","2359","25432","1"
"203","2359","34844","2"
"204","2360","25438","1"
"205","2360","34850","2"
"206","2361","25474","1"
"207","2361","31639","2"
"208","2362","25482","1"
"209","2362","31642","2"
"210","2363","45894","3"
"211","2363","33211","4"
"212","2364","30541","5"
"213","2365","30542","5"
"214","2365","29763","6"
"215","2366","29762","6"
"216","2366","26737","7"
"217","2367","30922","1"
"218","2368","30922","1"
"219","2368","31670","2"
"220","2370","45279","3"
"221","2370","33225","4"
"222","2373","29790","6"
"223","2373","26751","7"
"224","2375","30626","1"
"225","2375","31684","2"
"226","2470","43922","3"
"227","2470","33448","4"
"228","2471","45169","3"
"229","2471","35056","4"
"230","2472","43924","3"
"231","2472","33613","4"
"232","2481","30923","1"
"233","2481","31671","2"
"234","2489","26372","1"
"235","2489","33971","2"
"236","2490","43919","3"
"237","2490","32975","4"
"238","2496","29500","6"
"239","2496","25041","7"
"240","2499","44735","3"
"241","2499","34311","4"
"242","2503","27860","0"
"243","2503","25381","1"
"244","2503","43922","3"
"245","2503","33448","4"
"246","2561","25431","1"
"247","2564","45717","3"
"248","2564","34504","4"
"249","2577","44732","3"
"250","2577","34308","4"
"251","2578","26371","1"
"252","2578","33970","2"
"253","2609","26370","1"
"254","2609","33969","2"
"255","2610","32191","5"
"256","2610","32521","6"
"257","2628","31256","5"
"258","2628","31762","6"
"259","2629","34399","5"
"260","2629","31697","6"
"261","2644","27417","0"
"262","2644","45863","3"
"263","2644","35111","4"
"264","2645","24964","0"
"265","2645","44731","3"
"266","2645","34307","4"
"267","2656","34401","5"
"268","2656","31699","6"
"269","2663","24965","0"
"270","2663","44732","3"
"271","2663","34308","4"
"272","2686","30921","1"
"273","2686","31669","2"
"274","2829","26694","0"
"275","2829","44291","3"
"276","2829","33600","4"
"277","2849","31234","5"
"278","2880","24734","1"
"279","2881","30626","1"
"280","2897","34337","5"
"281","2897","34546","6"
"282","2922","34335","5"
"283","2922","34544","6"
"284","2928","34545","6"
"285","2928","27808","7"
"286","2951","26090","1"
"287","2951","31617","2"
"288","2952","24695","1"
"289","2952","33752","2"
"290","2964","45167","3"
"291","2964","34975","4"
"292","2967","44289","3"
"293","2967","33797","4"
"294","2968","45141","3"
"295","2968","44759","4"
"296","2969","35346","5"
"297","2969","29687","6"
"298","2970","35345","5"
"299","2971","29686","6"
"300","2971","25851","7"
"301","2973","26323","1"
"302","2973","32614","2"
"303","2976","33070","5"
"304","2976","29683","6"
"305","2977","29682","6"
"306","2977","25849","7"
"307","2980","26091","1"
"308","2981","30628","1"
"309","2981","31685","2"
"310","2982","28511","0"
"311","2982","26102","1"
"312","2982","44808","3"
"313","2982","32829","4"
"314","2984","29794","6"
"315","2984","26753","7"
"316","2985","33040","5"
"317","2986","28882","6"
"318","2986","25835","7"
"319","2987","26101","1"
"320","2988","26101","1"
"321","2988","31811","2"
"322","2989","33041","5"
"323","2989","28883","6"
"324","2990","28738","6"
"325","2990","26704","7"
"326","2993","28659","6"
"327","2993","28053","7"
"328","3036","29762","6"
"329","3036","26737","7"
"330","3040","27184","0"
"331","3040","45719","3"
"332","3040","34506","4"
"333","3049","43928","3"
"334","3049","33617","4"
"335","3050","34399","5"
"336","3050","31697","6"
"337","3051","31757","6"
"338","3051","25792","7"
"339","3052","34237","2"
"340","3056","25482","1"
"341","3056","31642","2"
"342","3057","26693","0"
"343","3057","44290","3"
"344","3057","33599","4"
"345","3058","34331","5"
"346","3058","34196","6"
"347","3064","45865","3"
"348","3064","35113","4"
"349","3065","30494","5"
"350","3065","28752","6"
"351","3066","28746","6"
"352","3066","26708","7"
"353","3069","34339","5"
"354","3069","34548","6"
"355","3070","34547","6"
"356","3070","27809","7"
"357","3078","30497","5"
"358","3078","28756","6"
"359","3080","28755","6"
"360","3080","26712","7"
"361","3082","27480","0"
"362","3082","44311","3"
"363","3082","33798","4"
"364","3083","34822","5"
"365","3083","34615","6"
"366","3084","34614","6"
"367","3084","28018","7"
"368","3085","25095","1"
"369","3085","31582","2"
"370","3121","33249","5"
"371","3172","29764","6"
"372","3172","26738","7"
"373","3173","29179","5"
"374","3173","29497","6"
"375","3179","34403","5"
"376","3179","31700","6"
"377","3200","45862","3"
"378","3200","35110","4"
"379","3201","30490","5"
"380","3201","28747","6"
"381","3204","45230","3"
"382","3204","33212","4"
"383","3205","32244","5"
"384","3205","29765","6"
"385","3206","30923","1"
"386","3206","31671","2"
"387","3212","26371","1"
"388","3212","33970","2"
"389","3217","32195","5"
"390","3217","32525","6"
"391","3218","26374","1"
"392","3218","33973","2"
"393","3244","31430","5"
"394","3247","31237","5"
"395","3248","31252","5"
"396","3248","31758","6"
"397","3249","25438","1"
"398","3251","31251","5"
"399","3253","31240","5"
"400","3254","33247","5"
"401","3261","25011","7"
"402","3265","27853","0"
"403","3265","43842","3"
"404","3265","32971","4"
"405","3268","34022","5"
"406","3268","31481","6"
"407","3278","45870","3"
"408","3278","35118","4"
"409","3293","44290","3"
"410","3293","33599","4"
"411","3299","33970","2"
"412","3302","25435","1"
"413","3309","34193","6"
"414","3309","27804","7"
"415","3311","28001","1"
"416","3334","34618","6"
"417","3334","28020","7"
"418","3335","31242","5"
"419","3377","25472","1"
"420","3379","30923","1"
"421","3382","25485","1"
"422","3387","26102","1"
"423","3388","28008","1"
"424","3390","27184","0"
"425","3390","45719","3"
"426","3390","34506","4"
"427","3392","33671","5"
"428","3394","32858","5"
"429","3395","29792","6"
"430","3395","26752","7"
"431","3406","27574","1"
"432","3409","32859","5"
