Id,Unknown0,Unknown1,Unknown2
"1","10","25","1"
"2","20","50","2"
"3","30","75","3"
"4","45","113","4"
"5","68","169","5"
"6","101","253","6"
"7","152","380","7"
"8","213","532","8"
"9","298","744","9"
"10","387","967","10"
"11","503","1258","11"
"12","629","1572","12"
"13","786","1965","13"
"14","943","2358","14"
"15","1132","2830","15"
"16","1302","3254","16"
"17","1497","3742","17"
"18","1721","4304","18"
"19","1980","4949","19"
"20","2277","5692","20"
"21","2618","6545","21"
"22","3011","7527","22"
"23","3402","8506","23"
"24","3845","9612","24"
"25","4344","10861","25"
"26","4909","12273","26"
"27","5400","13500","27"
"28","5940","14850","28"
"29","6534","16335","29"
"30","7188","17969","30"
"31","7906","19766","31"
"32","8697","21742","32"
"33","9567","23917","33"
"34","10523","26308","34"
"35","11576","28939","35"
"36","12733","31833","36"
"37","14007","35016","37"
"38","15127","37818","38"
"39","16337","40843","39"
"40","17644","44110","40"
"41","19056","47639","41"
"42","20580","51450","42"
"43","22227","55566","43"
"44","24005","60012","44"
"45","25925","64813","45"
"46","27999","69998","46"
"47","30239","75597","47"
"48","32658","81645","48"
"49","34944","87360","49"
"50","37390","93476","50"
"51","40008","100019","51"
"52","42408","106020","52"
"53","44953","112381","53"
"54","47650","119124","54"
"55","50509","126272","55"
"56","53539","133848","56"
"57","56752","141879","57"
"58","60157","150392","58"
"59","63164","157911","59"
"60","66323","165807","60"
"61","66973","167432","61"
"62","67623","169057","62"
"63","68273","170682","63"
"64","68923","172307","64"
"65","69573","173932","65"
"66","70223","175557","66"
"67","70873","177182","67"
"68","71523","178807","68"
"69","72173","180432","69"
"70","72823","182057","70"
"71","73473","183682","71"
"72","74123","185307","72"
"73","74773","186932","73"
"74","75423","188557","74"
"75","76073","190182","75"
"76","76723","191807","76"
"77","77373","193432","77"
"78","78023","195057","78"
"79","78673","196682","79"
"80","79323","198307","80"
"81","79973","199932","81"
"82","80623","201557","82"
"83","81273","203182","83"
"84","81923","204807","84"
"85","82573","206432","85"
"86","83223","208057","86"
"87","83873","209682","87"
"88","84523","211307","88"
"89","85173","212932","89"
"90","85823","214557","90"
"91","86473","216182","91"
"92","87123","217807","92"
"93","87773","219432","93"
"94","88423","221057","94"
"95","89073","222682","95"
"96","89723","224307","96"
"97","90373","225932","97"
"98","91023","227557","98"
"99","91673","229182","99"
"100","92323","230807","100"
"101","92973","232432","101"
"102","93623","234057","102"
"103","94273","235682","103"
"104","94923","237307","104"
"105","95573","238932","105"
"106","96223","240557","106"
"107","96873","242182","107"
"108","97523","243807","108"
"109","98173","245432","109"
"110","98823","247057","110"
"111","99473","248682","111"
"112","100123","250307","112"
"113","100773","251932","113"
"114","101423","253557","114"
"115","102073","255182","115"
"116","102723","256807","116"
"117","103373","258432","117"
"118","104023","260057","118"
"119","104673","261682","119"
"120","105323","263307","120"
"121","105973","264932","121"
"122","106623","266557","122"
"123","107273","268182","123"
"124","107923","269807","124"
"125","108573","271432","125"
"126","109223","273057","126"
"127","109873","274682","127"
"128","110523","276307","128"
"129","111173","277932","129"
"130","111823","279557","130"
"131","112473","281182","131"
"132","113123","282807","132"
"133","113773","284432","133"
"134","114423","286057","134"
"135","115073","287682","135"
"136","115723","289307","136"
"137","116373","290932","137"
"138","117023","292557","138"
"139","117673","294182","139"
"140","118323","295807","140"
"141","118973","297432","141"
"142","119623","299057","142"
"143","120273","300682","143"
"144","120923","302307","144"
"145","121573","303932","145"
"146","122223","305557","146"
"147","122873","307182","147"
"148","123523","308807","148"
"149","124173","310432","149"
"150","124823","312057","150"
"151","125473","313682","151"
"152","126123","315307","152"
"153","126773","316932","153"
"154","127423","318557","154"
"155","128073","320182","155"
"156","128723","321807","156"
"157","129373","323432","157"
"158","130023","325057","158"
"159","130673","326682","159"
"160","131323","328307","160"
"161","131973","329932","161"
"162","132623","331557","162"
"163","133273","333182","163"
"164","133923","334807","164"
"165","134573","336432","165"
"166","135223","338057","166"
"167","135873","339682","167"
"168","136523","341307","168"
"169","137173","342932","169"
"170","137823","344557","170"
"171","138473","346182","171"
"172","139123","347807","172"
"173","139773","349432","173"
"174","140423","351057","174"
"175","141073","352682","175"
"176","141723","354307","176"
"177","142373","355932","177"
"178","143023","357557","178"
"179","143673","359182","179"
"180","144323","360807","180"
"181","144973","362432","181"
"182","145623","364057","182"
"183","146273","365682","183"
"184","146923","367307","184"
"185","147573","368932","185"
"186","148223","370557","186"
"187","148873","372182","187"
"188","149523","373807","188"
"189","150173","375432","189"
"190","150823","377057","190"
"191","151473","378682","191"
"192","152123","380307","192"
"193","152773","381932","193"
"194","153423","383557","194"
"195","154073","385182","195"
"196","154723","386807","196"
"197","155373","388432","197"
"198","156023","390057","198"
"199","156673","391682","199"
"200","157323","393307","200"
"201","157973","394932","201"
"202","158623","396557","202"
"203","159273","398182","203"
"204","159923","399807","204"
"205","160573","401432","205"
"206","161223","403057","206"
"207","161873","404682","207"
"208","162523","406307","208"
"209","163173","407932","209"
"210","163823","409557","210"
"211","164473","411182","211"
"212","165123","412807","212"
"213","165773","414432","213"
"214","166423","416057","214"
"215","167073","417682","215"
"216","167723","419307","216"
"217","168373","420932","217"
"218","169023","422557","218"
"219","169673","424182","219"
"220","170323","425807","220"
"221","170973","427432","221"
"222","171623","429057","222"
"223","172273","430682","223"
"224","172923","432307","224"
"225","173573","433932","225"
"226","174223","435557","226"
"227","174873","437182","227"
"228","175523","438807","228"
"229","176173","440432","229"
"230","176823","442057","230"
"231","177473","443682","231"
"232","178123","445307","232"
"233","178773","446932","233"
"234","179423","448557","234"
"235","180073","450182","235"
"236","180723","451807","236"
"237","181373","453432","237"
"238","182023","455057","238"
"239","182673","456682","239"
"240","183323","458307","240"
"241","183973","459932","241"
"242","184623","461557","242"
"243","185273","463182","243"
"244","185923","464807","244"
"245","186573","466432","245"
"246","187223","468057","246"
"247","187873","469682","247"
"248","188523","471307","248"
"249","189173","472932","249"
"250","189823","474557","250"
"251","190473","476182","251"
"252","191123","477807","252"
"253","191773","479432","253"
"254","192423","481057","254"
"255","193073","482682","255"
"256","193723","484307","256"
"257","194373","485932","257"
"258","195023","487557","258"
"259","195673","489182","259"
"260","196323","490807","260"
"261","196973","492432","261"
"262","197623","494057","262"
"263","198273","495682","263"
"264","198923","497307","264"
"265","199573","498932","265"
"266","200223","500557","266"
"267","200873","502182","267"
"268","201523","503807","268"
"269","202173","505432","269"
"270","202823","507057","270"
"271","203473","508682","271"
"272","204123","510307","272"
"273","204773","511932","273"
"274","205423","513557","274"
"275","206073","515182","275"
"276","206723","516807","276"
"277","207373","518432","277"
"278","208023","520057","278"
"279","208673","521682","279"
"280","209323","523307","280"
"281","209973","524932","281"
"282","210623","526557","282"
"283","211273","528182","283"
"284","211923","529807","284"
"285","212573","531432","285"
"286","213223","533057","286"
"287","213873","534682","287"
"288","214523","536307","288"
"289","215173","537932","289"
"290","215823","539557","290"
"291","216473","541182","291"
"292","217123","542807","292"
"293","217773","544432","293"
"294","218423","546057","294"
"295","219073","547682","295"
"296","219723","549307","296"
"297","220373","550932","297"
"298","221023","552557","298"
"299","221673","554182","299"
"300","222323","555807","300"
"301","222973","557432","301"
"302","223623","559057","302"
"303","224273","560682","303"
"304","224923","562307","304"
"305","225573","563932","305"
"306","226223","565557","306"
"307","226873","567182","307"
"308","227523","568807","308"
"309","228173","570432","309"
"310","228823","572057","310"
"311","229473","573682","311"
"312","230123","575307","312"
"313","230773","576932","313"
"314","231423","578557","314"
