Id,Unknown0,Unknown1,Unknown2,Unknown3
"45","0","0","224","59756"
"46","0","0","5","51183"
"47","0","0","225","0"
"48","0","0","226","0"
"49","0","0","228","0"
"50","0","0","743","51218"
"51","0","0","229","0"
"52","0","0","2027","0"
"53","0","0","2026","0"
"54","0","0","98","0"
"55","0","0","2798","0"
"56","0","0","2799","0"
"57","0","0","2797","0"
"58","0","0","313","0"
"59","0","0","165","0"
"60","0","0","4081","0"
"61","0","0","3739","0"
"62","0","0","3299","0"
"63","0","0","65","0"
"64","0","0","10197","0"
"65","0","0","10433","0"
"66","0","0","230","0"
"67","0","0","19867","0"
"68","0","0","19866","0"
"69","0","0","19873","0"
"70","0","0","11014","0"
"71","0","0","9862","0"
"72","0","0","14274","0"
"73","0","0","13228","0"
"74","0","0","13182","0"
"75","0","0","13179","0"
"76","0","0","42049","0"
"77","0","0","43261","0"
"78","0","0","18837","0"
"79","0","0","35931","0"
"80","0","0","49179","0"
"81","0","0","49180","0"
"82","0","0","49181","0"
"83","0","0","49182","0"
"84","0","0","50257","50257"
"144","23313","0","5","51183"
"145","0","0","58264","58264"
"146","0","0","58820","58820"
"147","0","0","58821","58821"
"148","0","0","58822","58822"
"149","0","0","58907","58907"
"150","0","0","58908","58908"
"151","0","0","58909","58909"
"152","0","0","58910","58910"
"153","0","0","58911","58911"
"154","0","0","58914","58914"
"155","0","0","58915","58915"
"156","0","0","58916","58916"
"157","0","0","58917","58917"
"158","0","0","58918","58918"
"159","0","0","58919","58919"
"160","0","0","58920","58920"
"161","0","0","58921","58921"
"162","0","0","58922","58922"
"163","0","0","58923","58923"
"164","0","0","58924","58924"
"165","0","0","60460","60460"
"166","0","0","60461","60461"
"167","0","0","60462","60462"
"168","0","0","60464","60463"
"169","0","0","61821","61821"
"170","0","0","61823","61823"
"171","0","0","61825","61825"
