Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"28812","64","1","123","1","40","40"
"28813","63","1","123","1","40","40"
"28814","62","1","123","1","40","40"
"28815","265","1","123","1","40","40"
"28816","266","1","123","1","40","40"
"28817","267","1","123","1","40","40"
"28818","258","1","123","1","40","40"
"28819","257","1","123","1","40","40"
"28820","256","1","123","1","40","40"
"28821","64","1","123","1","0","40"
"28822","63","1","123","1","0","40"
"28823","62","1","123","1","0","40"
"28824","265","1","123","1","0","40"
"28825","266","1","123","1","0","40"
"28826","267","1","123","1","0","40"
"28827","258","1","123","1","0","40"
"28828","257","1","123","1","0","40"
"28829","256","1","123","1","0","40"
"28830","268","1","123","2","40","40"
"28831","269","1","123","2","40","40"
"28832","270","1","123","2","40","40"
"28833","259","1","123","2","40","40"
"28834","260","1","123","2","40","40"
"28835","261","1","123","2","40","40"
"28836","103","1","123","2","40","40"
"28837","104","1","123","2","40","40"
"28838","105","1","123","2","40","40"
"28839","102","1","123","2","40","40"
"28840","577","1","123","2","40","40"
"28841","581","1","123","2","40","40"
"28842","268","1","123","2","1","40"
"28843","269","1","123","2","1","40"
"28844","259","1","123","2","1","40"
"28845","260","1","123","2","1","40"
"28846","261","1","123","2","1","40"
"28847","103","1","123","2","1","40"
"28848","104","1","123","2","1","40"
"28849","577","1","123","2","1","40"
"28850","581","1","123","2","1","40"
"28851","270","1","123","2","0","40"
"28852","105","1","123","2","0","40"
"28853","102","1","123","2","0","40"
"28854","253","1","123","3","40","40"
"28855","254","1","123","3","40","40"
"28856","255","1","123","3","40","40"
"28857","263","1","123","3","40","40"
"28858","262","1","123","3","40","40"
"28859","264","1","123","3","40","40"
"28860","253","1","123","3","1","40"
"28861","254","1","123","3","1","40"
"28862","255","1","123","3","1","40"
"28863","263","1","123","3","1","40"
"28864","262","1","123","3","0","40"
"28865","264","1","123","3","0","40"
"28866","250","1","123","4","40","40"
"28867","251","1","123","4","40","40"
"28868","252","1","123","4","40","40"
"28869","65","1","123","4","40","40"
"28870","66","1","123","4","40","40"
"28871","70","1","123","4","40","40"
"28872","73","1","123","4","40","40"
"28873","71","1","123","4","40","40"
"28874","72","1","123","4","40","40"
"28875","65","1","123","4","0","40"
"28876","250","1","123","4","2","40"
"28877","251","1","123","4","2","40"
"28878","252","1","123","4","2","40"
"28879","66","1","123","4","2","40"
"28880","70","1","123","4","2","40"
"28881","73","1","123","4","2","40"
"28882","71","1","123","4","2","40"
"28883","72","1","123","4","2","40"
"28884","268","1","123","0","1","40"
"28885","269","1","123","0","1","40"
"28886","259","1","123","0","1","40"
"28887","260","1","123","0","1","40"
"28888","261","1","123","0","1","40"
"28889","103","1","123","0","1","40"
"28890","104","1","123","0","1","40"
"28891","253","1","123","0","1","40"
"28892","254","1","123","0","1","40"
"28893","255","1","123","0","1","40"
"28894","263","1","123","0","1","40"
"28895","577","1","123","0","1","40"
"28896","581","1","123","0","1","40"
"28897","64","1","123","0","0","40"
"28898","63","1","123","0","0","40"
"28899","62","1","123","0","0","40"
"28900","265","1","123","0","0","40"
"28901","266","1","123","0","0","40"
"28902","267","1","123","0","0","40"
"28903","258","1","123","0","0","40"
"28904","257","1","123","0","0","40"
"28905","256","1","123","0","0","40"
"28906","270","1","123","0","0","40"
"28907","105","1","123","0","0","40"
"28908","102","1","123","0","0","40"
"28909","262","1","123","0","0","40"
"28910","264","1","123","0","0","40"
"28911","65","1","123","0","0","40"
"28912","250","1","123","0","2","40"
"28913","251","1","123","0","2","40"
"28914","252","1","123","0","2","40"
"28915","66","1","123","0","2","40"
"28916","70","1","123","0","2","40"
"28917","73","1","123","0","2","40"
"28918","71","1","123","0","2","40"
"28919","72","1","123","0","2","40"
"28920","64","1","123","5","13","40"
"28921","63","1","123","5","13","40"
"28922","62","1","123","5","13","40"
"28923","265","1","123","5","13","40"
"28924","266","1","123","5","13","40"
"28925","267","1","123","5","13","40"
"28926","258","1","123","5","13","40"
"28927","257","1","123","5","13","40"
"28928","256","1","123","5","13","40"
"28929","259","1","123","5","13","40"
"28930","261","1","123","5","13","40"
"28931","105","1","123","5","13","40"
"28932","102","1","123","5","13","40"
"28933","262","1","123","5","13","40"
"28934","264","1","123","5","13","40"
"28935","259","1","123","5","1","13"
"28936","261","1","123","5","1","13"
"28937","64","1","123","5","0","13"
"28938","63","1","123","5","0","13"
"28939","62","1","123","5","0","13"
"28940","265","1","123","5","0","13"
"28941","266","1","123","5","0","13"
"28942","267","1","123","5","0","13"
"28943","258","1","123","5","0","13"
"28944","257","1","123","5","0","13"
"28945","256","1","123","5","0","13"
"28946","105","1","123","5","0","13"
"28947","102","1","123","5","0","13"
"28948","262","1","123","5","0","13"
"28949","264","1","123","5","0","13"
"28950","73","1","123","5","2","13"
"28951","269","1","123","5","14","40"
"28952","270","1","123","5","14","40"
"28953","260","1","123","5","14","40"
"28954","105","1","123","5","14","40"
"28955","102","1","123","5","14","40"
"28956","263","1","123","5","14","40"
"28957","262","1","123","5","14","40"
"28958","264","1","123","5","14","40"
"28959","577","1","123","5","14","40"
"28960","581","1","123","5","14","40"
"28961","269","1","123","5","1","14"
"28962","260","1","123","5","1","14"
"28963","263","1","123","5","1","14"
"28964","577","1","123","5","1","14"
"28965","581","1","123","5","1","14"
"28966","270","1","123","5","0","14"
"28967","105","1","123","5","0","14"
"28968","102","1","123","5","0","14"
"28969","262","1","123","5","0","14"
"28970","264","1","123","5","0","14"
"28971","73","1","123","5","2","14"
"28972","269","1","123","5","7","40"
"28973","270","1","123","5","7","40"
"28974","260","1","123","5","7","40"
"28975","263","1","123","5","7","40"
"28976","262","1","123","5","7","40"
"28977","264","1","123","5","7","40"
"28978","65","1","123","5","7","40"
"28979","577","1","123","5","7","40"
"28980","581","1","123","5","7","40"
"28981","269","1","123","5","1","7"
"28982","260","1","123","5","1","7"
"28983","263","1","123","5","1","7"
"28984","577","1","123","5","1","7"
"28985","581","1","123","5","1","7"
"28986","270","1","123","5","0","7"
"28987","262","1","123","5","0","7"
"28988","264","1","123","5","0","7"
"28989","65","1","123","5","0","7"
"28990","251","1","123","5","2","7"
"28991","66","1","123","5","2","7"
"28992","73","1","123","5","2","7"
"28993","64","1","123","5","9","40"
"28994","63","1","123","5","9","40"
"28995","62","1","123","5","9","40"
"28996","265","1","123","5","9","40"
"28997","266","1","123","5","9","40"
"28998","267","1","123","5","9","40"
"28999","269","1","123","5","9","40"
"29000","270","1","123","5","9","40"
"29001","260","1","123","5","9","40"
"29002","65","1","123","5","9","40"
"29003","577","1","123","5","9","40"
"29004","581","1","123","5","9","40"
"29005","269","1","123","5","1","9"
"29006","260","1","123","5","1","9"
"29007","577","1","123","5","1","9"
"29008","581","1","123","5","1","9"
"29009","64","1","123","5","0","9"
"29010","63","1","123","5","0","9"
"29011","62","1","123","5","0","9"
"29012","265","1","123","5","0","9"
"29013","266","1","123","5","0","9"
"29014","267","1","123","5","0","9"
"29015","270","1","123","5","0","9"
"29016","65","1","123","5","0","9"
"29017","251","1","123","5","2","9"
"29018","66","1","123","5","2","9"
"29019","73","1","123","5","2","9"
"29020","258","1","123","5","11","40"
"29021","257","1","123","5","11","40"
"29022","256","1","123","5","11","40"
"29023","269","1","123","5","11","40"
"29024","270","1","123","5","11","40"
"29025","260","1","123","5","11","40"
