Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"2","Bag","","0","1","0","-1","-1","0","0","0"
"3","Axe","One-Handed Axes","3","2","0","-1","1","0","1","0"
"4","Axe","Two-Handed Axes","3","2","1","0","-1","0","2","0"
"5","Bow","Bows","128","2","2","-1","-1","0","1","0"
"6","Gun","Guns","160","2","3","-1","-1","0","1","0"
"7","Mace","One-Handed Maces","3","2","4","-1","5","0","1","0"
"8","Mace","Two-Handed Maces","3","2","5","4","-1","0","2","0"
"9","Polearm","Polearms","3","2","6","-1","-1","0","2","0"
"10","Sword","One-Handed Swords","3","2","7","-1","8","0","1","0"
"11","Sword","Two-Handed Swords","3","2","8","7","-1","0","2","0"
"12","Warglaives","","1","2","9","-1","-1","0","2","0"
"13","Staff","Staves","3","2","10","-1","-1","0","2","0"
"14","Bear Claws","Bear Claws","0","2","11","-1","12","3","1","0"
"15","Cat Claws","CatClaws","0","2","12","11","-1","3","1","0"
"16","Fist Weapon","Fist Weapons","5","2","13","-1","-1","0","1","0"
"17","Miscellaneous","","2","2","14","-1","-1","1","0","0"
"18","Dagger","Daggers","3","2","15","-1","-1","0","8","0"
"19","Miscellaneous","","512","4","0","-1","-1","1","0","0"
"20","Cloth","Cloth","512","4","1","-1","-1","0","0","0"
"21","Leather","Leather","512","4","2","-1","-1","0","0","0"
"22","Mail","Mail","512","4","3","-1","-1","0","0","0"
"23","Plate","Plate","512","4","4","-1","-1","0","0","0"
"24","Cosmetic","Cosmetic","0","4","5","-1","-1","0","0","0"
"25","Shield","Shields","0","4","6","5","-1","0","0","0"
"26","Wand(OBSOLETE)","","0","6","0","-1","-1","3","0","0"
"27","Bolt(OBSOLETE)","","0","6","1","-1","-1","2","0","0"
"28","Arrow","","0","6","2","-1","-1","2","0","0"
"29","Bullet","","0","6","3","-1","-1","2","0","0"
"30","Quiver(OBSOLETE)","","0","11","0","-1","-1","7","0","0"
"31","Bolt(OBSOLETE)","","0","11","1","-1","-1","7","0","0"
"32","Quiver","","0","11","2","-1","-1","6","0","0"
"33","Ammo Pouch","","0","11","3","-1","-1","6","0","0"
"34","Thrown","Thrown","16","2","16","-1","-1","0","1","0"
"35","Thrown(OBSOLETE)","","0","6","4","-1","-1","2","0","0"
"36","Intellect","","0","3","0","-1","-1","1","0","1"
"37","Trade Goods (OBSOLETE)","","0","7","0","-1","-1","3","0","0"
"38","Parts","","0","7","1","-1","-1","1","0","10"
"39","Explosives (OBSOLETE)","","0","7","2","-1","-1","3","0","0"
"40","Book","","0","9","0","-1","-1","1","0","0"
"41","Leatherworking","","0","9","1","-1","-1","1","0","0"
"42","Tailoring","","0","9","2","-1","-1","1","0","0"
"43","Explosives and Devices","","0","0","0","-1","-1","1","0","0"
"44","Potion","","0","0","1","-1","-1","1","0","0"
"45","Elixir","","0","0","2","-1","-1","1","0","0"
"46","Spear","Spears","3","2","17","-1","-1","2","2","0"
