Id,Unknown0
"1","SPELLS\ENCHANTMENTS\BLUEGLOW_HIGH.MDX"
"2","SPELLS\ENCHANTMENTS\BLUEGLOW_LOW.MDX"
"3","SPELLS\ENCHANTMENTS\BLUEFLAME_LOW.MDX"
"42","SPELLS\ENCHANTMENTS\SKULLBALLS.MDX"
"45","SPELLS\ENCHANTMENTS\REDFLAME_LOW.MDX"
"46","SPELLS\ENCHANTMENTS\POISONDRIP.MDX"
"47","SPELLS\ENCHANTMENTS\SPARKLE_A.MDX"
"48","SPELLS\ENCHANTMENTS\YELLOWGLOW_LOW.MDX"
"49","SPELLS\ENCHANTMENTS\RUNE_INTELLECT.MDX"
"50","SPELLS\ENCHANTMENTS\REDGLOW_LOW.MDX"
"51","SPELLS\ENCHANTMENTS\SHAMAN_FIRE.MDX"
"52","SPELLS\ENCHANTMENTS\SHAMAN_FROST.MDX"
"62","SPELLS\ENCHANTMENTS\BLUEGLOW_MED.MDX"
"81","SPELLS\ENCHANTMENTS\SHAMAN_ROCK.MDX"
"101","SPELLS\ENCHANTMENTS\SHAMAN_WIND.MDX"
"121","SPELLS\ENCHANTMENTS\REDGLOW_HIGH.MDX"
"122","SPELLS\ENCHANTMENTS\YELLOWGLOW_HIGH.MDX"
"123","SPELLS\ENCHANTMENTS\WHITEGLOW_LOW.MDX"
"124","SPELLS\ENCHANTMENTS\WHITEGLOW_HIGH.MDX"
"125","SPELLS\ENCHANTMENTS\GREENGLOW_LOW.MDX"
"126","SPELLS\ENCHANTMENTS\GREENGLOW_HIGH.MDX"
"127","SPELLS\ENCHANTMENTS\PURPLEGLOW_LOW.MDX"
"141","SPELLS\ENCHANTMENTS\PURPLEGLOW_HIGH.MDX"
"142","SPELLS\ENCHANTMENTS\BLACKGLOW_LOW.MDX"
"143","SPELLS\ENCHANTMENTS\BLACKGLOW_HIGH.MDX"
"144","SPELLS\ENCHANTMENTS\WHITEFLAME_LOW.MDX"
"145","SPELLS\ENCHANTMENTS\GREENFLAME_LOW.MDX"
"146","SPELLS\ENCHANTMENTS\PURPLEFLAME_LOW.MDX"
"147","SPELLS\ENCHANTMENTS\YELLOWFLAME_LOW.MDX"
"148","SPELLS\ENCHANTMENTS\BLACKFLAME_LOW.MDX"
"149","SPELLS\ENCHANTMENTS\SHAMAN_PURPLE.MDX"
"150","SPELLS\ENCHANTMENTS\SHAMAN_GREEN.MDX"
"151","SPELLS\ENCHANTMENTS\SHAMAN_RED.MDX"
"152","SPELLS\ENCHANTMENTS\SHAMAN_YELLOW.MDX"
"153","SPELLS\LIGHTNING_PRECAST_LOW_HAND.MDX"
"154","SPELLS\LIGHTNING_CAST_HAND.MDX"
"155","SPELLS\CYCLONE_CASTER_STATE.MDX"
"156","SPELLS\SLOWINGSTRIKE_CAST_HAND.MDX"
"157","SPELLS\SHADOW_STRIKES_STATE_HAND.MDX"
"158","SPELLS\FIRE_BLUE_PRECAST_UBER_HAND.MDX"
"159","SPELLS\SHAMANISTICRAGE_STATE_HAND.MDX"
"160","SPELLS\FEL_FIRE_PRECAST_UBER_HAND.MDX"
"161","SPELLS\FAERIEFIRE.MDX"
"162","SPELLS\FIREWORK_ROMANCANDLE_MISSLE_01.MDX"
"163","SPELLS\SHADOW_MEND_IMPACT.MDX"
