Id,Unknown0,Unknown1
"1","109188","393"
"125","109550","438"
"435","110689","168"
"437","110761","61"
"439","110784","61"
"441","110785","61"
"527","111415","168"
"528","111477","168"
"530","111484","168"
"531","111490","168"
"542","111576","168"
"7646","111953","168"
"7647","111955","168"
"7654","112066","168"
"7655","112077","168"
"7656","112078","168"
"7657","112086","168"
"7658","112092","168"
"7659","112094","168"
"7660","112096","168"
"7662","112110","168"
"7676","112187","168"
"7677","112206","168"
"7678","112261","168"
"7679","112263","168"
"7685","112348","122"
"7687","112350","122"
"7688","112351","122"
"7689","112352","122"
"7690","112369","168"
"7691","112370","168"
"7692","112371","168"
"7693","112373","168"
"7694","112346","122"
"7695","112347","122"
"7696","112349","122"
"7697","112354","122"
"7698","112355","122"
"7699","112367","122"
"7700","112359","122"
"7701","112360","122"
"7702","112366","122"
"7703","112365","122"
"7704","112358","122"
"7705","112357","122"
"7706","112363","122"
"7707","112364","122"
"7708","112356","122"
"7709","112362","122"
"7710","112361","122"
"7712","112382","61"
"7714","112383","61"
"7719","112416","61"
"7721","112417","61"
"7723","112418","61"
"7725","112419","61"
"7727","112420","61"
"7729","112421","61"
"7731","112422","61"
"7733","112423","61"
"7735","112424","61"
"7737","112425","61"
"7739","112426","61"
"7740","112427","61"
"7742","112428","61"
"7744","112429","61"
"7751","112445","61"
"7754","112447","61"
"7756","112448","61"
"7761","112475","168"
"7762","112476","61"
"7764","112477","61"
"7766","112478","61"
"7768","112479","61"
"7770","112480","61"
"7772","112481","61"
"7774","112482","61"
"7776","112483","61"
"7778","112484","61"
"7780","112485","61"
"7782","112486","61"
"7784","112487","61"
"7786","112488","61"
"7788","112489","61"
"7790","112490","61"
"7792","112491","61"
"7794","112492","61"
"7796","112493","61"
"7798","112494","61"
"7800","112495","61"
"7802","112496","61"
"7804","112503","61"
"7807","110030","175"
"7811","112545","61"
"7813","112546","61"
"7815","112547","61"
"7817","112548","61"
"7819","112549","61"
"7821","112550","61"
"7823","112551","61"
"7825","112552","61"
"7828","112553","61"
"7830","112554","61"
"7832","112555","61"
"7834","112556","61"
"7835","112557","61"
"7837","112558","61"
"7839","112559","61"
"7841","112560","61"
"7843","112561","61"
"7845","112562","61"
"7847","112563","61"
"7849","112564","61"
"7851","112565","61"
"7853","106899","168"
"7854","107195","168"
"7855","107661","168"
"7856","107662","168"
"7857","111475","168"
"7858","111530","168"
"7859","111533","168"
"7860","111948","168"
"7862","110031","175"
"7864","110032","175"
"7866","110033","175"
"7868","110034","175"
"7870","110045","175"
"7872","110047","175"
"7874","110046","175"
"7876","110048","175"
"7878","110049","175"
"7880","110050","175"
"7970","110040","175"
"7972","110041","175"
"7974","110042","175"
"7976","110043","175"
"7978","110044","175"
"7980","110055","175"
"7982","110056","175"
"7984","110057","175"
"7986","110058","175"
"7988","110059","175"
"7991","110052","175"
"7993","110054","175"
"7995","110053","175"
"8007","110035","175"
"8009","110036","175"
"8011","110037","175"
"8013","110039","175"
"8015","109824","175"
"8017","109864","175"
"8019","109844","175"
"8021","109970","175"
"8023","109804","175"
"8025","109930","175"
"8027","109784","175"
"8029","109899","175"
"8031","109825","175"
"8033","109865","175"
"8035","109845","175"
"8037","109971","175"
"8039","109805","175"
"8041","109931","175"
"8043","109785","175"
"8045","109900","175"
"8047","109786","175"
"8049","109826","175"
"8051","109866","175"
"8053","109846","175"
"8055","109972","175"
"8057","109806","175"
"8059","109932","175"
"8061","109901","175"
"8063","109827","175"
"8065","109867","175"
"8067","109847","175"
"8069","109973","175"
"8072","109933","175"
"8074","109796","175"
"8076","109902","175"
"8078","109797","175"
"8080","109828","175"
"8082","109881","175"
"8084","109861","175"
"8086","109974","175"
"8088","109948","175"
"8090","109903","175"
"8092","109829","175"
"8094","109787","175"
"8096","109868","175"
"8098","109884","175"
"8100","109848","175"
"8102","109975","175"
"8104","109809","175"
"8106","109934","175"
"8109","109788","175"
"8111","109869","175"
"8113","109885","175"
"8115","109849","175"
"8117","109976","175"
"8119","109810","175"
"8121","109935","175"
"8123","109831","175"
"8125","109789","175"
"8127","109870","175"
"8129","109886","175"
"8131","109850","175"
"8133","109977","175"
"8135","109811","175"
"8137","109936","175"
"8139","109832","175"
"8141","109798","175"
"8143","109871","175"
"8145","109897","175"
"8147","109851","175"
"8149","109978","175"
"8151","109812","175"
"8153","109937","175"
"8155","109842","175"
"8157","109799","175"
"8159","109882","175"
"8161","109898","175"
"8163","109862","175"
"8165","109979","175"
"8167","109823","175"
"8169","109938","175"
"8171","109833","175"
"8173","109834","175"
"8175","109835","175"
"8177","109836","175"
"8179","109843","175"
"8181","109790","175"
"8183","109791","175"
"8185","109792","175"
"8187","109800","175"
"8189","109801","175"
"8191","109872","175"
"8193","109873","175"
"8195","109874","175"
"8197","109875","175"
"8199","109883","175"
"8201","109887","175"
"8203","109888","175"
"8205","109889","175"
"8207","109890","175"
"8209","109891","175"
"8211","109852","175"
"8213","109853","175"
"8215","109854","175"
"8217","109855","175"
"8219","109863","175"
"8221","109980","175"
"8223","109981","175"
"8225","109982","175"
"8227","109983","175"
"8229","109984","175"
"8231","109813","175"
"8233","109814","175"
"8235","109815","175"
"8237","109816","175"
"8239","109817","175"
"8241","109939","175"
"8243","109940","175"
"8245","109941","175"
"8247","109942","175"
"8249","109949","175"
"8251","109838","175"
"8253","109794","175"
"8255","109877","175"
"8257","109893","175"
"8259","109857","175"
"8261","109986","175"
"8263","109819","175"
"8265","109944","175"
"8267","109840","175"
"8269","109802","175"
"8271","109879","175"
"8273","109895","175"
"8275","109859","175"
"8277","109988","175"
"8279","109821","175"
"8281","109946","175"
"8283","109841","175"
"8285","109803","175"
"8287","109880","175"
"8289","109896","175"
"8291","109860","175"
"8293","109989","175"
"8295","109822","175"
"8297","109947","175"
"8299","109837","175"
"8301","109793","175"
"8303","109876","175"
"8305","109892","175"
"8307","109856","175"
"8309","109985","175"
"8311","109818","175"
"8313","109943","175"
"8315","109839","175"
"8317","109795","175"
"8319","109878","175"
"8321","109894","175"
"8323","109858","175"
