Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"89","0.3652697","0.6122755","Glubtok","In a fit of rage, Glubtok unleashed his potent magical abilities and reduced his ogre mound to ash. Upon hearing of his destructive talents, the Defias hired the massive ogre mage to supervise their laborers as head foreman of the Deadmines.","166","756","2010","63","-1","0","1"
"90","0.501996","0.8682636","Helix Gearbreaker","Formerly a craftsman in the Bilgewater Cartel, Helix was offered a sum eclipsing anything he would ever make as a nameless Horde engineer to ply his trade for the Defias Brotherhood. He was quick to accept the job and renounce his former loyalties... just as any resourceful goblin would.","166","756","2020","63","-1","0","2"
"91","0.1247507","0.7589821","Foe Reaper 5000","Defias engineers have spent many long days perfecting a new harvester model based on the Foe Reaper 4000 unit. Once it is completed, the brotherhood believes this mechanized terror will be able to slice through Stormwind's armored soldiers like a scythe through wheat.","167","756","3448","63","-1","0","3"
"92","0.6047909","0.3877245","Admiral Ripsnarl","When James Harrington became afflicted by the worgen curse, he destroyed his loving family and maritime career in one chilling night of bloodlust. Taking on the name Ripsnarl, he fled into Westfall and later agreed to command the Defias Brotherhood's fearsome juggernaut.","167","756","2044","63","-1","0","4"
"93","0.6047909","0.4550898","""Captain"" Cookie","Cookie proclaimed himself captain of the Defias Brotherhood's juggernaut following its previous commander's death. Although he still performs his official duties as chief cook, anyone who questions the validity of his captain title has been known to come down with a severe case of food poisoning.","167","756","2055","63","-1","0","5"
"95","0.6546913","0.4026946","Vanessa VanCleef","As a young girl, Vanessa witnessed the gruesome death of her father and former Defias Brotherhood leader, Edwin VanCleef. She has since taken up his mantle of leadership, plotting to exact vengeance on Stormwind from the dark corridors of the Defias's stronghold in the Deadmines.","167","756","2060","63","14","2","6"
"96","0.6646714","0.732036","Baron Ashbury","Slain by worgen and raised into undeath by the Forsaken, the traitor Baron Ashbury toys with his foes, keeping them alive so he can inflict maximum pain and suffering.","142","764","2107","64","-1","0","1"
"97","0.3043916","0.7739521","Baron Silverlaine","Baron Silverlaine was master of the keep before it fell to Arugal's worgen. Now his cursed spirit calls upon the very wolf-beasts that slaughtered him to punish further trespassers into his home.","143","764","2118","64","-1","0","2"
"98","0.2804395","0.5973054","Commander Springvale","A loyal soldier, the ghost of Commander Springvale haunts the council room, using unholy strikes to avenge his lord, Baron Silverlaine.","142","764","2137","64","-1","0","3"
"99","0.5449104","0.5374252","Lord Walden","Godfrey's right-hand man, the arrogant Lord Walden vowed to pay any price, including death, to serve his compatriot. Now among the undead, Walden intends to keep his word, attacking adversaries with ice and venom.","145","764","2156","64","-1","0","4"
"100","0.6846315","0.3353293","Lord Godfrey","Drawing from his past as a Gilnean noble and Forsaken agent, the cunning and resourceful Lord Godfrey wields dual pistols and commands relentless flesh-eating ghouls.","147","764","2164","64","-1","0","5"
"101","0.50499","0.2155688","Lady Naz'jar","Lady Naz'jar played a pivotal role in retaking Vashj'ir from the brutal Kvaldir, earning her Queen Azshara's favor. Recently Naz'jar spearheaded an assault against Neptulon and succeeded in cornering the powerful elemental lord within his throne room.","127","767","2179","65","-1","0","1"
"102","0.50499","0.4251497","Commander Ulthok, the Festering Prince","Ulthok is an incredibly ancient being sent by his Old God masters to aid Lady Naz'jar with invading the Throne of Tides. Bristling with sinister powers, Ulthok commands legions of his fellow faceless ones in the deepest trenches surrounding Vashj'ir.","127","767","2189","65","-1","0","2"
"103","0.6746514","0.1931137","Mindbender Ghur'sha","After his valiant efforts at the Abyssal Breach, Earthen Ring shaman Erunak Stonespeaker was abducted by naga forces and enslaved by Mindbender Ghur'sha. It is feared that this parasitic aberration has taken full control over Erunak's mind, body, and devastating shamanic abilities.","126","767","2194","65","-1","0","3"
