Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"358","37410","522228","Glubtok","","89","0"
"359","33002","522234","Helix Gearbreaker","","90","0"
"360","35606","522225","Foe Reaper 5000","","91","0"
"361","35739","522189","Admiral Ripsnarl","","92","0"
"362","1305","522210","""Captain"" Cookie","","93","0"
"365","32806","522278","Vanessa VanCleef","","95","0"
"366","34610","522205","Baron Ashbury","","96","0"
"367","37288","522206","Baron Silverlaine","","97","0"
"368","37287","522213","Commander Springvale","","98","0"
"369","34612","522249","Lord Walden","","99","0"
"370","34611","522247","Lord Godfrey","","100","0"
"371","34342","522245","Lady Naz'jar","","101","0"
"372","33792","522214","Commander Ulthok","","102","0"
"373","32259","522253","Mindbender Ghur'sha","","103","0"
"374","34135","522259","Ozumat","","104","0"
"375","33147","522266","Rom'ogg Bonecrusher","","105","0"
"376","31546","522216","Corla, Herald of Twilight","","106","0"
"377","31710","522244","Karsh Steelbender","","107","0"
"378","34433","522207","Beauty","","108","0"
"379","36465","522201","Ascendant Lord Obsidius","","109","0"
"380","33477","522215","Corborus","","110","0"
"381","36476","522271","Slabhide","","111","0"
"382","36475","522258","Ozruk","","112","0"
"383","26448","522237","High Priestess Azil","","113","0"
"384","35181","522229","Grand Vizier Ertan","","114","0"
"385","34265","522192","Altairus","","115","0"
"386","35388","522200","Asaad","","116","0"
"387","34743","523205","General Husam","","117","0"
"388","37339","522203","Augh","","118","1"
"389","33438","522246","Lockmaw","","118","0"
"390","34744","522239","High Prophet Barim","","119","0"
"394","35231","522269","Siamat","","122","0"
"424","35067","522272","Temple Guardian Anhuur","","124","0"
"425","31450","522219","Earthrager Ptah","","125","0"
"426","34580","522195","Anraphet","","126","0"
"427","33465","522241","Isiset","","127","0"
"428","32943","522194","Ammunae","","128","0"
"429","33055","522267","Setesh","","129","0"
"430","33177","522262","Rajh","","130","0"
"431","31498","522227","General Umbriss","","131","0"
"432","33429","522226","Forgemaster Throngus","","132","0"
"433","31792","522218","Dragha Shadowburner","","133","0"
"434","31795","522276","Valiona","","133","1"
"435","33428","522222","Erudax","","134","0"
"463","35426","522198","Argaloth","","139","0"
"464","37876","523207","Occu'thar","","140","0"
"555","35232","522256","Nezir","Lord of the North Wind","154","1"
"556","35233","522196","Anshal","Lord of the West Wind","154","0"
"557","35234","522265","Rohash","Lord of the East Wind","154","2"
"558","35248","522191","Al'akir","","155","0"
"559","34816","522232","Halfus Wyrmbreaker","","156","0"
"560","34812","522277","Valiona","","157","1"
"561","34813","522274","Theralion","","157","0"
"562","34824","522273","Terrastra","Ascendant Councillor of Earth","158","3"
"563","34825","522221","Elementium Monstrosity","The combined Ascendant Councillors","158","4"
"564","34821","522240","Ignacious","Ascendant Councillor of Flame","158","1"
"565","34822","522224","Feludius","Ascendant Councillor of Water","158","0"
"566","34823","522199","Arion","Ascendant Councillor of Air","158","2"
"587","34576","522212","Cho'gall","","167","0"
"588","34335","522270","Sinestra","","168","0"
"589","32688","522220","Electron","","169","2"
"590","32684","522275","Toxitron","","169","3"
"591","32685","522250","Magmatron","","169","0"
"592","32687","522197","Arcanotron","","169","1"
"593","37993","522251","Magmaw","","170","0"
"594","34547","522202","Atramedes","","171","0"
"595","33308","522211","Chimaeron","","172","0"
"596","33186","522252","Maloriak","","173","0"
"599","32569","522257","Onyxia","","174","1"
"600","32716","522255","Nefarian","","174","0"
"601","37788","522236","High Priest Venoxis","","175","0"
"602","37816","522209","Bloodlord Mandokir","","176","0"
"603","8390","522230","Gri'lek","","177","0"
"604","37832","522233","Hazza'rah","","178","0"
"605","37830","522263","Renataki","","179","0"
"606","37831","522279","Wushoolay","","180","0"
"607","37805","522238","High Priestess Kilnara","","181","0"
"616","37813","522280","Zanzil","","184","0"
"617","37789","522243","Jin'do the Godbreaker","","185","0"
"618","21630","522190","Akil'zon","","186","0"
"619","21631","522254","Nalorakk","","187","0"
"620","21633","522242","Jan'alai","","188","0"
"621","21632","522231","Halazzi","","189","0"
"622","22332","522235","Hex Lord Malacrass","","190","0"
"623","38118","522217","Daakara","","191","0"
"624","38227","522208","Beth'tilac","","192","0"
"625","38414","522248","Lord Rhyolith","","193","0"
"626","38446","522193","Alysrazor","","194","0"
"627","38448","522268","Shannox","","195","0"
"628","37953","522223","Majordomo Staghelm","","197","0"
"629","37875","522261","Ragnaros","","198","0"
"630","33003","523206","Lumbering Oaf","","90","1"
"770","38621","522204","Baleroc","","196","0"
"817","39617","571749","Echo of Tyrande","","283","0"
"827","38931","536059","Murozond","The Lord of the Infinite","289","0"
"855","35268","536056","Deathwing","","318","0"
"856","39318","536057","Hagara the Stormbinder","","317","0"
"862","35978","571743","Arcurion","","322","0"
"864","38655","571748","Echo of Sylvanas","","323","0"
"865","39391","571747","Queen Azshara","","291","0"
"867","39138","536061","Warlord Zon'ozz","","324","0"
"875","39099","571750","Ultraxion","","331","0"
"876","39101","536062","Yor'sahj the Unsleeping","","325","0"
"877","39399","571752","Warmaster Blackhorn","","332","0"
"881","39094","536058","Morchok","","311","0"
"895","39182","536060","Peroth'arn","","290","0"
