Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"9111","2169","89","1","-1","2"
"9112","5195","89","1","-1","2"
"9113","65163","89","2","-1","2"
"9114","63467","89","2","-1","2"
"9115","5444","89","1","-1","2"
"9116","63468","89","2","-1","2"
"9117","63470","89","2","-1","2"
"9118","63471","89","2","-1","2"
"9119","5200","90","1","-1","2"
"9120","63473","90","2","-1","2"
"9121","63474","90","2","-1","2"
"9122","5443","90","1","-1","2"
"9123","63475","90","2","-1","2"
"9124","63476","90","2","-1","2"
"9125","5191","90","1","-1","2"
"9126","65164","90","2","-1","2"
"9127","5199","90","1","-1","2"
"9128","5201","91","1","-1","2"
"9129","1937","91","1","-1","2"
"9130","5187","91","1","-1","2"
"9131","65165","91","2","-1","2"
"9132","65166","91","2","-1","2"
"9133","65167","91","2","-1","2"
"9134","872","92","1","-1","2"
"9135","65168","92","2","-1","2"
"9136","65169","92","2","-1","2"
"9137","65170","92","2","-1","2"
"9138","1156","92","1","-1","2"
"9139","5196","92","1","-1","2"
"9140","5202","93","1","-1","2"
"9141","65171","93","2","-1","2"
"9142","65172","93","2","-1","2"
"9143","65173","93","2","-1","2"
"9144","65174","93","2","-1","2"
"9145","5192","93","1","-1","2"
"9146","5193","93","1","-1","2"
"9147","65177","93","2","-1","2"
"9148","5197","93","1","-1","2"
"9149","5198","93","1","-1","2"
"9150","63478","95","2","-1","2"
"9151","63479","95","2","-1","2"
"9153","65178","95","2","-1","2"
"9154","63482","95","2","-1","2"
"9155","63483","95","2","-1","2"
"9156","63484","95","2","-1","2"
"9157","63485","95","2","-1","2"
"9158","63486","95","2","-1","2"
"9160","63433","96","2","-1","2"
"9161","6314","96","1","-1","2"
"9162","63434","96","2","-1","2"
"9163","6323","96","1","-1","2"
"9164","63435","96","2","-1","2"
"9165","6324","96","1","-1","2"
"9166","63436","96","2","-1","2"
"9167","63437","96","2","-1","2"
"9168","63440","97","2","-1","2"
"9169","6321","97","1","-1","2"
"9170","63441","97","2","-1","2"
"9171","63444","97","2","-1","2"
"9172","5254","97","1","-1","2"
"9173","5943","97","1","-1","2"
"9174","63438","97","2","-1","2"
"9175","6319","97","1","-1","2"
"9176","63439","97","2","-1","2"
"9177","6320","98","1","-1","2"
"9178","63448","98","2","-1","2"
"9179","63449","98","2","-1","2"
"9180","63445","98","2","-1","2"
"9181","63446","98","2","-1","2"
"9182","3191","98","1","-1","2"
"9183","63447","98","2","-1","2"
"9184","6642","99","1","-1","2"
"9185","6341","99","1","-1","2"
"9186","63450","99","2","-1","2"
"9187","1292","99","1","-1","2"
"9188","63452","99","2","-1","2"
"9189","63453","99","2","-1","2"
"9190","3230","99","1","-1","2"
"9191","63454","99","2","-1","2"
"9192","63455","99","2","-1","2"
"9193","63456","100","2","-1","2"
"9194","6641","100","1","-1","2"
"9195","63457","100","2","-1","2"
"9196","63458","100","2","-1","2"
"9197","63459","100","2","-1","2"
"9198","3748","100","1","-1","2"
"9200","63461","100","2","-1","2"
"9201","63462","100","2","-1","2"
"9202","63463","100","2","-1","2"
"9203","63464","100","2","-1","2"
"9204","63465","100","2","-1","2"
"9205","6220","100","1","-1","2"
"9206","6318","100","1","-1","2"
"9207","55201","101","1","-1","2"
"9208","55202","101","1","-1","2"
"9209","55203","101","1","-1","2"
"9210","56266","101","2","-1","2"
"9211","56267","101","2","-1","2"
"9212","55195","101","1","-1","2"
"9213","56268","101","2","-1","2"
"9214","56269","101","2","-1","2"
"9215","56270","101","2","-1","2"
"9216","55198","101","1","-1","2"
"9217","56272","102","2","-1","2"
"9218","56273","102","2","-1","2"
"9219","56274","102","2","-1","2"
"9220","56275","102","2","-1","2"
"9221","55204","102","1","-1","2"
"9222","55205","102","1","-1","2"
"9223","55206","102","1","-1","2"
"9224","55207","102","1","-1","2"
"9225","55228","102","1","-1","2"
"9226","56271","102","2","-1","2"
"9228","55235","103","1","-1","2"
"9229","55236","103","1","-1","2"
"9230","56276","103","2","-1","2"
"9231","55237","103","1","-1","2"
"9232","56277","103","2","-1","2"
"9233","56278","103","2","-1","2"
"9235","56280","103","2","-1","2"
"9236","55229","103","1","-1","2"
"9237","56288","104","2","-1","2"
"9238","56289","104","2","-1","2"
"9239","56290","104","2","-1","2"
"9240","56291","104","2","-1","2"
"9241","55249","104","1","-1","2"
"9242","55250","104","1","-1","2"
"9243","55251","104","1","-1","2"
"9244","55252","104","1","-1","2"
"9245","55253","104","1","-1","2"
"9246","55254","104","1","-1","2"
"9247","55255","104","1","-1","2"
"9248","55256","104","1","-1","2"
"9249","56281","104","2","-1","2"
"9250","55258","104","1","-1","2"
"9251","56282","104","2","-1","2"
"9252","55259","104","1","-1","2"
"9253","56283","104","2","-1","2"
"9254","56284","104","2","-1","2"
"9255","56285","104","2","-1","2"
"9256","56286","104","2","-1","2"
"9257","55776","105","1","-1","2"
"9258","55777","105","1","-1","2"
"9259","55778","105","1","-1","2"
"9260","56310","105","2","-1","2"
"9261","56311","105","2","-1","2"
"9262","56312","105","2","-1","2"
"9263","56313","105","2","-1","2"
"9264","56314","105","2","-1","2"
"9265","55278","105","1","-1","2"
"9266","55279","105","1","-1","2"
"9267","55264","106","1","-1","2"
"9268","55265","106","1","-1","2"
"9269","55266","106","1","-1","2"
"9270","55267","106","1","-1","2"
"9271","56295","106","2","-1","2"
"9272","56296","106","2","-1","2"
"9273","56297","106","2","-1","2"
"9274","56298","106","2","-1","2"
"9275","56299","106","2","-1","2"
"9276","55263","106","1","-1","2"
"9277","56304","107","2","-1","2"
"9278","55268","107","1","-1","2"
"9279","55269","107","1","-1","2"
"9280","55270","107","1","-1","2"
"9281","55271","107","1","-1","2"
"9282","55272","107","1","-1","2"
"9283","56300","107","2","-1","2"
"9284","56301","107","2","-1","2"
"9285","56302","107","2","-1","2"
"9286","56303","107","2","-1","2"
"9287","56305","108","2","-1","2"
"9288","56306","108","2","-1","2"
"9289","56307","108","2","-1","2"
"9290","56308","108","2","-1","2"
"9291","56309","108","2","-1","2"
"9292","55273","108","1","-1","2"
"9293","55274","108","1","-1","2"
