Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
"816","Mighty Stomp","Throngus stomps his foot on the ground, triggering the walls of Grim Batol to Cave In. Throngus will not Mighty Stomp if he has his shield equipped.","0","0","132368","132","817","0","0","0","0","1","2","-1"
"817","Cave In","After the Mighty Stomp of Throngus weakens the walls of Grim Batol, pieces of stone begin to fall on top of a random player in a $74986A1 yard radius area. Players who continue to stand in that area take $74986s1 Physical damage every second.","0","0","132153","132","818","0","0","0","0","2","2","-1"
"818","Pick Weapon","Throngus has several fearsome weapons at his disposal. Periodically during the encounter, he randomly chooses between a massive Shield, a pair of Swords, or a punishing Mace. The chosen weapon grants him new abilities for a short duration of the encounter.","0","0","134400","132","819","0","0","0","0","3","1","-1"
"819","Shield Abilities","","0","0","0","132","823","820","0","1","0","4","0","-1"
"820","Personal Phalanx","Throngus points his shield at a random player every 10 seconds. Damage dealt to Throngus by a player standing in front of the shield is reduced by $74909s1%.","0","0","331053","132","821","0","819","0","2","5","2","-1"
"821","Flaming Arrow","While Throngus has a shield equipped, archers constantly fire flaming arrows from overhead windows at random players. Each flaming arrow inflicts $74944s1 Fire damage.","0","0","132312","132","822","0","819","0","0","6","2","-1"
"822","Flaming Shield","A 60 degree cone of fire erupts forward from Throngus' shield, inflicting $90830s1 Fire damage every second to any enemy target engulfed by the fire.","0","0","134982","132","0","0","819","2","8","7","2","14"
"823","Swords Abilities","","0","0","0","132","828","824","0","1","0","8","0","-1"
"824","Dual Blades","Throngus wields a flaming sword in each hand, granting him the ability to attack simultaneously with each weapon. His melee damage is reduced by $74981s3% during this time.","0","0","132147","132","825","0","823","0","0","9","2","-1"
"825","Thrash","Throngus will occasionally attack an additional two times when he swings his swords.","0","0","132152","132","826","0","823","0","0","10","2","-1"
"826","Disorienting Roar","Throngus lets loose a tremendous roar, decreasing the attack and cast speeds of players by $74976s1%. Players may remove this effect by casting a spell or using an ability.  $[2,4

In Heroic Difficulty Disorienting Roar reduces attack and cast speeds of players by 150%, and each time a player casts a spell or uses an ability the amount of the reduction lowers by $74976s1%.$]","0","0","132352","132","827","0","823","0","0","11","2","-1"
"827","Burning Flames","The fiery blades burn the target of Throngus' melee attacks, inflicting $90764s1 Fire damage every $90764t1 seconds for $90764d. This effect stacks, but a single dispel effect removes all stacks.","0","0","135822","132","0","0","823","2","140","12","2","14"
"828","Mace Abilities","","0","0","0","132","0","829","0","1","0","13","0","-1"
"829","Encumbered","The incredibly massive weight of Throngus' mace decreases his movement speed by $75007s2%, but increases his melee attack damage by $75007s1%.","0","0","133490","132","830","0","828","0","1","14","2","-1"
