Id,Unknown0,Unknown1
"58","95","2"
"59","95","4"
"60","95","5"
"61","95","6"
"62","139","1"
"63","139","2"
"64","139","3"
"65","139","4"
"66","139","5"
"67","139","6"
"68","140","1"
"69","140","2"
"70","140","3"
"71","140","4"
"72","140","5"
"73","140","6"
"74","154","1"
"75","154","2"
"76","154","3"
"77","154","4"
"78","154","5"
"79","154","6"
"80","155","1"
"81","155","2"
"82","155","3"
"83","155","4"
"84","155","5"
"85","155","6"
"86","156","1"
"87","156","2"
"88","156","3"
"89","156","4"
"90","156","5"
"91","156","6"
"92","157","1"
"93","157","2"
"94","157","3"
"95","157","4"
"96","157","5"
"97","157","6"
"98","158","1"
"99","158","2"
"100","158","3"
"101","158","4"
"102","158","5"
"103","158","6"
"104","167","1"
"105","167","2"
"106","167","3"
"107","167","4"
"108","167","5"
"109","167","6"
"110","168","5"
"111","168","6"
"112","169","1"
"113","169","2"
"114","169","3"
"115","169","4"
"116","169","5"
"117","169","6"
"118","170","1"
"119","170","2"
"120","170","3"
"121","170","4"
"122","170","5"
"123","170","6"
"124","171","1"
"125","171","2"
"126","171","3"
"127","171","4"
"128","171","5"
"129","171","6"
"130","172","1"
"131","172","2"
"132","172","3"
"133","172","4"
"134","172","5"
"135","172","6"
"136","173","1"
"137","173","2"
"138","173","3"
"139","173","4"
"140","173","5"
"141","173","6"
"142","174","1"
"143","174","2"
"144","174","3"
"145","174","4"
"146","174","5"
"147","174","6"
"148","192","1"
"149","192","2"
"150","192","3"
"151","192","4"
"152","192","5"
"153","192","6"
"154","193","1"
"155","193","2"
"156","193","3"
"157","193","4"
"158","193","5"
"159","193","6"
"160","194","1"
"161","194","2"
"162","194","3"
"163","194","4"
"164","194","5"
"165","194","6"
"166","195","1"
"167","195","2"
"168","195","3"
"169","195","4"
"170","195","5"
"171","195","6"
"172","196","1"
"173","196","2"
"174","196","3"
"175","196","4"
"176","196","5"
"177","196","6"
"178","197","1"
"179","197","2"
"180","197","3"
"181","197","4"
"182","197","5"
"183","197","6"
"184","198","1"
"185","198","2"
"186","198","3"
"187","198","4"
"188","198","5"
"189","198","6"
"190","339","1"
"191","339","2"
"192","339","3"
"193","339","4"
"194","339","5"
"195","339","6"
"202","370","1"
"203","370","2"
"204","370","3"
"205","370","4"
"206","372","1"
"207","372","2"
"208","372","3"
"209","372","4"
"210","373","1"
"211","373","2"
"212","373","3"
"213","373","4"
"214","374","1"
"215","374","2"
"216","374","3"
"217","374","4"
"218","377","1"
"219","377","2"
"220","377","3"
"221","377","4"
"222","378","1"
"223","378","2"
"224","378","3"
"225","378","4"
"226","379","1"
"227","379","2"
"228","379","3"
"229","379","4"
"230","380","1"
"231","380","2"
"232","380","3"
"233","380","4"
"234","381","1"
"235","381","2"
"236","381","3"
"237","381","4"
"238","382","1"
"239","382","2"
"240","382","3"
"241","382","4"
"242","383","1"
"243","383","2"
"244","383","3"
"245","383","4"
"246","384","1"
"247","384","2"
"248","384","3"
"249","384","4"
"250","385","1"
"251","385","2"
"252","385","3"
"253","385","4"
"254","386","1"
"255","386","2"
"256","386","3"
"257","386","4"
"258","387","1"
"259","387","2"
"260","387","3"
"261","387","4"
"266","413","1"
"267","413","2"
"268","413","3"
"269","413","4"
"270","414","1"
"271","414","2"
"272","414","3"
"273","414","4"
"274","415","1"
"275","415","2"
"276","415","3"
"277","415","4"
"292","536","2"
"296","542","2"
"300","583","2"
"304","595","2"
"308","617","2"
"316","664","1"
"317","664","2"
"318","664","3"
"319","664","4"
"320","665","1"
"321","665","2"
"324","666","1"
"325","666","2"
"328","668","1"
"329","668","2"
"330","668","3"
"331","668","4"
"332","669","1"
"333","669","2"
"334","669","3"
"335","669","4"
"336","670","1"
"337","670","2"
"338","670","3"
"339","670","4"
"340","674","1"
"341","674","2"
"342","674","3"
"343","674","4"
"348","684","1"
"349","684","2"
"360","698","1"
"361","698","2"
"362","698","3"
"363","698","4"
"364","728","2"
"412","663","1"
"413","663","2"
"466","831","5"
"467","831","6"
"474","833","2"
"893","728","24"
"894","583","24"
"895","595","24"
"896","617","24"
"897","536","24"
