Id,Unknown0,Unknown1,Unknown2
"1","Overflowing","Healing in excess of a target's maximum health is instead converted to a heal absorption effect.","463570"
"2","Skittish","Enemies pay far less attention to threat generated by tanks.","135994"
"3","Volcanic","While in combat, enemies periodically cause gouts of flame to erupt beneath the feet of distant players.","451169"
"4","Necrotic","All enemies' melee attacks apply a stacking blight that inflicts damage over time and reduces healing received.","1029009"
"5","Teeming","Additional non-boss enemies are present throughout the dungeon.","136054"
"6","Raging","Non-boss enemies enrage at 30% health remaining, dealing 100% increased damage until defeated.","132345"
"7","Bolstering","When any non-boss enemy dies, its death cry empowers nearby allies, increasing their maximum health and damage by 20%.","132333"
"8","Sanguine","When slain, non-boss enemies leave behind a lingering pool of ichor that heals their allies and damages players.","136124"
"9","Tyrannical","Boss enemies have 40% more health and inflict up to 20% increased damage.","236401"
"10","Fortified","Non-boss enemies have 20% more health and inflict up to 40% increased damage.","463829"
