Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"36","30","258","0","47","60","49","52"
"46","32","258","0","55","60","57","60"
"57","137","259","1","59","70","61","63"
"61","172","259","1","67","70","69","70"
"65","170","259","1","64","70","66","68"
"66","147","259","1","67","70","69","70"
"76","171","259","1","68","70","70","70"
"87","198","259","1","68","70","70","70"
"88","138","259","1","67","70","69","70"
"92","151","259","1","67","70","69","70"
"95","136","259","1","58","70","59","62"
"97","173","259","1","67","70","69","70"
"98","174","259","1","68","70","70","70"
"107","148","259","1","62","70","64","66"
"108","149","259","1","63","70","65","67"
"109","150","259","1","65","70","67","68"
"110","140","259","1","60","70","62","64"
"199","258","0","2","15","58","15","58"
"200","258","0","1","15","58","15","58"
"201","258","0","0","15","60","15","60"
"202","259","0","1","59","70","59","70"
"203","259","0","2","59","68","59","68"
"220","276","258","0","51","60","53","56"
"240","202","261","2","68","80","69","72"
"241","225","261","2","69","80","71","73"
"242","204","261","2","70","80","72","74"
"243","218","261","2","71","80","73","75"
"244","214","261","2","72","80","74","76"
"245","220","261","2","73","80","75","77"
"246","216","261","2","74","80","76","78"
"247","208","261","2","75","80","77","79"
"248","209","261","2","78","80","79","80"
"249","206","261","2","77","80","79","80"
"250","207","261","2","77","80","79","80"
"251","203","261","2","77","80","79","80"
"252","245","261","2","78","80","80","80"
"253","251","261","2","80","80","79","80"
"254","253","261","2","80","80","79","80"
"255","255","261","2","80","80","79","80"
"256","261","0","2","69","80","69","80"
"307","178","260","1","70","70","70","70"
"308","179","260","1","70","70","70","70"
"309","180","260","1","70","70","70","70"
"310","181","260","1","70","70","70","70"
"311","182","260","1","70","70","70","70"
"312","183","260","1","70","70","70","70"
"313","184","260","1","70","70","70","70"
"314","185","260","1","70","70","70","70"
"315","186","260","1","70","70","70","70"
"316","187","260","1","70","70","70","70"
"317","188","260","1","70","70","70","70"
"318","189","260","1","70","70","70","70"
"319","190","260","1","70","70","70","70"
"320","191","260","1","70","70","70","70"
"321","192","260","1","70","70","70","70"
"322","201","260","1","70","70","70","70"
"323","205","262","2","80","80","80","80"
"324","210","262","2","80","80","80","80"
"325","211","262","2","80","80","80","80"
"326","212","262","2","80","80","80","80"
"327","213","262","2","80","80","80","80"
"328","215","262","2","80","80","80","80"
"329","217","262","2","80","80","80","80"
"330","219","262","2","80","80","80","80"
"331","221","262","2","80","80","80","80"
"332","226","262","2","80","80","80","80"
"333","241","262","2","80","80","80","80"
"334","242","262","2","80","80","80","80"
"335","249","262","2","80","80","80","80"
"336","252","262","2","80","80","80","80"
"337","254","262","2","80","80","80","80"
"338","256","262","2","80","80","80","80"
"339","302","300","3","80","85","80","82"
"340","303","300","3","80","85","80","82"
"341","304","300","3","84","85","85","85"
"342","305","300","3","84","85","85","85"
"343","307","300","3","81","85","82","84"
"344","311","300","3","81","85","82","84"
"345","312","300","3","84","85","85","85"
"346","319","301","3","85","85","85","85"
"347","320","301","3","85","87","85","85"
"348","321","301","3","85","85","85","85"
"349","322","301","3","85","85","85","85"
"350","323","301","3","85","85","85","85"
"351","324","301","3","85","85","85","85"
"352","325","301","3","85","85","85","85"
"353","326","301","3","85","85","85","85"
"354","327","301","3","85","85","85","85"
"355","334","301","3","85","85","85","85"
"356","340","301","3","85","85","85","85"
"357","435","301","3","85","85","85","85"
"358","436","434","3","85","85","85","85"
"359","437","301","3","85","85","85","85"
"360","438","434","3","85","85","85","85"
"361","439","301","3","85","85","85","85"
"362","440","434","3","85","85","85","85"
"375","260","0","1","70","70","70","70"
"376","262","0","2","80","80","80","80"
