Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","Classic Dungeons","114","0","1"
"2","Burning Crusade Normal","113","0","1"
"3","Burning Crusade Heroic","112","0","1"
"4","Wrath of the Lich King Normal","111","0","1"
"5","Wrath of the Lich King Heroic","110","0","1"
"6","Classic Raid","522","0","2"
"7","Burning Crusade Raid","521","0","2"
"8","Wrath of the Lich King Raid (10)","520","0","2"
"9","Wrath of the Lich King Raid (25)","519","0","2"
"11","World Events","1023","0","0"
"12","Cataclysm Heroic","108","0","1"
"13","Cataclysm Normal","109","0","1"
"14","Cataclysm Raid (25)","517","0","2"
"15","Cataclysm Raid (10)","518","0","2"
"20","Rated Battleground","1024","0","2"
"33","Hour of Twilight Heroic","107","0","1"
"36","Mists of Pandaria Heroic","105","0","1"
"37","Mists of Pandaria Normal","106","0","1"
"38","Scenarios","1025","0","1"
"40","Mists of Pandaria Raid (25)","516","0","2"
"41","Mists of Pandaria Raid (10)","515","0","2"
"43","Heroic Scenarios","1026","0","1"
"44","Timewalking","1027","0","0"
"45","Mists of Pandaria Raid (Flex)","514","0","2"
"46","Mists of Pandaria World Boss","513","0","2"
"47","Warlords of Draenor Normal","104","0","1"
"48","Warlords of Draenor Heroic","103","0","1"
"49","Warlords of Draenor Raid (Normal)","510","0","2"
"50","Warlords of Draenor Raid (Heroic)","511","0","2"
"51","Warlords of Draenor Raid (Mythic)","512","0","2"
"52","Legion Heroic","102","0","1"
"53","Legion Normal","101","0","1"
"54","Legion Raid (Normal)","507","0","2"
"55","Legion Raid (Heroic)","508","0","2"
"56","Legion Raid (Mythic)","509","0","2"
