Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30
"1","Wailing Caverns","259","WAILINGCAVERNS","","0","0","25","20","43","258","0","481","0","0","15","19","17","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"2","Scholomance","259","SCHOLOMANCE","","0","0","48","43","1007","258","0","684","0","0","38","42","40","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"4","Ragefire Chasm","259","RAGEFIRECHASM","","0","0","21","16","389","258","0","697","0","0","15","16","15","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"6","Deadmines","259","DEADMINES","","0","0","21","16","36","258","0","93","0","0","15","16","15","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"8","Shadowfang Keep","259","SHADOWFANGKEEP","","0","0","26","21","33","258","0","100","0","0","16","20","18","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"10","Blackfathom Deeps","259","BLACKFATHOMDEEPS","","0","0","30","25","48","258","0","444","0","0","20","24","22","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"12","Stormwind Stockade","259","STORMWINDSTOCKADES","","0","0","30","25","34","258","0","464","0","0","20","24","22","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"14","Gnomeregan","259","GNOMEREGAN","","0","0","34","29","90","258","0","422","0","0","24","28","26","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"16","Razorfen Kraul","259","RAZORFENKRAUL","","0","0","40","35","47","258","0","901","0","0","30","34","32","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"20","Razorfen Downs","259","RAZORFENDOWNS","","0","0","50","45","129","258","0","1141","0","0","40","44","42","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"22","Uldaman","259","ULDAMAN","","0","0","45","40","70","258","0","473","0","0","35","39","37","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"24","Zul'Farrak","259","ZULFARAK","","0","0","54","49","209","258","0","489","0","0","44","48","46","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"26","Maraudon - Foulspore Cavern","259","MARAUDON","","0","0","42","37","349","258","0","424","0","0","32","36","34","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"28","Sunken Temple","259","SUNKENTEMPLE","","0","0","60","55","109","258","0","463","0","0","50","54","52","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"30","Blackrock Depths - Detention Block","259","BLACKROCKDEPTHS","","0","0","57","52","230","258","0","369","0","0","47","51","49","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"32","Lower Blackrock Spire","259","BLACKROCKSPIRE","","0","0","65","58","229","258","0","396","0","0","55","58","57","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"34","Dire Maul - Warpwood Quarter","259","DIREMAUL","","0","0","46","41","429","258","0","405","0","0","36","40","38","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"36","Dire Maul - Capital Gardens","259","DIREMAUL","","0","0","49","44","429","258","0","410","0","0","39","43","41","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"38","Dire Maul - Gordok Commons","259","DIREMAUL","","0","0","52","47","429","258","0","417","0","0","42","46","44","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"40","Stratholme - Main Gate","259","STRATHOLME","","0","0","52","47","329","258","0","449","0","0","42","46","44","1","1","-1","0","0","1","1","1","3","1","1","3","1","0"
"46","Onyxia's Lair","0","ONYXIAENCOUNTER","","0","187","83","83","249","0","0","0","0","0","80","80","80","3","2","-1","2","0","8","0","0","0","0","0","0","2","0"
"48","Molten Core","256","MOLTENCORE","","0","0","60","60","409","0","0","0","0","0","60","60","60","9","2","-1","0","0","6","0","0","0","0","0","0","2","0"
"50","Blackwing Lair","0","BLACKWINGLAIR","","0","0","60","60","469","0","0","0","0","0","60","60","60","9","2","-1","0","0","6","0","0","0","0","0","0","2","0"
"58","Elwynn Forest","0","","","0","0","14","0","-1","0","0","0","0","0","1","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0"
"60","Westfall","0","","","0","0","24","0","-1","0","0","0","0","0","8","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0"
"62","Duskwood","0","","","0","0","34","0","-1","0","0","0","0","0","18","0","0","0","4","-1","0","0","0","0","0","0","0","0","0","0","0"
"64","Dun Morogh","0","","","0","0","14","0","-1","0","0","0","0","0","1","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0"
"66","Loch Modan","0","","","0","0","24","0","-1","0","0","0","0","0","8","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0"
"68","Wetlands","0","","","0","0","34","0","-1","0","0","0","0","0","18","0","0","0","4","-1","0","0","0","0","0","0","0","0","0","0","0"
"70","Stranglethorn Vale","0","","","0","0","50","0","-1","0","0","0","0","0","28","0","0","0","4","-1","0","0","0","0","0","0","0","0","0","0","0"
"72","Blasted Lands","0","","","0","0","60","0","-1","0","0","0","0","0","43","0","0","0","4","-1","0","0","0","0","0","0","0","0","0","0","0"
"74","Swamp of Sorrows","0","","","0","0","50","0","-1","0","0","0","0","0","33","0","0","0","4","-1","0","0","0","0","0","0","0","0","0","0","0"
"76","Redridge Mountains","0","","","0","0","30","0","-1","0","0","0","0","0","13","0","0","0","4","-1","0","0","0","0","0","0","0","0","0","0","0"
