Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1,Unknown2,Unknown3,Unknown4_0,Unknown4_1,Unknown4_2,Unknown4_3,Unknown4_4,Unknown4_5,Unknown4_6,Unknown4_7
"1","0","0","0","0","0","0","12","13","10","13","4","0","0","0"
"2","-10666.67","64","0","533.3333","718.3611","0","14","15","494","15","4","0","0","0"
"3","-10358.36","-2789.172","0","386.7778","536.0555","0","16","15","496","15","4","0","0","0"
"4","-9786.672","1573.333","0","640","800","0","17","18","497","18","4","0","0","0"
"5","-10426.67","-1973.334","-4.916667","310.1945","454.5","0","19","20","463","20","4","0","0","0"
"6","-11299.86","-3073.473","0","386.7222","563.8333","0","21","22","454","22","4","0","0","0"
"7","-7862.172","-1074.031","0","660.3611","813.6389","0","23","24","456","24","4","0","0","0"
"8","-10773.33","1466.666","0","720","880","0","17","25","497","25","4","0","0","0"
"9","-13333.33","0","0","1770.667","2005.333","0","26","27","409","27","4","0","0","0"
"12","-1552.484","-3046.861","233.6213","35.32273","60.03238","0","30","31","10","31","4","0","0","0"
"13","-106","-733.7813","464.9333","24.89478","24.89478","0","32","33","10","33","4","0","0","0"
"14","-10376.08","-4017.133","22.7246","743.9445","853.3333","0","16","15","496","15","4","0","0","0"
"15","-10707.28","-1058.047","25.05819","666.6667","879.3889","0","14","15","494","15","4","0","0","0"
"16","-5161.328","-1442.016","435.7748","999.3113","1214.245","0","34","35","406","35","2","0","0","0"
"17","-11021.17","-2023.141","65.13889","307.4445","405.9167","0","19","20","463","20","4","0","0","0"
"18","-10213.33","-1386.672","0","186.6667","213.3333","0","14","15","494","15","4","0","0","0"
"19","-12041.5","-2450.281","0","450.4871","529.3611","0","916","37","36","37","4","0","0","0"
"20","-7978.672","-2570.672","0","704","832","0","23","24","456","24","4","0","0","0"
"21","-6730.672","-3733.334","322.7306","29.30805","30.90695","0","28","24","493","24","4","0","0","0"
"22","-5289.172","21.41602","235.5556","736.7778","879.7222","0","34","35","406","35","2","0","0","0"
"23","-6314.672","469.3281","192","533.3333","576","0","34","35","406","35","2","0","0","0"
"24","-5802.672","-234.6719","149.3333","576","682.6667","0","34","35","406","35","2","0","0","0"
"26","-5354.672","-3413.334","431.5667","20.679","20.679","0","38","39","470","39","4","0","0","0"
"27","2709.333","42.66602","0","984.6111","1436.722","0","40","39","407","39","4","0","0","0"
"28","277.3281","1378.055","380.4944","14.92575","14.92575","0","41","42","472","42","4","0","0","0"
"29","2133.333","1471.996","0","522.4445","838.0833","0","40","43","407","43","4","0","0","0"
"30","1853.692","-2961.641","0","413.6111","634.5278","0","44","45","457","45","4","0","0","0"
"31","1779.104","-1740.594","344.2545","13.9306","13.9306","0","46","45","473","45","4","0","0","0"
"33","2410.666","-2496","0","339.1389","459.5","0","48","45","457","45","4","0","0","0"
"34","959.9961","-1822.695","21.30556","56.52778","92.52778","0","49","45","473","45","4","0","0","0"
"36","106.666","-2613.334","0","500.6667","870.75","0","51","45","10","45","4","0","0","0"
