Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34
"20947","3848191","4151442","2007178","2007696","946060","665933","730952","2048089","14743551","31107","0","12346","12346","8028306","4804184","8028306","4804184","5526612","11000","0","0.5013793","4.5","0","0","0","0","0","0","0","0","0","0","0","492","0"
"20948","12580351","4744102","346460","5936251","159365","84074","215403","2575979","14743551","5738148","0","1803","23420","8883873","6186354","8883873","5528427","4605510","11000","0","0.7","4.5","0","0","0","0","0","0","0","0","0","0","0","492","1440"
"20949","3913727","4151442","1941129","2007439","880267","600397","665416","2048089","14743551","96643","0","12089","12346","8028306","4804184","8028306","4804184","5460819","11000","0","0.5","4.5","0","0","0","0","0","0","0","0","0","0","0","492","2870"
"20950","6199750","1718357","21359","21359","21359","21359","21359","21359","0","0","0","0","0","1978430","4887","1978430","4887","5789784","0.8","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"20966","6199750","1718357","0","0","0","0","0","21359","0","0","0","0","0","1978430","4887","1978430","4887","5789784","6500","0.1","0","4.5","0","0","0","0","0","0","0","0","0","0","0","3","0"
"20967","6199750","1718357","21359","21359","21359","21359","21359","21359","0","0","0","0","0","4887","1978430","4887","4887","5789784","6500","0.1","0","4.5","0","0","0","0","0","0","0","0","0","0","0","4","0"
"20968","6199750","1718357","21359","21359","21359","21359","21359","21359","0","0","0","0","0","1978430","4887","1978430","4887","5789784","6500","0.1","0","4.5","0","0","0","0","0","0","0","0","0","0","0","5","0"
"20969","3754064","7434609","2818071","5125438","6637910","5648956","4599354","1654890","7694205","7034992","1642258","3087649","4210233","263238","2447944","2102811","2319190","3355443","15000","0.5","0.7","6","0","0","0","0","0","0","0","0","0","0","0","8","0"
"20970","3754064","7434609","8400447","9267568","14838371","4291464837","9069407","1654890","7694205","8405828","2233880","3418166","4210233","263238","2447944","2365988","1912110","5460819","15000","0.5","0.7","6","0","0","0","0","0","0","0","0","0","0","0","8","1020"
"20971","3754064","7434609","5456464","11108230","13211790","16430500","10975856","1654890","7694205","12093308","2562587","3616319","4210233","263238","2447944","2563369","1775390","6381921","15000","0.5","0.7","6","0","0","0","0","0","0","0","0","0","0","0","8","1440"
"20972","3754064","7434609","7684195","10646888","15571565","15575170","8280665","1654890","7694205","10382166","2168087","5918833","4210233","263238","2447944","2365987","1979957","5066061","15000","0.5","0.7","6","0","0","0","0","0","0","0","0","0","0","0","8","2040"
"20973","6645093","8421504","7303023","7171437","7303023","6776679","5395282","5395538","5789784","12829621","0","4013886","0","5066061","4408131","5066061","4408131","3684408","10000","0","0.95","4.5","0","0","0","0","0","0","0","0","0","0","0","10","0"
"20974","2377316","3561580","0","3103","467012","993875","929609","265247","15266303","658713","0","996209","3031393","2178607","3096","1719326","3165520","6052956","18000","0","0.5","5","0","0","0","0","0","0","0","0","0","0","0","12","0"
"20975","2377316","3561580","0","3103","467012","993875","929609","265247","15266303","658713","0","996209","12875","2178607","3096","1719326","3165520","6052956","17200","0.05","0.5","5","0","0","0","0","0","0","0","0","0","0","0","12","360"
"20976","10961664","8491682","3756125","5468293","12411202","16752679","16763440","3359821","16765590","11057344","0","14115868","2116719","5982274","1323055","3095095","3033933","7237230","16000","0","0.5","4","0","0","0","0","0","0","0","0","0","0","0","12","720"
"20977","6968898","8361386","8009","5406631","10083573","11524832","11842740","5077135","16775134","11584215","0","4417402","6390455","1133401","7465","2706513","1715763","5066061","18000","0.25","0.5","4.5","0","0","0","0","0","0","0","0","0","0","0","12","1440"
"20978","8142352","9932963","3093822","6838913","10840915","11891522","13074987","5979467","16742171","16766112","0","2959418","6115448","4212812","859952","2572860","2374204","7237230","17333.33","0.25","0.5","4.5","0","0","0","0","0","0","0","0","0","0","0","12","2160"
"20979","2377316","3561580","0","3103","467012","993875","929609","265247","15266303","658713","0","996209","6115448","5916742","1385013","1719326","3165520","6052956","18000","0","0.5","5","0","0","0","0","0","0","0","0","0","0","0","12","2520"
