Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5_0,Unknown5_1,Unknown5_2,Unknown6,Unknown7,Unknown8,Unknown9
"1","0.2","0.5","1","0.75","1","0","0","0","83","0","0","0"
"2","0.4","0.5","1","0.75","1","0","0","0","82","0","0","0"
"3","0.6","0.5","1","0.75","1","0","0","0","81","0","0","0"
"4","0.8","0.5","1","0.75","1","0","0","0","90","0","0","0"
"5","1","0.5","1","0.75","1","0","0","0","91","0","0","0"
"6","0.65","0.5","1","0.75","1","0","0","0","0","0","0","0"
"7","0.65","0.5","1","0.75","1","0","0","0","0","0","0","0"
"8","0.5","0.5","1","0.75","1","0","0","0","105","1","0","0"
"9","0.8","0.2","0.1","0.1","1","0","0","0","0","1","0","0"
"10","0.1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"11","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"12","0.4","0.5","1","0.65","1","0","0","0","0","1","0","0"
"13","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"14","0.85","0.5","1","0.75","1","0","0","0","0","0","0","0"
"15","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"16","0.85","0.5","1","0.5","1","0","0","0","0","0","0","2"
"17","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"18","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"19","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"20","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"21","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"22","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"23","0.9","0.5","1","0.75","1","0","0","0","0","0","0","0"
"24","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"25","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"26","0.65","0.85","1","0.75","1","0","0","0","0","1","0","0"
"27","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"28","0.1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"29","0.85","0.5","1","0.75","1","0","0","0","0","0","0","0"
"30","0.4","0.5","1","0.75","1","0","0","0","0","1","0","0"
"31","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"32","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"33","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"34","0","0.5","1","0.75","1","0","0","0","0","1","0","0"
"35","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"36","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"37","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"38","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"39","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"40","0.65","0.5","1","0.75","1","0","0","0","0","0","0","0"
"41","0.6","0.5","1","0.75","1","0","0","0","0","1","0","0"
"42","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
