Id,Unknown0,Unknown1
"1","Environments\Stars\StratholmeSkybox.mdx","0"
"2","Environments\Stars\PortalWorldLegionSky.mdx","0"
"3","Environments\Stars\DeathClouds.mdx","0"
"4","Environments\Stars\Stars.mdx","0"
"5","Environments\Stars\CavernsOfTimeSky.mdx","0"
"6","Environments\Stars\DireMaulSkyBox.mdx","0"
"7","Environments\Stars\HellfireSkyBox.mdx","0"
"8","Environments\Stars\BoneWastesSkyBox.mdx","0"
"9","environments\stars\shadowmoonskybox.mdx","4"
"10","Environments\Stars\NetherstormSkyBox.mdx","0"
"11","Environments\Stars\BladesEdgeSkyBox.mdx","0"
"12","environments\stars\nagrandskybox.mdx","1"
"14","Environments\Stars\BladesedgeForestSkyBox.mdx","0"
"15","Environments\Stars\BladesedgeNightElfSkyBox.mdx","0"
"18","Environments\Stars\ShadowmoonIllidan.mdx","0"
"19","Environments\Stars\DragonblightScarletSkyBox.mdx","2"
"21","ENVIRONMENTS\Stars\ZulDrakSkyB.mdx","5"
"23","ENVIRONMENTS\Stars\ColdarraSky.mdx","5"
"26","ENVIRONMENTS\Stars\Aurora.mdx","2"
"29","ENVIRONMENTS\Stars\IceCrownDarkSky.mdx","1"
"30","ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx","0"
"33","ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx","0"
"34","ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx","0"
"36","ENVIRONMENTS\Stars\IceCrownScourgeSky.mdx","4"
"37","ENVIRONMENTS\Stars\StormPeaks_SkyA.mdx","5"
"40","ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx","2"
"42","ENVIRONMENTS\Stars\IceCrownSunsetSky.mdx","4"
"45","ENVIRONMENTS\Stars\WintergraspSmokySky.mdx","5"
"48","ENVIRONMENTS\Stars\WintergraspSmokySky.mdx","4"
"55","ENVIRONMENTS\Stars\AuroraYellowGreen.mdx","2"
"63","ENVIRONMENTS\Stars\AuroraOrange.mdx","2"
"81","ENVIRONMENTS\Stars\DeathSkybox.mdx","0"
"92","ENVIRONMENTS\Stars\UlduranCloudySky.mdx","1"
"94","ENVIRONMENTS\Stars\DalaranSkyBox.mdx","1"
"96","ENVIRONMENTS\Stars\StormPeaks_SkyB_Storm.mdx","1"
"103","ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Starry.mdx","0"
"105","ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx","0"
"111","ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx","0"
"112","ENVIRONMENTS\Stars\ZulDrakSkyB.mdx","4"
"113","ENVIRONMENTS\Stars\ZulDrakSkyA.mdx","5"
"114","Environments\Stars\IceCrownStormySky.mdx","1"
"116","ENVIRONMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx","1"
"117","ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx","1"
"118","ENVIRONMENTS\Stars\NexusRaid_Wormhole.mdx","0"
"119","ENVIRONMENTS\Stars\AzjolNerub_SkyA.mdx","0"
"123","Environments\Stars\AuroraYellowGreen.mdx","2"
"124","Environments\Stars\Battlefield_Dirty_SkyBox.mdx","2"
"125","Environments\Stars\AuroraOrange.mdx","2"
"126","Environments\Stars\IceCrownSky.mdx","4"
"127","Environments\Stars\Battlefield_Dirty_SkyBox.mdx","6"
"128","Environments\Stars\Hyjal_SkyBox.mdx","0"
"130","Environments\Stars\LostIsleSkyBox.mdx","3"
"131","environments\stars\lostislegloomyskybox.mdx","2"
"132","environments\stars\firelandssky01.mdx","0"
"133","Environments\Stars\KezanSkyBox.mdx","1"
"135","Environments\Stars\IceCrownRaidSky01.mdx","0"
"136","environments\stars\skywallraidstormyskybox.mdx","1"
"137","Environments\Stars\IceCrownSky.mdx","5"
"138","Environments\Stars\IceCrownStarrySky.mdx","1"
