Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7_0,Unknown7_1,Unknown7_2,Unknown7_3,Unknown7_4,Unknown7_5,Unknown8_0,Unknown8_1,Unknown9_0,Unknown9_1,Unknown9_2,Unknown9_3,Unknown9_4,Unknown9_5,Unknown9_6,Unknown9_7,Unknown9_8,Unknown9_9,Unknown9_10,Unknown9_11,Unknown9_12,Unknown9_13,Unknown9_14,Unknown9_15,Unknown9_16,Unknown9_17,Unknown10_0,Unknown10_1,Unknown10_2,Unknown10_3,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17_0,Unknown17_1,Unknown17_2,Unknown17_3,Unknown17_4,Unknown17_5,Unknown18
"1","Water","0","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","1","0.5","0.5","0.2","0.7","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"2","Ocean","0","30","0.5","0.5","0.25","1","XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","0.7","1","0.25","0.2","0.7","0.2","0.1","1","1","2","0","0","1","1250","1","0","0","15","0","0","0","1","0","0","1","30","1","257"
"3","Magma","0","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0.025","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"4","Slime","0","0","0","0","0","0","XTextures\slime\slime.%d.blp","XTextures\slime\Slime0","XTextures\slime\Slime1","XTextures\slime\Slime2","","","0","0","0","0.025","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","66","1","6","0","3","0","0","2","30","1","257"
"5","Slow Water","0","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","0.7","0.5","0.5","0.2","0.5","0.2","0.1","1","0.7","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"6","Slow Ocean","0","30","0.5","0.5","0.25","1","XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","0","0.5","1","0.25","0.2","0.7","0.2","0.1","1","1","2","0","0","1","1250","0","0","0","15","0","0","0","1","0","0","1","30","1","257"
"7","Slow Magma","0","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0.025","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.02","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"8","Slow Slime","0","0","0","0","0","0","XTextures\slime\slime.%d.blp","XTextures\slime\Slime0","XTextures\slime\Slime1","XTextures\slime\Slime2","","","0","0","0","0.025","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","66","1","6","0","3","0","0","2","30","1","257"
"9","Fast Water","0","0","0","0","0","1","XTextures\river\fast_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","0.5","0.5","0.5","0.2","0.7","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","16","1","257"
"10","Fast Ocean","0","30","0.5","0.5","0.25","1","XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","0","0.5","1","0.25","0.2","0.7","0.2","0.1","1","1","2","0","0","1","1250","0","0","0","15","0","0","0","1","0","0","1","30","1","257"
