Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8,Unknown0_9,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown1_4,Unknown1_5,Unknown1_6,Unknown1_7,Unknown1_8,Unknown1_9,Unknown2,Unknown3,Unknown4
"101","0.2393782","0.534392","0.652557","0.8310881","0","0","0","0","0","0","0.4169231","0.376238","0.19604","0.1923077","0","0","0","0","0","0","241","0","0"
"102","0.8321244","0.6650602","0.5313253","0.4","0.2404145","0","0","0","0","0","0.1953846","0.2424242","0.3471074","0.385675","0.4061539","0","0","0","0","0","241","0","1"
"123","0.8404145","0.6756757","0.5394144","0.3828829","0.2528497","0","0","0","0","0","0.2446154","0.2569231","0.3630769","0.4015385","0.4846154","0","0","0","0","0","285","0","0"
"124","0.253886","0.4238342","0.6113989","0.8404145","0","0","0","0","0","0","0.4938462","0.3923077","0.3692307","0.2430769","0","0","0","0","0","0","285","0","1"
"143","0.8404145","0.7274612","0.6051813","0.4196891","0.253886","0","0","0","0","0","0.2430769","0.2584615","0.4015385","0.3892308","0.4907692","0","0","0","0","0","301","0","0"
"144","0.253886","0.4062176","0.6217617","0.740741","0.8376691","0","0","0","0","0","0.4938462","0.38","0.4","0.233663","0.2391653","0","0","0","0","0","301","0","1"
"145","0.856982","0.731982","0.5934685","0.4911917","0.3492228","0.2549223","0","0","0","0","0.4415385","0.4569231","0.3707692","0.6353846","0.5707692","0.3630769","0","0","0","0","292","0","0"
"146","0.2549223","0.3440414","0.3682432","0.4504505","0.6756757","0.7353604","0.8558559","0","0","0","0.3646154","0.4107692","0.5430769","0.6430769","0.6661538","0.4538462","0.4415385","0","0","0","292","0","1"
"147","0.8558559","0.7792746","0.5958549","0.5108808","0.3761658","0.2642487","0.1937824","0.1782383","0","0","0.4430769","0.4446154","0.3923077","0.6153846","0.6323076","0.7061539","0.6676923","0.6","0","0","295","0","0"
"148","0.1782383","0.2196891","0.33057","0.4393782","0.6580311","0.7367876","0.8592342","0","0","0","0.6030769","0.7107692","0.7415385","0.6307693","0.6646154","0.4753846","0.44","0","0","0","295","0","1"
"163","0.253886","0.3492228","0.4393782","0.6176166","0.8300518","0","0","0","0","0","0.4876923","0.5184615","0.64","0.6676923","0.5692308","0","0","0","0","0","302","0","0"
"164","0.8300518","0.7378238","0.5782384","0.3968912","0.2559586","0","0","0","0","0","0.5692308","0.5938461","0.3907692","0.38","0.4876923","0","0","0","0","0","302","0","1"
"165","0.8259068","0.6093264","0.3813471","0.357513","0.2746114","0.1906736","0.1779397","0","0","0","0.3246154","0.3046154","0.4215385","0.6723077","0.7246154","0.6661538","0.6019262","0","0","0","967","0","0"
"166","0.1772021","0.2031088","0.2797928","0.3927461","0.5139896","0.5937824","0.8259068","0","0","0","0.6046154","0.6876923","0.7292308","0.7046154","0.6015384","0.3276923","0.3246154","0","0","0","967","0","1"
"167","0.8231009","0.650794","0.5481865","0.4994819","0.4131113","0","0","0","0","0","0.3146067","0.338614","0.4446154","0.6553847","0.7833066","0","0","0","0","0","965","0","0"
"168","0.4141519","0.4300518","0.3533679","0.4300518","0.636684","0.8262227","0","0","0","0","0.7849118","0.6661538","0.5415385","0.3784615","0.291089","0.3130016","0","0","0","0","965","0","1"
"173","0.4068678","0.4020725","0.3637306","0.2913631","0.2258064","0","0","0","0","0","0.7945426","0.66","0.5353847","0.4783307","0.5136436","0","0","0","0","0","712","0","0"
"174","0.2278876","0.3038501","0.319171","0.4079084","0","0","0","0","0","0","0.5088283","0.5778491","0.7215384","0.7961477","0","0","0","0","0","0","712","0","1"
"176","0.8259068","0.7481865","0.6891192","0.5854923","0","0","0","0","0","0","0.5676923","0.5876923","0.676923","0.7261539","0","0","0","0","0","0","737","0","1"
"178","0.4203954","0.435626","0.3652445","0.342152","0.2382934","0","0","0","0","0","0.7688603","0.665347","0.5617977","0.382178","0.3723916","0","0","0","0","0","810","0","0"
"179","0.2351717","0.4559585","0.5160622","0.4183142","0","0","0","0","0","0","0.3756019","0.3815385","0.56","0.7752809","0","0","0","0","0","0","810","0","1"
"208","0.2533784","0.4020725","0.5937824","0.7803109","0.9108808","0","0","0","0","0","0.4861538","0.38","0.3523077","0.3846154","0.4384615","0","0","0","0","0","2265","0","0"
