Id,Unknown0,Unknown1,Unknown2
"3","1498774","1498775","0"
"4","1498772","1498773","0"
"21","131829","0","0"
"23","131838","0","0"
"25","131840","0","0"
"42","131866","0","0"
"61","131863","0","0"
"81","131850","0","0"
"82","131835","0","0"
"101","131871","0","0"
"102","131868","0","0"
"103","131824","0","0"
"104","131861","0","0"
"122","131883","0","0"
"141","131827","0","0"
"142","131833","0","0"
"143","131882","0","0"
"144","131876","0","0"
"145","131864","0","0"
"146","131885","0","0"
"161","131886","0","0"
"181","131831","0","0"
"182","131843","0","0"
"183","131820","0","0"
"184","131818","0","0"
"185","131819","0","0"
"186","131870","0","0"
"187","131823","0","0"
"188","131865","0","0"
"189","131825","0","0"
"190","131852","0","0"
"191","131872","0","0"
"192","131851","0","0"
"193","131841","0","0"
"195","131862","0","0"
"197","131854","0","0"
"198","445512","447135","0"
"199","131844","0","0"
"200","131849","0","0"
"201","131821","0","0"
"202","131834","0","0"
"203","131869","0","0"
"206","131875","0","0"
"207","131832","0","0"
"208","131846","0","0"
"209","131830","0","0"
"210","131855","0","0"
"213","131842","0","0"
"214","131884","0","0"
"215","131826","0","0"
"216","445510","447134","0"
"217","131867","0","0"
"218","131828","0","0"
"219","131853","0","0"
"220","131880","0","0"
"221","131881","0","0"
"222","131859","0","0"
"223","131874","0","0"
"225","131873","0","0"
"226","131856","0","0"
"227","131857","0","0"
"228","131836","0","0"
"229","131822","0","0"
"230","131877","0","0"
"231","131878","0","0"
"232","236056","0","0"
"233","236060","0","0"
"235","236058","0","0"
"236","236062","0","0"
"237","236061","0","0"
"238","236063","0","0"
"239","236057","0","0"
"240","236064","0","0"
"242","236059","0","0"
"243","236065","0","0"
"244","131879","0","0"
"245","309885","0","0"
"246","310729","0","0"
"247","311102","0","0"
"248","317257","0","0"
"250","318964","0","0"
"251","320915","0","0"
"252","335909","0","0"
"253","336388","0","0"
"254","365622","0","0"
"255","397151","0","0"
"256","400719","0","0"
"257","401943","0","0"
"258","401942","0","0"
"259","402550","0","0"
"260","404445","0","0"
"261","405445","0","0"
"262","407226","0","0"
"264","411684","0","0"
"265","411683","0","0"
"266","407545","0","0"
"267","418218","0","0"
"268","424078","0","0"
"269","468402","0","0"
"270","427941","0","0"
"271","450109","0","0"
"272","512032","0","0"
"273","514758","0","0"
"274","514085","0","0"
"275","514270","0","0"
"277","534166","0","0"
"279","534812","0","0"
"286","535280","0","0"
"287","535281","0","0"
"288","535413","0","0"
"289","574578","0","0"
"309","633147","0","0"
"310","633148","0","0"
"311","633149","0","0"
"312","633150","0","0"
"313","633151","0","0"
"314","633152","0","0"
"315","633153","0","0"
"316","633154","0","0"
"317","633155","0","0"
"318","633156","0","0"
"319","633157","0","0"
"320","633158","0","0"
"321","643909","0","0"
"322","647838","0","0"
"323","647839","0","0"
"324","613546","0","0"
"325","650622","0","0"
"326","651272","0","0"
"327","651944","651994","0"
"328","654139","0","0"
"329","652547","0","0"
"330","652548","0","0"
"331","652549","0","0"
"332","643908","0","0"
"333","645156","0","0"
"334","795305","0","0"
"335","651536","0","0"
"336","650621","0","0"
"340","774865","0","0"
"341","774864","0","0"
"342","774866","0","0"
"343","775185","0","0"
"344","775634","0","0"
"345","775426","0","0"
"346","804100","0","0"
"347","801471","0","0"
"348","841556","0","0"
"349","852904","0","0"
"350","852903","0","0"
"351","874615","0","0"
"352","853210","0","0"
"353","851882","0","0"
"354","875627","0","0"
"359","903869","0","0"
"360","1035008","1035009","0"
"362","1033498","0","0"
"363","1032622","0","0"
"364","1033059","0","0"
"365","1034725","0","0"
"366","1035275","0","0"
"367","1033900","0","0"
"368","1017727","0","0"
"369","1013075","0","0"
"370","1060205","0","0"
"371","1058991","0","0"
"372","1086951","0","0"
"374","1099378","0","0"
"375","1132136","0","0"
"376","1272474","0","0"
"377","0","0","1454533"
"378","0","0","1303234"
"393","0","0","1375895"
"394","0","0","1379024"
"395","0","0","1382383"
"396","0","0","1389211"
"397","0","0","1389212"
"398","0","0","1389449"
"399","0","0","1391080"
"400","0","0","1394867"
"401","0","0","1394926"
"402","0","0","1395129"
"404","0","0","1399464"
"405","0","0","1405662"
"406","0","0","1412500"
"407","0","0","1445178"
"408","0","0","1395043"
"409","0","0","1417745"
"410","0","0","1445353"
"411","0","0","1446595"
"412","0","0","1448532"
"413","0","0","1451468"
"415","0","0","1454826"
"416","0","0","1467575"
"417","0","0","1472862"
"418","0","0","1476725"
"419","0","0","1477131"
"420","0","0","1496467"
"421","0","0","1536931"
"422","0","0","1537273"
"423","0","0","1537272"
"194","131870","0","0"
"196","131823","0","0"
"205","131834","0","0"
"204","131869","0","0"
"212","131830","0","0"
"224","131874","0","0"
"234","236056","0","0"
"249","317257","0","0"
"276","514758","0","0"
"278","534166","0","0"
"373","1086951","0","0"
