Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1_0,Unknown1_1,Unknown1_2
"21590","2269.875","897.456","480.156","0","0","80"
"21591","2307.038","936.111","481.234","0","0","195"
"21592","2302.269","948.937","481.253","0","0","11"
"21595","2302.269","948.937","481.253","0","0","211"
"21616","2295.05","964.531","483.92","0","0","0"
"21617","2304.65","937.658","483.913","0","0","0"
"21618","2308.92","906.934","491.892","0","0","0"
"21619","2313.74","905.326","503.25","0","0","0"
"21620","2268.93","889.865","499.961","0","0","0"
"21621","2322.18","902.429","482.895","0","0","0"
"21622","2305.58","928.971","481.152","0","0","0"
"21623","2242.29","934.299","481.146","0","0","0"
"21624","2245.97","915.745","481.147","0","0","0"
"21625","2278.66","901.373","490.065","0","0","0"
"21626","2319.66","937.674","483.92","0","0","0"
"21627","2316.1","928.04","481.757","0","0","0"
"21628","2268.31","895","481.306","0","0","0"
"21629","2300.67","947.892","481.201","0","0","0"
"21630","2264.56","954.792","481.163","0","0","0"
"21631","2236.61","915.137","481.721","0","0","64.49045"
"21632","2250.81","942.753","485.231","0","0","0"
"21633","2241.63","902.193","489.048","0","0","0"
"21634","2316.01","915.215","481.615","0","0","0"
"21635","2262.79","913.825","481.15","0","0","0"
"21636","2306.92","900.443","481.481","0","0","0"
"21637","2298.1","941.111","81.459","0","0","0"
"21638","2308.14","962.451","485.35","0","0","0"
"21640","2280.04","981.489","482.941","0","0","266.84"
"21641","2290.391","944.0729","482.2767","0","0","272.7038"
"21643","2293.17","950.125","482.0623","0","0","205.681"
"21644","2276.55","970.3924","482.6147","0","0","101.25"
"21645","2286.431","977.0955","483.5128","0","0","276.065"
"21646","2298.76","922.0104","481.907","0","0","324.3943"
"21647","2301.439","926.8854","481.8734","0","0","57.61661"
"21648","2270.03","950.7344","482.0846","0","0","24.78391"
"21649","2272.74","989.4618","484.3163","0","0","303.416"
"21650","2294.561","906.7778","481.5967","0","0","346.291"
"21651","2286.12","903.8993","481.5014","0","0","204.091"
"21653","2278.36","992.575","484.587","0","0","300.843"
"21654","2294.89","972.168","484.038","0","0","262.369"
"21655","2295.67","968.115","484.196","0","0","257.869"
"21657","2269.891","986.9913","484.0634","0","0","320.384"
"21658","2279.649","959.75","482.1403","0","0","287.309"
"21659","2269.5","922.868","482.1806","0","0","273.584"
"21660","2268.359","914.467","481.8237","0","0","210.584"
"21661","2224.33","972.7587","490.1804","0","0","276.767"
"21662","2246.38","937.0816","481.9441","0","0","302.191"
"21663","2256.22","910.6129","481.976","0","0","327.391"
"21664","2254.101","944.3195","481.6099","0","0","104.867"
"21665","2256.42","939.4358","481.9926","0","0","126.017"
"21666","2298.7","950.208","481.153","0","0","126.691"
"21667","2305.26","935.646","481.217","0","0","2.49143"
"21668","2267.43","910.647","481.253","0","0","199.366"
"21669","2279.81","904.865","482.649","0","0","61.441"
"21670","2304.87","952.176","481.153","0","0","37.365"
"21671","2276.11","901.96","492.636","0","0","237.166"
"21672","2267.411","974.4393","494.0656","0","0","210.0251"
"21673","2235.422","955.9514","492.4143","0","0","230.3242"
"21674","2267.281","939.0347","485.7148","0","0","32.13248"
"21675","2282.052","937.2708","493.7247","0","0","321.0361"
"21677","2287.649","982.3125","483.8522","0","0","70"
"21678","2284.09","957.0104","481.9086","0","0","248.193"
"21679","2271.45","940.75","481.7761","0","0","300"
"21681","2284.021","917.7274","482.3246","0","0","345"
"21687","2231.792","931.4983","492.6585","0","0","297.5543"
"21688","3604.129","1561.819","757.963","0","0","87.71883"
"21689","3604.485","1570.755","757.963","0","0","87.32973"
"21690","3608.091","1588.05","748.9135","0","0","86.55829"
"21691","3606.096","1597.543","743.5618","0","0","84.84557"
"21692","3607.697","1613.523","742.6657","0","0","81.15182"
"21693","3611.266","1630.856","742.481","0","0","54.32843"
"21694","3628.542","1642.563","742.6657","0","0","33.80581"
"21695","3643.95","1652.741","742.6657","0","0","0"
"21697","3601.482","1571.762","757.963","0","0","87.32971"
"21698","3601.412","1588.519","749.0138","0","0","86.55829"
"21699","3602.48","1601.129","742.973","0","0","84.84558"
"21700","3604.457","1617.769","742.6657","0","0","81.15182"
"21701","3609.087","1635.024","742.6657","0","0","54.32843"
"21702","3622.829","1650.934","742.481","0","0","33.80582"
"21703","3643.907","1658.719","742.6657","0","0","0"
"21705","2291.182","919.7049","487.7852","0","0","297.4644"
"21706","2254.273","919.8229","488.0479","0","0","11.98905"
"21707","3602.309","1562.156","757.963","0","0","87.71884"
"21708","3603.275","1571.715","757.963","0","0","87.32971"
"21709","3604.263","1587.248","749.5871","0","0","86.55829"
"21710","3603.747","1601.71","742.973","0","0","84.84558"
"21711","3605.649","1617.495","742.6657","0","0","81.15182"
"21712","3612.07","1633.835","742.481","0","0","54.32843"
"21713","3629.617","1643.257","742.6657","0","0","33.80582"
"21714","3644.6","1646.962","742.6657","0","0","0"
"21715","3599.385","1562.962","757.963","0","0","87.71884"
"21716","3599.918","1573.922","757.496","0","0","87.32971"
"21717","3600.783","1587.413","749.685","0","0","86.55829"
"21718","3602.08","1604.254","742.973","0","0","84.84558"
