Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2,Unknown3_0,Unknown3_1,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18
"0","Azeroth","151010909","24","1","0","0","Eastern Kingdoms","","","0","4","-1","-1","-1","-1","0","0","1","0","0","0"
"1","Kalimdor","16793181","24","1","0","0","Kalimdor","","","0","3","-1","-1","-1","-1","0","0","1","0","0","0"
"13","test","1555","8","1","0","0","Art Team Map","","","3817","0","-1","-1","-1","-1","0","0","2","0","0","0"
"25","ScottTest","1555","8","1","0","0","Scott Test","","","0","0","-1","-1","-1","-1","0","0","2","0","0","0"
"30","PVPZone01","1553","8","1","0","0","Alterac Valley","Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).","Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).","0","104","-1","-1","-1","-1","0","3","1","0","0","0"
"33","Shadowfang","1565","8","1","-230.989","1571.57","Shadowfang Keep","","","0","204","0","-1","-1","-1","0","1","1","0","10","0"
"34","StormwindJail","1553","8","1","-8762.379","848.0103","Stormwind Stockade","","","717","194","0","-1","-1","-1","0","1","2","0","10","0"
"35","StormwindPrison","1555","8","1","-8762.477","848.0491","<unused>StormwindPrison","","","717","23","0","-1","-1","-1","0","0","2","0","0","0"
"36","DeadminesInstance","1553","8","1","-11207.8","1681.15","Deadmines","","","0","142","0","-1","-1","-1","0","1","1","0","10","0"
"37","PVPZone02","1555","8","1","0","0","Azshara Crater","Crush the Alliance!","Defend yourself from the onslaught of the Horde!","0","25","-1","-1","-1","-1","0","0","1","0","0","0"
"42","Collin","1555","8","1","0","0","Collin's Test","","","0","0","-1","-1","-1","-1","0","0","2","0","0","0"
"43","WailingCaverns","1553","8","1","-751.1312","-2209.24","Wailing Caverns","","","718","143","1","-1","-1","-1","0","1","2","0","10","0"
