Id,Unknown0,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2
"2","960","2700","1500","900","2"
"56","961","2700","1260","720","2"
"57","962","2700","1320","780","2"
"58","959","3600","2100","1260","2"
"59","1011","3000","1800","1050","2"
"60","994","2700","1440","720","2"
"76","1007","3300","1980","1140","2"
"77","1001","2700","1320","780","2"
"78","1004","2700","1320","780","2"
"161","1209","3400","1700","1020","2"
"163","1175","3600","2100","1320","2"
"164","1182","3300","1920","1140","2"
"165","1176","3600","1800","1050","2"
"166","1208","3000","1500","870","2"
"167","1358","5100","2580","1500","2"
"168","1279","3600","1800","1050","2"
"169","1195","3600","2040","1200","2"
"197","1456","2100","1680","1260","0"
"198","1466","1800","1440","1080","0"
"199","1501","2280","1824","1368","0"
"200","1477","2700","2160","1620","0"
"206","1458","1980","1584","1188","0"
"207","1493","1980","1584","1188","0"
"208","1492","1440","1152","864","0"
"209","1516","2700","2160","1620","0"
"210","1571","1800","1440","1080","0"
