Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"2","","1","0","0","0","0","0","0"
"3","","13","0","0","0","0","0","0"
"4","","25","0","0","0","0","0","0"
"6","","30","0","0","0","0","0","0"
"7","You must be at least level 11 to enter.","33","1","0","5","0","0","0"
"8","You must be at least level 15 to enter.","34","1","0","5","0","0","0"
"9","","35","0","0","0","0","0","0"
"10","You must be at least level 10 to enter.","36","1","0","5","0","0","0"
"11","","37","0","0","0","0","0","0"
"12","","42","0","0","0","0","0","0"
"13","You must be at least level 10 to enter.","43","1","0","5","0","0","0"
"14","","44","1","0","10","0","0","0"
"15","You must be at least level 25 to enter.","47","1","0","5","0","0","0"
"16","You must be at least level 15 to enter.","48","1","0","5","0","0","0"
"17","You must be at least level 30 to enter.","70","1","0","5","0","0","0"
"18","You must be at least level 19 to enter.","90","1","0","5","0","0","0"
"19","You must be at least level 45 to enter.","109","1","0","5","0","0","0"
"20","You must be at least level 35 to enter.","129","1","0","5","0","0","0"
"21","","169","9","0","40","0","0","0"
"22","You must be at least level 20 to enter.","189","1","0","5","0","0","0"
"23","You must be at least level 39 to enter.","209","1","0","5","0","0","0"
"24","You must be at least level 48 to enter.","229","1","0","5","0","0","0"
"25","You must be at least level 42 to enter.","230","1","0","5","0","0","0"
"26","You must be level 80 to enter.","249","3","2","10","0","0","0"
"27","You must be at least level 65 to enter.","269","1","0","5","0","0","0"
"28","You must be at least level 33 to enter.","289","1","0","5","0","0","0"
"29","","309","1","0","0","0","0","0"
"30","You must be at least level 37 to enter.","329","1","0","5","0","0","0"
"31","You must be at least level 25 to enter.","349","1","0","5","0","0","0"
"32","","369","0","0","0","0","0","0"
"33","You must be at least level 10 to enter.","389","1","0","5","0","0","0"
"34","You must be at least level 50 to enter.","409","9","2","40","0","0","0"
"35","You must be at least level 31 to enter.","429","1","0","5","0","0","0"
"36","","449","0","0","0","0","0","0"
"37","","450","0","0","0","0","0","0"
"38","","451","0","0","0","0","0","0"
"39","You must be level 50 to enter.","469","9","2","40","0","0","0"
"40","","489","0","0","0","0","0","0"
"41","","509","3","1","10","0","0","0"
"42","","529","0","0","0","0","0","0"
"43","","530","0","0","0","0","0","0"
"44","You must be at least level 50 to enter.","531","9","2","40","0","0","0"
"45","You must be at least level 68 to enter.","532","3","2","10","0","0","0"
"46","You must be at least level 80 to enter.","533","3","2","10","0","0","0"
"47","You must be at least level 70 to enter.","534","4","2","25","0","0","0"
"48","You must be at least level 65 to enter.","540","1","0","5","0","0","0"
"49","You must be at least level 58 to enter.","542","1","0","5","0","0","0"
"50","You must be at least level 57 to enter.","543","1","0","5","0","0","0"
"51","You must be at least level 70 to enter.","544","4","2","25","0","0","0"
"52","You must be at least level 65 to enter.","545","1","0","5","0","0","0"
"53","You must be at least level 60 to enter.","546","1","0","5","0","0","0"
"54","You must be at least level 59 to enter.","547","1","0","5","0","0","0"
"55","You must be at least level 70 to enter.","548","4","2","25","0","0","0"
"56","You must be level 70 and in a raid group to enter.","550","4","2","25","0","0","0"
"57","You must be at least level 65 to enter.","552","1","0","5","0","0","0"
"58","You must be at least level 65 to enter.","553","1","0","5","0","0","0"
"59","You must be at least level 65 to enter.","554","1","0","5","0","0","0"
"60","You must be at least level 65 to enter.","555","1","0","5","0","0","0"
"61","You must be at least level 63 to enter.","556","1","0","5","0","0","0"
"62","You must be at least level 61 to enter.","557","1","0","5","0","0","0"
"63","You must be at least level 62 to enter.","558","1","0","5","0","0","0"
"64","","559","0","0","0","0","0","0"
"65","You must be at least level 63 to enter.","560","1","0","5","0","0","0"
"66","","562","0","0","0","0","0","0"
"67","You must be at least level 70 to enter.","564","4","2","25","0","0","0"
"68","You must be at least level 70 to enter.","565","4","2","25","0","0","0"
"69","","566","0","0","0","0","0","0"
"70","Zul'Aman is only available as a Heroic Difficulty level 85 Cataclysm dungeon.","568","1","0","5","0","0","0"
"71","","571","0","0","0","0","0","0"
"72","","572","0","0","0","0","0","0"
"73","","573","0","0","0","0","0","0"
"74","You must be at least level 67 to enter.","574","1","0","5","0","0","0"
"75","","575","1","0","5","0","0","0"
"76","You must be at least level 68 to enter.","576","1","0","5","0","0","0"
"77","You must be at least level 75 to enter.","578","1","0","5","0","0","0"
"78","You must be level 70 to enter.","580","4","2","25","0","0","0"
"79","","582","0","0","0","0","0","0"
"80","","584","0","0","0","0","0","0"
"81","You must be at least level 65 to enter.","585","1","0","5","0","0","0"
"82","","586","0","0","0","0","0","0"
"83","","587","0","0","0","0","0","0"
"84","","588","0","0","0","0","0","0"
"85","","589","0","0","0","0","0","0"
"86","","590","0","0","0","0","0","0"
"87","","591","0","0","0","0","0","0"
"88","","592","0","0","0","0","0","0"
"89","","593","0","0","0","0","0","0"
"90","","594","0","0","0","0","0","0"
"91","You must be at least level 75 to enter.","595","1","0","5","0","0","0"
"92","","596","0","0","0","0","0","0"
"93","","597","0","0","0","0","0","0"
"94","","598","1","0","5","0","0","0"
"95","You must be at least level 74 to enter.","599","1","0","5","0","0","0"
"96","You must be at least level 71 to enter.","600","1","0","5","0","0","0"
"97","You must be at least level 69 to enter.","601","1","0","5","0","0","0"
"98","You must be at least level 75 to enter.","602","1","0","5","0","0","0"
"99","You must be at least level 80 to enter.","603","3","2","10","0","0","0"
"100","You must be at least level 73 to enter.","604","1","0","5","0","0","0"
"102","","606","0","0","0","0","0","0"
"103","","607","0","0","0","0","0","0"
"104","You must be at least level 72 to enter.","608","1","0","5","0","0","0"
"105","","609","0","0","0","0","0","0"
"106","","610","0","0","0","0","0","0"
"107","","612","0","0","0","0","0","0"
"108","","613","0","0","0","0","0","0"
"109","","614","0","0","0","0","0","0"
"110","You must be at least level 80 to enter.","615","3","2","10","0","0","0"
"111","You must be at least level 80 and in a raid group to enter.","616","3","2","10","0","0","0"
"112","","617","0","0","0","0","0","0"
"113","","618","0","0","0","0","0","0"
"114","You must be at least level 70 to enter.","619","1","0","5","0","0","0"
"115","","620","0","0","0","0","0","0"
"116","","621","0","0","0","0","0","0"
"117","","622","0","0","0","0","0","0"
"118","","623","0","0","0","0","0","0"
"119","You must be at least level 80, in control of Wintergrasp and in a raid group to enter.","624","3","2","10","0","0","0"
"120","","628","0","0","0","0","0","0"
"121","","641","0","0","0","0","0","0"
"122","","642","0","0","0","0","0","0"
"123","","647","0","0","0","0","0","0"
"124","You must be at least level 80 to enter.","649","3","2","10","0","0","0"
"125","You must be at least level 75 to enter.","650","1","0","5","0","0","0"
"127","You must be at least level 65 to enter on Heroic Difficulty.","269","2","1","5","0","0","0"
"128","You must be at least level 80 to enter.","533","4","2","25","0","0","0"
"129","You must be at least level 65 to enter on Heroic Difficulty.","540","2","1","5","0","0","0"
"130","You must be at least level 58 to enter on Heroic Difficulty.","542","2","1","5","0","0","0"
"131","You must be at least level 57 to enter on Heroic Difficulty.","543","2","1","5","0","0","0"
"132","You must be at least level 65 to enter on Heroic Difficulty.","545","2","1","5","0","0","0"
"133","You must be at least level 60 to enter on Heroic Difficulty.","546","2","1","5","0","0","0"
"134","You must be at least level 59 to enter on Heroic Difficulty.","547","2","1","5","0","0","0"
"135","You must be at least level 65 to enter on Heroic Difficulty.","552","2","1","5","0","0","0"
"136","You must be at least level 65 to enter on Heroic Difficulty.","553","2","1","5","0","0","0"
"137","You must be at least level 65 to enter on Heroic Difficulty.","554","2","1","5","0","0","0"
"138","You must be at least level 65 to enter on Heroic Difficulty.","555","2","1","5","0","0","0"
"139","You must be at least level 63 to enter on Heroic Difficulty.","556","2","1","5","0","0","0"
"140","You must be at least level 61 to enter on Heroic Difficulty.","557","2","1","5","0","0","0"
"141","You must be at least level 62 to enter on Heroic Difficulty.","558","2","1","5","0","0","0"
"142","You must be at least level 63 to enter on Heroic Difficulty.","560","2","1","5","0","0","0"
"143","Heroic Difficulty requires you to be level 80.","574","2","1","5","0","0","0"
"144","Heroic Difficulty requires you to be level 80.","575","2","1","5","0","0","0"
"145","Heroic Difficulty requires you to be level 80.","576","2","1","5","0","0","0"
"146","Heroic Difficulty requires you to be level 80.","578","2","1","5","0","0","0"
"147","You must be at least level 65 to enter on Heroic Difficulty.","585","2","1","5","0","0","0"
"148","Heroic Difficulty requires you to be level 80.","595","2","1","5","0","0","0"
"149","Heroic Difficulty requires the Sunforged Key[PH].","598","2","1","0","0","0","0"
"150","Heroic Difficulty requires you to be level 80.","599","2","1","5","0","0","0"
"151","Heroic Difficulty requires you to be level 80.","600","2","1","5","0","0","0"
"152","Heroic Difficulty requires you to be level 80.","601","2","1","5","0","0","0"
"153","Heroic Difficulty requires you to be level 80.","602","2","1","5","0","0","0"
