Id,Unknown0,Unknown1,Unknown2,Unknown3
"59","You must be at least level 70 to enter on Heroic Difficulty.","129","6379","0"
"60","You must be at least level 58 to enter on Heroic Difficulty.","130","6289","0"
"61","You must be at least level 70 to enter on Heroic Difficulty.","131","6379","0"
"62","You must be at least level 70 to enter on Heroic Difficulty.","133","6379","0"
"63","You must be at least level 70 to enter on Heroic Difficulty.","134","6379","0"
"64","You must be at least level 70 to enter on Heroic Difficulty.","135","6148","0"
"65","You must be at least level 70 to enter on Heroic Difficulty.","136","6379","0"
"66","You must be at least level 70 to enter on Heroic Difficulty.","137","6379","0"
"67","You must be at least level 70 to enter on Heroic Difficulty.","140","6379","0"
"68","You must be at least level 70 to enter on Heroic Difficulty.","142","6379","0"
"69","You must be at least level 70 to enter on Heroic Difficulty.","147","6379","0"
"70","Heroic Difficulty requires you to be level 80.","148","7500","0"
"71","Heroic Difficulty requires the Sunforged Key[PH].","149","6728","0"
"72","Heroic Difficulty requires you to be level 80.","150","7500","0"
"73","Heroic Difficulty requires you to be level 80.","151","7500","0"
"74","Heroic Difficulty requires you to be level 80.","153","7500","0"
"75","You must be at least level 80 to enter.","154","7500","0"
"76","Heroic Difficulty requires you to be level 80.","155","7500","0"
"77","Heroic Difficulty requires you to be level 80.","156","7500","0"
"78","You must be at least level 80 to enter.","157","7500","0"
"79","You must be at least level 80 and in a raid group to enter.","158","7500","0"
"80","","14","4868","0"
"81","You must be at least level 25 to enter.","15","4867","0"
"82","You must be at least level 45 to enter.","19","4872","0"
"83","You must be at least level 20 to enter.","22","20290","0"
"84","","29","5793","0"
"85","You must be at least level 50 to enter.","34","4873","0"
"86","You must be level 50 to enter.","39","4873","0"
"87","You must be at least level 60 to enter.","41","7383","0"
"88","You must be at least level 50 to enter.","44","4873","0"
"89","You must be at least level 80 to enter.","46","7500","0"
"90","You must be at least level 70 to enter.","47","6379","0"
"91","You must be at least level 65 to enter.","48","5960","0"
"92","You must be at least level 70 to enter.","55","6379","0"
"93","You must be level 70 and in a raid group to enter.","56","6379","0"
"94","You must be at least level 70 to enter.","67","6379","0"
"95","You must be at least level 70 to enter.","68","6379","0"
"96","Zul'Aman is only available as a Heroic dungeon.","70","5793","0"
"97","You must be at least level 67 to enter.","74","7498","0"
"98","You must be at least level 75 to enter.","75","7549","0"
"99","You must be at least level 68 to enter.","76","5977","0"
"100","You must be at least level 75 to enter.","77","7549","0"
"101","You must be level 70 to enter.","78","6379","0"
"102","You must be at least level 80 to enter.","99","7500","0"
"103","You must be at least level 73 to enter.","100","9920","0"
"104","You must be at least level 72 to enter.","104","7317","0"
"105","You must be at least level 80 to enter.","110","7500","0"
"106","You must be at least level 75 to enter.","125","7549","0"
"107","You must be at least level 80 to enter.","128","7500","0"
"108","You must be at least level 33 to enter.","28","9910","0"
"109","You must be at least level 80 and in a raid group to enter.","111","7500","0"
"110","Heroic Difficulty requires you to be level 85.","821","10174","0"
"111","You must be at least level 70 to enter.","51","6379","0"
"112","You must be at least level 68 to enter.","45","5977","0"
"113","You must be at least level 11 to enter.","7","9907","0"
"114","You must be at least level 10 to enter.","13","4866","0"
"115","You must be at least level 15 to enter.","16","4865","0"
"116","You must be at least level 70 to enter on Heroic Difficulty.","127","6379","0"
"117","You must complete the quest ""Deliverance from the Pit"" before entering the Halls of Reflection.","341","8980","0"
"118","You must be at least level 90 to enter.","2121","19479","0"
"119","You must be at least level 77 to enter.","747","10265","0"
"120","Heroic Difficulty requires you to be level 85.","748","10174","0"
"121","You must be at least level 85 to enter.","809","10174","0"
"122","Heroic Difficulty requires you to be level 85.","817","10174","0"
"123","You must be at least level 85 to enter.","823","10174","0"
"124","You must be at least level 39 to enter.","23","9912","0"
"125","You must complete the quest ""Deliverance from the Pit"" and be level 80 before entering the Heroic difficulty of the Halls of Reflection.","342","8981","0"
"126","You must be at least level 85 to enter.","343","10174","0"
"127","You must be at least level 83 to enter.","345","11037","0"
