Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"1","656452","656523","656520","656519","http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","1","-1"
"2","656458","656523","656522","656521","http://enGB.nydus.battle.net/WOW/enGB/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","1","1"
"5","656449","656523","656520","656519","http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","3","-1"
"6","656461","656523","656522","656521","http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s","4","-1"
"7","656464","656523","656522","656521","http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s","5","-1"
"8","656449","656523","656520","656519","http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","3","5"
"9","656452","656523","656520","656519","http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","1","5"
"10","656455","656523","656522","656521","http://enGB.nydus.battle.net/WOW/enGB/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","3","1"
"11","656461","656523","656522","656521","http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s","4","1"
"12","656464","656523","656522","656521","http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s","5","1"
"13","656467","656523","656525","656524","http://esES.nydus.battle.net/WOW/esES/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","3","7"
"14","656470","656523","656525","656524","http://esES.nydus.battle.net/WOW/esES/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","1","7"
"15","656477","656530","656529","656528","http://frFR.nydus.battle.net/WOW/frFR/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","3","4"
"16","656480","656530","656529","656528","http://frFR.nydus.battle.net/WOW/frFR/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","1","4"
"18","656474","656523","656527","656526","http://esMX.nydus.battle.net/WOW/esMX/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s","5","12"
"19","656501","656540","656539","656538","http://ruRU.nydus.battle.net/WOW/ruRU/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","3","13"
"20","656504","656540","656539","656538","http://ruRU.nydus.battle.net/WOW/ruRU/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","1","13"
"21","656489","656523","656535","656534","http://ptBR.nydus.battle.net/WOW/ptBR/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s","4","14"
"22","656492","656523","656535","656534","http://ptBR.nydus.battle.net/WOW/ptBR/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s","5","14"
"23","656483","656533","656532","656531","http://itIT.nydus.battle.net/WOW/itIT/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","3","15"
"24","656486","656533","656532","656531","http://itIT.nydus.battle.net/WOW/itIT/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","1","15"
"25","656495","656523","656537","656536","http://ptPT.nydus.battle.net/WOW/ptPT/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","3","14"
"26","656498","656523","656537","656536","http://ptPT.nydus.battle.net/WOW/ptPT/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","1","14"
"489","656450","656523","656520","656519","http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","133","-1"
"490","656450","656523","656520","656519","http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","133","5"
"491","656456","656523","656522","656521","http://enGB.nydus.battle.net/WOW/enGB/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","133","1"
"492","656468","656523","656525","656524","http://esES.nydus.battle.net/WOW/esES/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","133","7"
"493","656478","656530","656529","656528","http://frFR.nydus.battle.net/WOW/frFR/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","133","4"
"494","656502","656540","656539","656538","http://ruRU.nydus.battle.net/WOW/ruRU/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","133","13"
"495","656484","656533","656532","656531","http://itIT.nydus.battle.net/WOW/itIT/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","133","15"
"496","656496","656523","656537","656536","http://ptPT.nydus.battle.net/WOW/ptPT/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s","133","14"
"497","656462","656523","656522","656521","http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s","134","-1"
"498","656462","656523","656522","656521","http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s","134","1"
"499","656490","656523","656535","656534","http://ptBR.nydus.battle.net/WOW/ptBR/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s","134","14"
"500","656453","656523","656520","656519","http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","135","5"
"501","656471","656523","656525","656524","http://esES.nydus.battle.net/WOW/esES/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","135","7"
"502","656481","656530","656529","656528","http://frFR.nydus.battle.net/WOW/frFR/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","135","4"
"503","656505","656540","656539","656538","http://ruRU.nydus.battle.net/WOW/ruRU/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","135","13"
"504","656487","656533","656532","656531","http://itIT.nydus.battle.net/WOW/itIT/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","135","15"
"505","656499","656523","656537","656536","http://ptPT.nydus.battle.net/WOW/ptPT/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","135","14"
"506","656453","656523","656520","656519","http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","135","-1"
"507","656459","656523","656522","656521","http://enGB.nydus.battle.net/WOW/enGB/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s","135","1"
"508","656465","656523","656522","656521","http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s","136","-1"
"509","656465","656523","656522","656521","http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s","136","1"
"510","656475","656523","656527","656526","http://esMX.nydus.battle.net/WOW/esMX/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s","136","12"
