Id,Unknown0,Unknown1,Unknown2
"9660","157389","251","0"
"9661","157409","251","1"
"9662","157376","251","2"
"9663","157367","251","3"
"10126","157342","252","0"
"10127","157441","252","1"
"10128","157412","252","2"
"10129","157437","252","3"
"10235","157292","104","0"
"10236","157284","104","1"
"10237","157286","104","2"
"10238","157283","104","3"
"10247","157362","268","0"
"10248","157363","268","1"
"10249","157366","268","2"
"10296","157666","261","0"
"10297","157669","261","1"
"10298","157671","261","2"
"10299","157704","261","3"
"10304","157452","72","0"
"10305","157454","72","1"
"10306","157473","72","2"
"10307","176051","72","3"
"10316","157401","270","0"
"10317","157398","270","1"
"10318","157366","270","2"
"10368","157482","70","0"
"10369","157493","70","1"
"10370","157496","70","2"
"10371","174718","70","3"
"10372","157197","256","0"
"10373","157193","256","1"
"10374","157145","256","2"
"10375","157129","256","3"
"10380","176051","71","0"
"10381","157452","71","1"
"10382","157461","71","2"
"10383","174737","71","3"
"10384","157269","103","0"
"10385","157274","103","1"
"10386","157280","103","2"
"10387","157276","103","3"
"10388","157229","102","0"
"10389","157227","102","1"
"10390","157232","102","2"
"10391","157513","259","0"
"10392","157514","259","1"
"10393","157561","259","2"
"10394","157569","259","3"
"10395","157305","105","0"
"10396","157300","105","1"
"10397","157312","105","2"
"10398","157301","105","3"
"10399","157482","66","0"
"10400","157485","66","1"
"10401","157488","66","2"
"10402","157486","66","3"
"10403","157453","65","0"
"10404","157478","65","1"
"10405","157455","65","2"
"10406","157482","65","3"
"10407","157129","258","0"
"10408","157223","258","1"
"10409","157217","258","2"
"10410","157218","258","3"
"10411","157338","250","0"
"10412","157337","250","1"
"10413","157343","250","2"
"10414","157336","250","3"
"10415","157726","254","0"
"10416","157193","257","0"
"10417","157145","257","1"
"10418","157206","257","2"
"10419","157207","257","3"
"10431","157449","73","0"
"10432","157497","73","1"
"10433","157479","73","2"
"10434","157494","73","3"
