Id,Unknown0,Unknown1,Unknown2
"1","5","1011653","1"
"2","143","1011653","43"
"3","37","1011653","1"
"4","38","1011653","1"
"5","40","1011653","1"
"6","187","1011653","1"
"7","5","307454","2"
"8","143","307454","37"
"9","37","307454","2"
"10","38","307454","2"
"11","40","307454","2"
"12","187","307454","68"
"13","5","1005887","3"
"14","143","1005887","3"
"15","37","1005887","3"
"16","38","1005887","3"
"17","40","1005887","3"
"18","187","1005887","3"
"19","5","1000764","4"
"20","5","917116","5"
"21","5","949470","6"
"22","5","878772","7"
"23","5","950080","8"
"25","5","974343","9"
"26","5","921844","10"
"27","5","997378","12"
"29","5","968705","13"
"30","5","986648","14"
"31","5","900914","16"
"32","5","940356","17"
"33","5","1022938","18"
"34","5","1018060","19"
"35","5","119376","20"
"36","5","119369","21"
"37","5","1100087","22"
"38","5","1100258","23"
"39","13","1011653","15"
"40","5","1022598","24"
"41","5","307453","25"
"42","5","535052","27"
"43","5","589715","26"
"44","13","1000764","28"
"46","143","1000764","30"
"48","37","974343","32"
"49","13","974343","33"
"51","13","878772","34"
"52","13","940356","35"
"53","13","950080","36"
"54","143","307453","38"
"55","13","917116","5"
"56","38","917116","39"
"57","37","917116","75"
"58","40","917116","39"
"59","39","917116","40"
"60","13","949470","42"
"61","38","974343","9"
"62","187","974343","45"
"63","143","974343","69"
"64","40","974343","9"
"65","38","1000764","47"
"66","37","1000764","46"
"67","40","1000764","47"
"68","187","1000764","70"
"69","38","878772","73"
"70","40","878772","73"
"71","187","878772","7"
"72","37","878772","73"
"74","143","950080","74"
"75","37","950080","49"
"76","187","950080","49"
"77","38","950080","49"
"78","40","950080","49"
"79","187","917116","5"
"80","143","917116","50"
"81","37","949470","52"
"82","187","949470","51"
"83","38","949470","51"
"84","40","949470","51"
"85","143","949470","53"
"86","38","959310","54"
"87","37","959310","54"
"88","40","959310","54"
"89","187","959310","55"
"90","13","968705","13"
"91","143","968705","13"
"92","37","968705","56"
"93","38","968705","57"
"94","187","968705","58"
"95","40","968705","57"
"96","143","1022938","59"
"97","37","1022938","78"
"98","38","1022938","60"
"99","187","1022938","60"
"100","40","1022938","60"
"101","13","1018060","61"
"102","143","1018060","19"
"103","187","1018060","19"
"104","143","1100087","62"
"105","13","1100087","63"
"106","37","1100087","64"
"107","38","1100087","64"
"108","187","1100087","64"
"109","40","1100087","64"
"110","143","1100258","65"
"111","13","119376","66"
"112","37","119376","20"
"113","38","119376","20"
"114","40","119376","20"
"115","37","119369","67"
"116","38","119369","67"
"117","40","119369","67"
"118","37","900914","71"
"119","187","900914","16"
"120","38","900914","71"
"121","40","900914","71"
"122","37","940356","72"
"123","187","940356","72"
"124","40","940356","72"
"125","38","940356","72"
"126","143","997378","76"
"127","37","997378","77"
"128","187","997378","12"
"129","38","997378","77"
"130","40","997378","77"
"131","39","1022938","79"
"132","13","307454","80"
"133","13","535052","81"
"134","143","986648","82"
"135","13","986648","83"
"136","37","986648","84"
"137","38","986648","85"
"138","187","986648","84"
"139","40","986648","85"
