Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"6","458","2404","Brown Horse","A favorite among Stormwind's guards thanks to its patience and stamina.","|cFFFFD200Vendor: |rUnger Statforth|n|cFFFFD200Zone: |rWetlands|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"7","459","2320","Gray Wolf","This breed of wolf prefers hunting in the fog, relying on its smoky hide to camouflage it from unsuspecting prey.","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","64","0","2"
"8","468","2410","White Stallion","The powerful and unyielding white stallion features heavily in the myths of ancient human tribes.","|cFFFFD200Legacy|r","0","230","64","0","2"
"9","470","2402","Black Stallion","Rumored to be favored by SI:7 for night missions due to its dark coat.","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"11","472","2409","Pinto","Its calm temperament makes it ideal to train young children in horseback riding.","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"12","578","207","Black Wolf","Can howl loudly enough to be heard for miles.","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","64","0","2"
"13","579","2326","Red Wolf","Almost none remain in the whole of Azeroth; only the most experienced will have seen one.","|cFFFFD200Legacy|r","0","230","64","0","2"
"14","580","247","Timber Wolf","Can howl loudly enough to be heard for miles.","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"15","581","1166","Winter Wolf","Ancient furbolg legends claim that wolves born with a white coat are blessed by Azeroth's two moons.","|cFFFFD200Legacy|r","0","230","64","0","2"
"17","5784","2346","Felsteed","Corrupted by demonic power and once forced to serve the Shadow Council.","|cFFFFD200Class: |rWarlock","0","230","64","31504","1"
"18","6648","2405","Chestnut Mare","Sturdy and steady; ""the horse that built Stormwind.""","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"19","6653","2327","Dire Wolf","Once thought to be extinct except in the far north. Highly sought by those preparing for winter.","|cFFFFD200Vendor:|r Ogunaro Wolfrunner|n|cFFFFD200Location:|r Orgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"20","6654","2328","Brown Wolf","Can howl loudly enough to be heard for miles.","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"21","6777","2736","Gray Ram","Male rams will often smash their thick skulls against each other for hours to impress a female. In that way, they're very similar to dwarves.","|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"22","6896","2784","Black Ram","I've not seen this breed in in ages, but when they're ram tough they stick around. -Veron Amberstill","|cFFFFD200Legacy|r","0","230","64","0","2"
"24","6898","2786","White Ram","Male rams will often smash their thick skulls against each other for hours to impress a female. In that way, they're very similar to dwarves.","|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"25","6899","2785","Brown Ram","Male rams will often smash their thick skulls against each other for hours to impress a female. In that way, they're very similar to dwarves.","|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"26","8394","6080","Striped Frostsaber","This hearty mount's ferocious appetite earned it the nickname ""Dragon Belly"" in the night elf language.","|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"27","8395","4806","Emerald Raptor","Bred from the fiercest stock anywhere and guaranteed not to bite (much).","|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"28","8980","5228","Skeletal Horse","Like most undead creatures, it did not choose its fate.","|cFFFFD200Legacy|r","0","230","64","0","2"
"31","10789","6444","Spotted Frostsaber","This hearty mount's ferocious appetite earned it the nickname ""Dragon Belly"" in the night elf language.","|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n","0","230","0","0","2"
"34","10793","6448","Striped Nightsaber","Considered one of Azeroth's perfect predators, these agile beasts can sprint through dense forests without making a sound.","|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"35","10795","6471","Ivory Raptor","Bred from the fiercest stock anywhere and guaranteed not to bite (much).","|cFFFFD200Legacy|r","0","230","64","0","2"
"36","10796","6472","Turquoise Raptor","Bred from the fiercest stock anywhere and guaranteed not to bite (much).","|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"38","10799","6473","Violet Raptor","Bred from the fiercest stock anywhere and guaranteed not to bite (much).","|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"39","10873","9473","Red Mechanostrider","""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"40","10969","6569","Blue Mechanostrider","""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","0","2"
"41","13819","8469","Warhorse","Trained to stand firm in righteous combat.","|cFFFFD200Paladin|r|n","0","230","68","27943","1"
"42","15779","9474","White Mechanostrider Mod B","Forced to recall the model after numerous complaints of an ""uncontrollable throttle"", Gnomish engineers now refer to a proto-type blunder as a ""model B"".","|cFFFFD200Legacy|r","0","230","64","0","2"
"43","15780","9475","Green Mechanostrider","""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","64","0","2"
"45","16055","9991","Black Nightsaber","Considered one of Azeroth's perfect predators, these agile beasts can sprint through dense forests without making a sound.","|cFFFFD200Legacy|r","0","230","64","0","2"
"46","16056","9695","Ancient Frostsaber","The lack of spots or stripes marks this beast as a descendant of the most ancient frostsaber line.","|cFFFFD200Legacy|r","0","230","64","0","2"
"50","16080","2326","Red Wolf","Almost none remain in the whole of Azeroth; only the most experienced will have seen one.","|cFFFFD200Legacy|r","0","230","64","0","2"
"51","16081","1166","Arctic Wolf","Once thought to be nearly extinct, this wolf can still occasionally be seen in the company of a few Horde veterans","|cFFFFD200Legacy|r","0","230","64","0","0"
"52","16082","2408","Palomino","Human nobles have long favored this majestic breed for its beautiful golden coat and flowing white mane.","|cFFFFD200Legacy|r","0","230","64","0","2"
