Id,Unknown0,Unknown1,Unknown2
"872","204","202","0"
"873","205","203","0"
"874","206","204","0"
"875","207","205","0"
"916","230","226","1"
"917","230","227","0"
"918","231","231","1"
"919","231","265","0"
"920","232","232","0"
"921","233","234","0"
"942","241","256","2"
"943","241","257","1"
"944","241","258","0"
"945","242","259","0"
"946","245","241","6"
"947","245","238","5"
"948","245","244","4"
"949","245","247","3"
"950","245","250","2"
"951","245","284","1"
"952","246","242","13"
"953","246","243","12"
"954","246","239","11"
"955","246","240","10"
"956","246","245","9"
"957","246","246","8"
"958","246","248","7"
"959","246","249","6"
"960","246","251","5"
"961","246","252","4"
"962","246","282","3"
"963","246","283","2"
"964","247","235","22"
"965","247","236","21"
"966","247","241","20"
"967","247","242","19"
"968","247","243","18"
"969","247","238","17"
"970","247","239","16"
"971","247","240","15"
"972","247","244","14"
"973","247","245","13"
"974","247","246","12"
"975","247","247","11"
"976","247","248","10"
"977","247","249","9"
"978","247","250","8"
"979","247","251","7"
"980","247","252","6"
"981","247","284","5"
"982","247","282","4"
"983","247","283","3"
"984","248","226","22"
"985","248","227","21"
"986","248","241","20"
"987","248","242","19"
"988","248","243","18"
"989","248","238","17"
"990","248","239","16"
"991","248","240","15"
"992","248","244","14"
"993","248","245","13"
"994","248","246","12"
"995","248","247","11"
"996","248","248","10"
"997","248","249","9"
"998","248","250","8"
"999","248","251","7"
"1000","248","252","6"
"1001","248","284","5"
"1002","248","282","4"
"1003","248","283","3"
"1004","254","272","1"
"1005","254","265","0"
"1027","264","202","0"
"1028","269","306","1"
"1029","269","307","0"
"1087","283","315","0"
"1088","284","316","0"
"1114","245","318","0"
"1115","246","319","0"
"1116","246","317","1"
"1117","247","319","0"
"1118","247","317","1"
"1119","247","318","2"
"1120","248","319","0"
"1121","248","317","1"
"1122","248","318","2"
"1123","291","321","0"
"1133","245","325","7"
"1134","246","327","14"
"1135","246","326","15"
"1136","248","325","23"
"1137","248","327","24"
"1138","248","326","25"
"1139","247","325","23"
"1140","247","327","24"
"1141","247","326","25"
"1142","292","328","0"
"1144","293","329","0"
