Id,Unknown0,Unknown1,Unknown2
"33","21","1","0"
"122","455943","21","0"
"124","451827","22","0"
"126","455941","23","0"
"136","457507","18","0"
"141","455943","32","0"
"143","451827","33","0"
"151","458395","14","0"
"251","576813","73","0"
"254","576815","74","0"
"255","576817","75","0"
"257","576958","76","0"
"310","644049","115","0"
"312","644125","116","0"
"314","644130","117","0"
"316","644132","118","0"
"318","644140","119","0"
"320","644142","120","0"
"326","654948","121","0"
"329","644125","123","0"
"342","668415","127","0"
"343","668417","128","0"
"370","916404","152","0"
"372","916406","151","0"
"397","1005722","16","0"
"402","1005721","2","0"
"404","1005723","27","0"
"405","1014206","2","0"
"406","1014207","27","0"
"407","1014210","14","0"
"408","1014205","16","0"
"409","1014208","18","0"
"410","1014204","21","0"
"411","1014216","22","0"
"412","1014211","23","0"
"413","1014204","32","0"
"414","1014216","33","0"
"415","1014212","73","0"
"416","1014213","74","0"
"417","1014214","75","0"
"418","1014215","76","0"
"419","1014209","115","0"
"420","1014196","116","0"
"421","1014197","117","0"
"422","1014200","119","0"
"423","1014201","120","0"
"424","1014199","121","0"
"425","1014196","123","0"
"426","1014195","127","0"
"427","1014198","128","0"
"428","1014203","151","0"
"429","1014202","152","0"
"460","1068348","192","0"
"461","1068349","192","0"
"462","1068350","192","0"
"463","1068459","193","0"
"464","1068460","193","0"
"465","1068461","193","0"
"466","1068462","194","0"
"467","1068463","194","0"
"468","1068464","194","0"
"478","1068465","190","0"
"479","1068466","190","0"
"480","1068467","190","0"
"481","1068471","191","0"
"482","1068472","191","0"
"483","1068473","191","0"
"484","1068502","167","0"
"485","1068503","167","0"
"486","1068501","167","0"
"487","1068492","168","0"
"488","1068493","168","0"
"489","1068494","168","0"
"490","1068496","177","0"
"491","1068497","177","0"
"492","1068495","177","0"
"493","1068496","178","0"
"494","1068497","178","0"
"495","1068495","178","0"
"496","1068488","185","0"
"497","1068487","185","0"
"498","1068486","185","0"
"499","1068490","187","0"
"500","1068491","187","0"
"501","1068489","187","0"
"502","1068499","188","0"
"503","1068500","188","0"
"504","1068498","188","0"
"505","1068488","199","0"
"506","1068487","199","0"
"507","1068486","199","0"
"508","1068492","198","0"
"509","1068493","198","0"
"510","1068494","198","0"
"511","1068468","189","0"
"512","1068469","189","0"
"513","1068470","189","0"
"514","1068824","195","0"
"515","1068825","195","0"
"516","1068823","195","0"
"542","21","269","0"
"543","1112521","270","0"
"544","1112522","270","0"
"545","1112520","270","0"
"560","1137815","293","0"
"561","1137813","293","0"
"562","1137814","293","0"
"563","1137818","292","0"
"564","1137816","292","0"
"565","1137817","292","0"
"566","1139552","294","0"
"567","1139553","294","0"
"568","1139551","294","0"
"569","1139549","295","0"
"570","1139550","295","0"
"571","1139548","295","0"
"574","1140700","118","0"
"580","1112522","304","0"
"581","1112521","304","0"
"582","1112520","304","0"
"585","21","308","0"
"593","21","315","0"
"689","1467307","469","0"
"690","1467305","469","0"
"691","1467306","469","0"
"694","1455736","470","0"
"697","1467053","471","0"
"698","1467052","471","0"
"699","1467051","471","0"
"700","1455737","472","0"
"701","1465855","472","0"
"702","1465856","472","0"
"703","1467054","473","0"
"704","1467055","473","0"
"705","1467056","473","0"
"706","1467230","474","0"
"707","1467231","474","0"
"708","1467232","474","0"
"709","1467284","475","0"
"710","1467285","475","0"
"711","1467283","475","0"
"712","1467363","476","0"
"713","1467244","476","0"
"714","1467245","476","0"
"715","1467030","477","0"
"716","1467044","477","0"
"717","1467029","477","0"
"718","1467242","478","0"
"719","1467243","478","0"
"720","1467241","478","0"
"721","1445603","470","0"
"722","1445602","470","0"
"726","1506972","483","0"
"727","1506971","483","0"
"728","1506970","483","0"
"729","1506975","484","0"
"730","1506974","484","0"
"731","1506973","484","0"
"732","1507859","485","0"
"733","1507858","485","0"
"734","1507857","485","0"
"735","1502179","486","0"
"736","1502178","486","0"
"737","1502177","486","0"
"738","1507882","487","0"
"739","1507881","487","0"
"740","1507878","487","0"
"741","1507891","488","0"
"742","1507890","488","0"
"743","1507889","488","0"
"744","1507854","489","0"
"745","1507852","489","0"
"746","1507851","489","0"
"747","1507856","490","0"
"748","1507855","490","0"
"749","1507853","490","0"
"752","1467284","494","0"
"753","1467285","494","0"
"754","1467283","494","0"
"755","1467284","495","0"
"756","1467285","495","0"
"757","1467283","495","0"
"758","1467242","496","0"
"759","1467243","496","0"
"760","1467241","496","0"
"761","1467053","497","0"
"762","1467052","497","0"
"763","1467051","497","0"
"802","1507882","531","0"
"803","1507881","531","0"
"804","1507878","531","0"
"805","1507891","532","0"
"806","1507890","532","0"
"807","1507889","532","0"
"808","1467232","533","0"
"809","1467231","533","0"
"810","1467230","533","0"
"811","1467056","534","0"
"812","1467055","534","0"
"813","1467054","534","0"
"814","1507853","535","0"
"815","1507856","535","0"
"816","1507855","535","0"
"821","1455737","542","0"
"822","1465855","542","0"
"823","1465856","542","0"
"857","1551613","549","0"
"858","1551612","549","0"
"859","1551611","549","0"
