Id,Unknown0,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"52","Vr_elevator_lift_Accellerate","10","0","85","34","1","1","1","0","0","15285"
"228","Engine","0","0","0","157","2","0","1","0","0","12176"
"229","Engine","0","0","0","158","2","0","1","0","0","13810"
"230","Engine","0","0","0","159","2","0","1","0","0","13812"
"231","Engine","0","0","0","160","2","0","1","0","0","12178"
"232","Engine","0","0","0","161","2","0","1","0","0","12181"
"233","Gear Shift","0","0","0","162","1","0","1","0","0","12177"
"234","Gear Shift","0","0","0","163","1","0","1","0","0","12177"
"235","Engine","0","0","0","164","2","0","1","0","0","12181"
"236","Take Off","0","0","0","165","1","0","1","0","0","12175"
"237","Land","0","0","0","166","1","0","1","0","0","12174"
"238","Engine","0","0","0","167","2","0","1","0","0","12171"
"239","Engine","0","0","0","168","2","0","1","0","0","12171"
"240","Engine","0","0","0","169","2","0","1","0","0","12171"
"241","Gear Shift","0","0","0","161","1","0","1","0","0","12173"
"242","Gear Shift","0","0","0","164","1","0","1","0","0","12173"
"243","Gear Shift","0","0","0","157","1","0","1","0","0","12173"
"244","Engine","0","0","0","163","2","0","1","0","0","12176"
"245","Engine","0","0","0","162","2","0","1","0","0","12178"
"246","Engine","0","0","0","170","2","0","1","0","0","12172"
"247","Gear Shift","0","0","0","170","1","0","1","0","0","12173"
"248","Engine","0","0","0","171","2","0","1","0","0","12172"
"250","Gear Shift","0","0","0","168","1","0","1","0","0","12173"
"251","Gear Shift","0","0","0","167","1","0","1","0","0","12173"
"252","Engine","0","0","0","165","2","0","1","0","0","12194"
"253","Engine","0","0","0","166","2","0","1","0","0","12172"
"254","Land","0","0","0","172","1","0","1","0","0","12174"
"255","Engine","0","0","0","172","2","0","1","0","0","12171"
"256","Engine","0","0","0","173","2","0","1","0","0","12194"
"258","Catapult Arm","0","0","0","175","1","0","1","0","0","13809"
"260","Catapult Arm","0","0","0","176","1","0","1","0","0","13807"
"265","Engine","0","0","0","181","2","0","1","0","0","12301"
"266","RocketMountWalk","0","0","0","182","2","0","1","0","0","12302"
"267","Engine","0","0","0","183","2","0","1","0","0","12303"
"268","Engine","0","0","0","184","2","0","1","0","0","12304"
"269","Engine","0","0","0","185","2","0","1","0","0","12308"
"270","Engine","0","0","0","186","2","0","1","0","0","12315"
"271","Engine","0","0","0","187","2","0","1","0","0","12315"
"272","Engine","0","0","0","188","2","0","1","0","0","12315"
"273","Engine","0","0","0","189","2","0","1","0","0","12304"
"274","RocketMount_RunLeft","0","0","0","190","1","0","1","0","0","12314"
"275","RocketMount_RunRight","0","0","0","191","1","0","1","0","0","12313"
"276","Engine","0","0","0","192","2","0","1","0","0","12315"
"277","Boost","0","0","0","187","1","0","1","0","0","12310"
"278","Boost","0","0","0","188","1","0","1","0","0","12311"
"279","Engine","0","0","0","193","2","0","1","0","0","12315"
"280","Engine","0","0","0","194","2","0","1","0","0","12308"
"281","Engine","0","0","0","195","2","0","1","0","0","12303"
"282","Engine","0","0","0","196","2","0","1","0","0","12308"
"283","SiegeVehicle_AttackThrown","0","0","0","197","1","0","1","0","0","13891"
"284","SiegeVehicle_attackUnarmed","0","0","0","198","1","0","1","0","0","13892"
"285","SiegeVehicle_Idle","0","0","0","199","2","0","1","0","0","13894"
"286","SiegeVehicleSlow_Fast","0","0","0","200","2","0","1","0","0","13895"
"287","SiegeVehicleSlow_FastGear","0","0","0","200","1","0","1","0","0","14719"
"290","Gear Shift","0","0","0","158","1","0","1","0","0","14719"
"291","Engine","0","0","0","202","2","0","1","0","0","13883"
"292","Smack","0","0","0","203","1","0","1","0","0","13881"
"293","Engine Movement","0","0","0","204","2","0","1","0","0","13885"
