Id,Unknown0,Unknown1,Unknown2
"138","61","157","34"
"141","61","169","100"
"142","61","166","24"
"143","61","165","23"
"147","61","163","21"
"148","61","160","19"
"149","61","161","13"
"150","61","164","22"
"151","61","170","97"
"152","61","171","26"
"153","61","172","35"
"154","12","34","3"
"158","61","173","6"
"166","81","176","8"
"169","101","181","19"
"171","101","183","34"
"172","101","184","22"
"173","101","185","82"
"178","101","190","84"
"179","101","191","85"
"180","101","192","83"
"181","101","195","6"
"182","101","196","7"
"183","102","197","8"
"184","102","198","40"
"185","102","199","38"
"186","102","200","12"
"192","81","175","10"
"194","122","202","38"
"195","122","203","40"
"196","122","204","12"
"197","122","205","8"
"198","122","206","10"
"201","81","159","38"
"202","81","158","12"
"221","122","241","15"
"222","122","242","14"
"223","141","247","22"
"224","141","243","27"
"225","141","244","41"
"226","141","245","41"
"227","141","246","13"
"228","141","246","20"
"229","141","246","21"
"241","141","246","19"
"242","102","261","15"
"243","102","262","17"
"244","81","263","15"
"245","81","264","14"
"246","161","265","8"
"247","161","266","24"
"248","161","267","23"
"249","161","268","10"
"250","161","269","19"
"251","161","270","13"
"252","161","270","12"
"253","161","270","21"
"254","161","270","20"
"255","161","267","36"
"256","161","269","22"
"257","161","266","35"
"281","141","243","28"
"282","141","243","29"
"283","141","243","12"
"284","141","245","23"
"321","201","281","33"
"322","61","169","33"
"365","61","169","99"
"366","61","169","98"
"367","61","169","29"
"368","61","169","28"
"382","141","160","46"
"421","122","321","1"
"441","221","341","17"
"442","221","342","15"
"443","221","346","13"
"444","221","346","12"
"445","221","343","18"
"446","221","343","19"
"447","221","344","40"
"448","221","345","8"
"461","241","361","12"
"462","241","362","13"
"463","241","363","23"
"464","241","364","24"
"465","241","364","35"
"466","241","361","32"
"467","241","361","31"
"468","241","361","20"
"469","241","361","21"
"470","241","362","46"
"471","241","362","33"
"472","241","362","22"
"473","241","362","19"
"481","261","381","69"
"501","261","401","70"
"502","261","402","68"
"503","12","403","5"
"504","12","404","69"
"505","281","405","68"
"521","301","421","71"
"541","321","441","71"
"561","341","461","73"
"562","341","461","71"
"563","342","462","71"
"564","342","463","73"
"565","342","464","72"
"581","342","464","71"
"582","342","464","73"
"601","361","481","71"
"621","381","501","71"
"641","301","421","72"
"661","161","269","26"
"662","161","269","30"
"663","161","270","27"
"664","161","270","28"
"665","161","270","29"
"681","161","270","25"
"682","241","361","27"
"683","241","361","29"
"684","241","361","28"
"685","241","362","100"
"686","241","361","6"
"701","401","521","27"
"721","61","221","42"
"722","61","222","41"
"741","421","541","19"
"761","241","361","26"
"782","442","561","1"
"802","462","282","1"
"804","182","581","1"
"805","181","582","1"
"821","481","581","1"
"822","482","601","68"
"823","482","602","69"
"824","482","603","70"
"825","482","602","73"
"826","482","602","71"
"834","488","608","68"
"840","491","610","1"
"841","491","611","61"
"842","491","611","66"
"843","491","611","12"
"844","491","611","22"
"845","492","612","19"
"855","141","160","43"
"857","492","614","34"
"859","494","521","3"
"860","494","521","5"
"861","494","521","4"
"862","492","612","25"
"866","492","615","23"
"867","492","616","24"
"869","495","618","12"
"870","495","619","19"
"874","492","612","20"
"875","492","612","21"
"876","492","616","35"
"878","492","612","22"
"879","492","623","22"
"882","496","625","19"
"885","497","624","12"
"886","498","541","69"
"887","498","402","19"
"888","498","401","19"
"889","499","626","1"
"895","499","628","37"
