Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"1","100","2534","0","119","90","7"
"2","100","2537","0","121","100","7"
"3","100","0","16","124","20","7"
"31","100","2584","0","119","90","7"
"32","100","2585","0","121","95","7"
"40","100","2584","0","9","90","7"
"41","100","2585","0","121","100","7"
"44","0","2717","0","11","0","0"
"45","100","2718","0","119","100","7"
"46","0","2719","0","11","0","0"
"47","0","2720","0","11","0","0"
"48","0","2721","0","11","0","0"
"49","55","2722","0","11","0","0"
"57","500","2761","0","119","100","1"
"62","100","2584","0","135","90","7"
"63","100","2585","0","138","95","7"
"66","100","2584","0","136","90","7"
"67","100","2585","0","137","95","7"
"70","100","2777","0","2","95","7"
"75","0","906","0","11","0","0"
"76","0","1896","0","11","0","0"
"81","50","0","0","11","0","7"
"87","0","2961","0","5","0","0"
"88","0","2962","0","5","0","0"
"89","0","2963","0","1","0","0"
"90","0","2964","0","1","0","0"
"94","0","0","0","3","0","0"
"33","100","0","16","124","20","7"
"42","100","0","16","124","20","7"
"64","100","0","16","124","20","7"
"68","100","0","16","124","20","7"
"71","100","0","16","124","20","7"
"65","100","2718","0","119","100","7"
"69","100","2718","0","119","100","7"
"84","0","1896","0","11","0","0"
